t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma,input_sigma_diff,object_horizontal_cylinder_x,object_horizontal_cylinder_y,object_horizontal_cylinder_z
0.0,31.0,2468.3217931494337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.165,0.075
0.002,33.0,2560.3789628617633,-0.00011703281809437404,0.0,0.0,0.0022333704186233384,0.0,0.0,-0.001058168800264482,0.0,0.0,-2.571781021034323e-05,0.0,0.0,0.0023613021413579965,0.0,0.0,-0.0011677921655738265,0.0,0.0,-1.1524972991358616e-05,0.0,0.0,0.002195522237579611,0.0,0.0,-0.0010919986322941262,0.0,0.0,-0.000530712769662007,0.0,0.0,0.0030067304324345365,0.0,0.0,-0.0012380088313862646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0750000078907078,0.16500381331110184,0.07492529440025095
0.004,35.0,3099.014888087691,-0.001108557566842046,0.0033495308339500764,2.0799381912266703e-05,0.01005892562658781,0.0013024378881797834,-5.5855951826613295e-06,-0.00447500890926479,0.0012767726409411615,1.400964864723386e-05,-0.0004305043814927832,0.003283526506398717,1.9855465899654362e-05,0.009858804281110273,0.0012614562347336526,-6.599075439746064e-06,-0.004713928896854933,0.0017795805519254507,1.7684236304995664e-05,0.00010483718505120769,0.003244136701078288,1.953397004441788e-05,0.008623661637209226,0.001744512948886014,-2.7060557321615823e-06,-0.004364038242324687,0.0017235854414327683,1.689350444236137e-05,-0.0012486285132196258,0.0017275799793750716,1.3549756494222473e-05,0.010643107777506235,0.003211928775964732,1.231190061181172e-06,-0.004696910633783062,0.0031486359718347874,2.6319868819326314e-05,2.0374870592335215e-09,0.0016935370759110751,1.0161222455466452e-05,4.664952574684428e-09,0.0016732210846763249,1.003932650805795e-05,2.2996360559998973e-07,0.0031108643388926497,1.8665186033355897e-05,0.075,0.0,0.07499868191068926,0.16501314373339768,0.07471056038484379
0.006,30.0,2398.317821878591,-0.002337812307217804,0.006699061667900153,4.684571540845319e-05,0.02313032184364705,0.002604875776359567,-4.472429910136946e-05,-0.010395202264826015,0.002553545281882323,4.217132514688268e-05,-0.0006719266439171051,0.006567053012797434,4.1985344365741305e-05,0.021372173938047526,0.0025229124694673053,-4.4015350869857804e-05,-0.010348840006453721,0.0035591611038509013,4.9638540004235014e-05,5.928133037519245e-05,0.006488273402156576,3.830061730263221e-05,0.01969847513637453,0.003489025897772028,-3.080781443662319e-05,-0.009877658886273882,0.0034471708828655366,4.686725475114134e-05,-0.002337816175619245,0.0034551599587501433,2.8222730831818615e-05,0.02220646399084325,0.006423857551929464,-2.531550135346063e-05,-0.009932512348837968,0.006297271943669575,6.596509546471581e-05,1.0188644743097895e-08,0.0033870741518221502,2.0322432686010545e-05,2.332966753613949e-08,0.0033464421693526498,2.007862502640045e-05,1.1497977236747048e-06,0.006221728677785299,3.73289922850782e-05,0.15,0.0,0.0749986035219864,0.16502972354319795,0.0744070686286615
0.008,35.0,2155.99748551684,-0.0033155643773126703,0.010048592501850228,7.431842885440819e-05,0.03977555969068336,0.00390731366453935,-0.0001153380490746462,-0.018226473714937807,0.0038303179228234845,8.5353121125897e-05,-0.0007196895459544374,0.00985057951919615,6.313503697867953e-05,0.036085707226172485,0.0037843687042009577,-0.00010552683140307942,-0.017678865561465137,0.005338741655776352,9.412548997338043e-05,-0.00027335115803313575,0.009732410103234864,5.803877263715803e-05,0.034789624078021525,0.005233538846658042,-8.678961773829893e-05,-0.01725419446277258,0.005170756324298305,9.029049126343312e-05,-0.004127809507295841,0.005182739938125214,4.512333668246676e-05,0.03854970412075807,0.009635786327894195,-7.542406597769434e-05,-0.01720537524233015,0.009445907915504361,0.00011627052158605398,2.8534494412370573e-08,0.005080611227733225,3.0483606234530894e-05,6.534857254549435e-08,0.005019663254028975,3.011783954616863e-05,3.219328045717814e-06,0.009332593016677949,5.598865931372565e-05,0.22499999999999998,0.0,0.07499800258020264,0.1650528974600429,0.0740052209046661
0.01,35.0,2103.5699185180974,-0.005153135588467361,0.013398123335800306,0.00010028212627867786,0.06098004070466908,0.005209751552719134,-0.00020739484882778536,-0.027904640246659417,0.005107090563764646,0.0001400013856722147,-0.0016801735797757223,0.013134106025594868,8.312277342929584e-05,0.05547809658932447,0.005045824938934611,-0.00018623929372342724,-0.026888922230390737,0.007118322207701803,0.00014878312661500165,-0.0013495649033675558,0.012976546804313153,7.949938777407773e-05,0.054034441123136885,0.006978051795544056,-0.00016686943369486482,-0.02633283369118449,0.006894341765731073,0.00014489121737102194,-0.006613761108206694,0.0069103199175002865,6.622877654877677e-05,0.05922968980589795,0.012847715103858928,-0.00015421193410139483,-0.026294943403363184,0.01259454388733915,0.0001787995147780158,6.116573305686703e-08,0.0067741483036443005,4.064471861489933e-05,1.4011532695293933e-07,0.0066928843387052996,4.0156913940796524e-05,6.898217842060203e-06,0.012443457355570599,7.464142816514928e-05,0.3,0.0,0.07499795606354481,0.165081540833902,0.07353380353013439
0.012,35.0,1763.2227072651037,-0.00858868017315125,0.01674765416975038,0.00013140473854930646,0.0881284644564767,0.006512189440898916,-0.000326807107582621,-0.03975146980544762,0.006383863204705807,0.00020573102070819133,-0.0037930573120404073,0.016417632531993583,0.00010858683667061583,0.07956809738965023,0.006307281173668263,-0.0002950248924939372,-0.037867040967724586,0.008897902759627253,0.00021472094994010797,-0.002961431731800735,0.01622068350539144,0.00010542149045255397,0.07697129229939925,0.008722564744430068,-0.0002718712582722409,-0.03698523099633601,0.00861792720716384,0.00020970456539008998,-0.008388431353296977,0.008637899896875358,9.150996603049232e-05,0.08163425228514226,0.016059643879823657,-0.00025902027555644577,-0.03659705278617931,0.015743179859173936,0.00025222873957522274,1.1218757122086977e-07,0.008467685379555374,5.0805745282933904e-05,2.570824260166775e-07,0.008366105423381624,5.019579184832802e-05,1.2645886779125649e-05,0.015554321694463247,9.328454085972712e-05,0.37499999999999994,0.0,0.07499900489214562,0.1651174084681171,0.07299042407079355
0.014,29.0,1268.6587882512215,-0.012383594203246143,0.020097185003700457,0.00017211519106111024,0.11889046413572178,0.0078146273290787,-0.000481883022764388,-0.053219275059566376,0.007660635845646969,0.00028447263390656756,-0.006320711268878452,0.0197011590383923,0.00014096529810259624,0.10655201745442877,0.0075687374084019154,-0.00043199615988748994,-0.05007840937380294,0.010677483311552704,0.00029126714567566375,-0.005115607551377201,0.019464820206469727,0.00013455751162962278,0.10372284195173469,0.010467077693316083,-0.000399025287636499,-0.04926765223111167,0.01034151264859661,0.0002839604618695957,-0.010344994904068094,0.010365479876250428,0.00011252346737728445,0.10707164165262012,0.01927157265578839,-0.00037417607777612326,-0.048317314435880804,0.018891815831008723,0.0003329332117031282,1.8572457108119354e-07,0.01016122245546645,6.096666160737138e-05,4.257807890887485e-07,0.01003932650805795,6.0234416553791595e-05,2.0921429775078615e-05,0.018665186033355898,0.00011191524087946064,0.44999999999999996,0.0,0.07499865202069199,0.16516441031593773,0.07239720950941064
0.016,28.0,1133.2848129612205,-0.01511945247563159,0.023446715837650532,0.00021498186024538008,0.15063356188135077,0.009117065217258483,-0.0006586403935107798,-0.06769893956654201,0.00893740848658813,0.00037294010127692705,-0.009026001436350888,0.022984685544791016,0.00017583238088201682,0.13630599962644285,0.008830193643135567,-0.0005863309428677592,-0.06357765972836814,0.012457063863478153,0.0003752128394236866,-0.008060667446591238,0.022708956907548015,0.0001669473867535513,0.13383691859635746,0.012211590642202095,-0.0005490675078571956,-0.06282774546216476,0.012065098090029376,0.00036799650192684627,-0.01387649058656721,0.012093059855625499,0.00013462832855816155,0.1375179143496664,0.02248350143175312,-0.000507528841325202,-0.06174511318688832,0.02204045180284351,0.00042214659743234587,2.859254847382079e-07,0.011854759531377523,7.112744284083865e-05,6.55839325359056e-07,0.011712547592734273,7.027273087167111e-05,3.218353590921288e-05,0.021776050372248546,0.0001305307736548408,0.5249999999999999,0.0,0.07499985157842921,0.16521811594209856,0.07177195207915775
0.018000000000000002,31.0,1140.7078069441507,-0.017320449577246034,0.02679624667160061,0.0002514941948833932,0.18404826055946638,0.010419503105438268,-0.000841284352655475,-0.08327132988982844,0.010214181127529292,0.0004674787241644278,-0.01195248950319568,0.026268212051189736,0.00021176528092524375,0.16883981446278984,0.010091649877869221,-0.0007572860984914418,-0.07834570123211003,0.014236644415403605,0.00046688582486263046,-0.011542027693043062,0.025953093608626306,0.00020408256633130525,0.16711831378027567,0.013956103591088112,-0.0007192848900316162,-0.07769300159879805,0.013788683531462146,0.00045969857396176145,-0.01837566828533423,0.013820639835000573,0.00016618278252940669,0.17222473041595543,0.025695430207717855,-0.0006709349048516913,-0.07680754571684324,0.0251890877746783,0.0005216052057693997,4.1696809277932597e-07,0.013548296607288601,8.128806409082318e-05,9.570044707540254e-07,0.013385768677410599,8.031067702851144e-05,4.689040740042068e-05,0.024886914711141198,0.0001491283870513919,0.6,0.0,0.07499516830716974,0.16528807261007106,0.07111072014160437
