t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_free_horizontal_y_axis_cylinder_radius2p5_x,object_free_horizontal_y_axis_cylinder_radius2p5_y,object_free_horizontal_y_axis_cylinder_radius2p5_z
0.0,23.0,20.111258058089415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.18,0.03
0.002,26.0,17.472732536851762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015774602217326502,0.0,0.0,-1.9680904877392672e-05,0.0,0.0,-9.234299068852533e-06,0.0,0.0,0.00016555406003120076,0.0,0.0,-3.2666846449188636e-05,0.0,0.0,-1.847672308284725e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500002657532695,0.18000533130973814,0.029988721189181562
0.004,22.0,13.674202507818098,-3.5745714815119045e-08,-0.0030624281910400708,-7.656070477600177e-06,1.402682849472657e-08,-0.0011908003549072309,-2.9770008872680774e-06,-2.561977515240838e-08,-0.001167334986003348,-2.9183374650083703e-06,0.0005815461594971822,-0.0030020813772788277,-7.899568498630231e-06,-7.334326298630058e-05,-0.0011533314146136256,-2.8341262743405825e-06,-3.569460897194985e-05,-0.0016270450760461268,-4.044526942443186e-06,0.0006068021504731274,-0.002966067840985864,-7.829054752542663e-06,-0.00012443382774304034,-0.0015949832675529274,-3.9057910527593465e-06,-4.2132441400062615e-05,-0.001575849546452817,-3.893432058424925e-06,1.7887973395724746e-08,-0.0015795016954286373,-3.9487542385715935e-06,-4.669043227030056e-08,-0.002936620595167756,-7.34155148791939e-06,-7.555979832942034e-08,-0.002878752888534664,-7.1968822213366594e-06,-7.761855463746727e-10,-0.0015483767551186976,-3.870941887796744e-06,-1.7771247903559782e-09,-0.0015298021345612118,-3.8245053364030296e-06,-8.760518308571043e-08,-0.0028442188241304235,-7.110547060326059e-06,-0.06857142857142859,0.0,0.07500003523714943,0.18002104807539857,0.029956099428557936
0.006,23.0,10.990684025054563,-1.7872780165452033e-07,-0.0061248563820801415,-1.5312051590913316e-05,7.013295928047252e-08,-0.0023816007098144618,-5.9540368416073914e-06,-1.2809786975802565e-07,-0.002334669972006696,-5.83661088057886e-06,0.001214146643963411,-0.0060041627545576555,-1.6464272285137095e-05,-0.0001613387030523438,-0.0023066628292272512,-5.583298915602377e-06,-7.38876008733828e-05,-0.0032540901520922536,-8.04598885780076e-06,0.001250084743527051,-0.005932135681971728,-1.634734458111214e-05,-0.00024151286546085987,-0.003189966535105855,-7.663831768407035e-06,-6.530990390199864e-05,-0.003151699092905634,-7.77391662876393e-06,8.943875738518157e-08,-0.0031590033908572746,-7.897553197076676e-06,-2.3345111455888394e-07,-0.005873241190335512,-1.4682986249758103e-05,-3.7779659900299226e-07,-0.005757505777069328,-1.4393575543177496e-05,-3.881119707576578e-09,-0.003096753510237395,-7.741881835129621e-06,-8.886402469671577e-09,-0.0030596042691224236,-7.649006229994084e-06,-4.3802269251978333e-07,-0.005688437648260847,-1.4220875107694403e-05,-0.13714285714285718,0.0,0.07500005315125256,0.18004473007965557,0.029907076356996472
0.008,21.0,8.461294981647114,-5.004338280707979e-07,-0.009187284573120211,-2.2967764613296393e-05,1.9636613343928553e-07,-0.003572401064721692,-8.931177994202432e-06,-3.5866880414835795e-07,-0.0035020049580100437,-8.754692150350714e-06,0.002005123273462148,-0.009006244131836483,-2.5550976939499737e-05,-0.0002714359398276934,-0.0034599942438408764,-8.246638851971331e-06,-0.00011345266194704988,-0.00488113522813838,-1.2018119068162493e-05,0.0020486720995198946,-0.00889820352295759,-2.5370720666211605e-05,-0.00037528635231985294,-0.004784949802658782,-1.1358592342994804e-05,-9.190540717960792e-05,-0.0047275486393584506,-1.1655596838641129e-05,2.5042275083151256e-07,-0.004738505086285911,-1.1846486312608242e-05,-6.536576774697829e-07,-0.008809861785503265,-2.2024070835971764e-05,-1.057818035539968e-06,-0.00863625866560399,-2.1589702172512466e-05,-1.0868133455377697e-08,-0.004645130265356092,-1.161281596059096e-05,-2.4885975155086075e-08,-0.004589406403683635,-1.1473493793202913e-05,-1.2264467800567731e-06,-0.00853265647239127,-2.1330546124246876e-05,-0.20571428571428574,0.0,0.07500005544409206,0.1800747476313819,0.029845172211902467
0.01,18.0,6.352969175627851,-1.0723451824420581e-06,-0.012249712764160283,-3.062303082583053e-05,4.2076462691670073e-07,-0.0047632014196289235,-1.1908494464405908e-05,-7.685590509501728e-07,-0.004669339944013392,-1.1672453188023112e-05,0.002913603924344712,-0.012008325509115311,-3.503362195644365e-05,-0.0003957102058437205,-0.0046133256584545024,-1.0854724296567023e-05,-0.00015627690060274037,-0.006508180304184507,-1.5986819105593644e-05,0.002959319144994881,-0.011864271363943456,-3.478235865865838e-05,-0.0005150383414046356,-0.00637993307021171,-1.5011616794729643e-05,-0.00011667199604553486,-0.006303398185811268,-1.5528731946579153e-05,5.366014761226427e-07,-0.006318006781714549,-1.579564301116345e-05,-1.400677377451757e-06,-0.011746482380671023,-2.9364571807483885e-05,-2.266712600873434e-06,-0.011515011554138655,-2.8784884340257793e-05,-2.3292093570721136e-08,-0.00619350702047479,-1.5483740380853337e-05,-5.3340212735658935e-08,-0.006119208538244847,-1.5297959130674232e-05,-2.628045915069925e-06,-0.011376875296521694,-2.8439122124354093e-05,-0.27428571428571435,0.0,0.07500006101774714,0.1801097063361473,0.029773275400671574
0.012,18.0,4.5600774964755555,-1.9659339847867582e-06,-0.01531214095520035,-3.8277671525044765e-05,7.713525188001998e-07,-0.005954001774536153,-1.4886056347907673e-05,-1.4089830119112794e-06,-0.005836674930016739,-1.4589765927414471e-05,0.0039040127237017132,-0.015010406886394136,-4.481002702684712e-05,-0.0005224469898613715,-0.005766657073068127,-1.3427367168061016e-05,-0.00021297876911706727,-0.008135225380230631,-1.9947371199069726e-05,0.003946103283947362,-0.014830339204929318,-4.44741458748105e-05,-0.0006512897748154509,-0.007974916337764634,-1.8649694990899998e-05,-0.00014189141189929159,-0.007879247732264083,-1.9406439340546372e-05,9.83723141497744e-07,-0.007897508477143185,-1.9745112696548272e-05,-2.567864910105254e-06,-0.014683102975838774,-3.6704255746153306e-05,-4.155540078231111e-06,-0.014393764442673315,-3.597874432518111e-05,-4.271017055564755e-08,-0.007741883775593486,-1.9354651208749788e-05,-9.782282598940753e-08,-0.007649010672806057,-1.9122393331483304e-05,-4.817949895201655e-06,-0.014221094120652113,-3.554616518684261e-05,-0.34285714285714286,0.0,0.0750000661787952,0.18014840321480308,0.029693901451610882
0.014,16.0,3.0464178202065577,-3.252659998133113e-06,-0.018374569146240423,-4.593150803063909e-05,1.2761349607654875e-06,-0.007144802129443384,-1.786393370490546e-05,-2.331138995661639e-06,-0.007004009916020087,-1.750650233252044e-05,0.004945395635908085,-0.018012488263672966,-5.4791252468436705e-05,-0.0006387422247686834,-0.006919988487681753,-1.5993853744550954e-05,-0.00028226848839003785,-0.00976227045627676,-2.387322921789923e-05,0.004979661530621277,-0.01779640704591518,-5.435627582465636e-05,-0.0007776486660681233,-0.009569899605317563,-2.2296524576255282e-05,-0.00015770982387598555,-0.009455097278716901,-2.328301466704402e-05,1.6275182041516827e-06,-0.009477010172571822,-2.36949847392833e-05,-4.248558224019803e-06,-0.01761972357100653,-4.404288926524107e-05,-6.8753219736352485e-06,-0.01727251733120798,-4.317090447782437e-05,-7.068260655533751e-08,-0.009290260530712184,-2.322554455135407e-05,-1.61919978639822e-07,-0.00917881280736727,-2.2946787461353205e-05,-7.971236959553432e-06,-0.01706531294478254,-4.265123748721835e-05,-0.4114285714285715,0.0,0.07500006879352203,0.1801898181909784,0.029609130000683537
0.016,17.0,1.8031979113002607,-5.003967540664851e-06,-0.021436997337280488,-5.3584361693205884e-05,1.9630934481575713e-06,-0.008335602484350613,-2.0842196548278448e-05,-3.586205196783829e-06,-0.008171344902023434,-2.042253440756943e-05,0.006011253633120408,-0.02101456964095179,-6.489991319214968e-05,-0.0007425653449977675,-0.008073319902295376,-1.8586444193816733e-05,-0.0003494050321688546,-0.011389315532322884,-2.776761760983212e-05,0.00603782770880544,-0.020762474886901045,-6.43553410438058e-05,-0.0008939347917487005,-0.011164882872870489,-2.5968085517005914e-05,-0.00016777454685442693,-0.011030946825169717,-2.718309250323433e-05,2.5036949344285427e-06,-0.011056511868000458,-2.7645348465511526e-05,-6.536074335353924e-06,-0.020556344166174283,-5.1380239019875655e-05,-1.0577031950669148e-05,-0.02015127021974264,-5.036098724442251e-05,-1.08773483294296e-07,-0.01083863728583088,-2.709641650806081e-05,-2.4923339792777404e-07,-0.01070861494192848,-2.67711325548746e-05,-1.2262920905430579e-05,-0.01990953176891296,-4.975390132988351e-05,-0.48,0.0,0.07500007110921252,0.18023309870284568,0.02952076287484937
0.018000000000000002,17.0,0.5754933360498729,-7.291282398865034e-06,-0.024499425528320566,-6.123605390194975e-05,2.860181093173489e-06,-0.009526402839257847,-2.382091483176501e-05,-5.225335676566768e-06,-0.009338679888026785,-2.3337734207075003e-05,0.007087074955025726,-0.024016651018230622,-7.506976162837758e-05,-0.0008393846209998701,-0.009226651316909005,-2.1210214929778096e-05,-0.00041183700456457807,-0.013016360608369014,-3.16673889405004e-05,0.0071061599878790875,-0.023728542727886912,-7.441592609173089e-05,-0.0010038918229414574,-0.01275986614042342,-2.96648283716868e-05,-0.0001745790023325708,-0.012606796371622537,-3.1097554561920274e-05,3.64793498141523e-06,-0.012636013563429098,-3.159629314590882e-05,-9.52370514336955e-06,-0.023492964761342047,-5.871607171751673e-05,-1.5411586268157697e-05,-0.02303002310827731,-5.754861519081661e-05,-1.585514900306826e-07,-0.01238701404094958,-3.0967263168665716e-05,-3.633834832748765e-07,-0.012238417076489694,-3.0595419607729416e-05,-1.7867938209657293e-05,-0.02275375059304339,-5.6853719180344895e-05,-0.5485714285714287,0.0,0.07500007202337818,0.1802775135151558,0.029430266515385533
