t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_free_horizontal_y_axis_cylinder_radius2p5_x,object_free_horizontal_y_axis_cylinder_radius2p5_y,object_free_horizontal_y_axis_cylinder_radius2p5_z
0.0,24.0,185.3460053256265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.18,0.105
0.002,25.0,153.4951278551461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022976542188772706,0.0,0.0,0.00025252381107033085,0.0,0.0,0.000146801422621556,0.0,0.0,-0.0023110109282283658,0.0,0.0,0.00027227663032942874,0.0,0.0,0.00014019136240032783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500000977081388,0.18004049544905057,0.10508835407540035
0.004,27.0,122.32984222284877,7.14914296302381e-08,0.0061248563820801415,1.5312140955200354e-05,-2.805365698945314e-08,0.0023816007098144618,5.954001774536155e-06,5.123955030481676e-08,0.002334669972006696,5.836674930016741e-06,-0.008457526148364338,0.0060041627545576555,2.0754542433587317e-05,0.000696824407733274,0.0023066628292272512,5.135347545392301e-06,0.0004566748295975315,0.0032540901520922536,7.768221823676744e-06,-0.008503742611908355,0.005932135681971728,2.0607866525500233e-05,0.0007884934214110341,0.003189966535105855,7.2942247619410645e-06,0.0004191980145732999,0.003151699092905634,7.528769326263266e-06,-3.577594679144949e-08,0.0031590033908572746,7.897508477143187e-06,9.338086454060109e-08,0.005873241190335512,1.468310297583878e-05,1.5111959665884069e-07,0.005757505777069328,1.4393764442673319e-05,1.552371092749345e-09,0.003096753510237395,7.741883775593489e-06,3.5542495807119564e-09,0.0030596042691224236,7.649010672806059e-06,1.7521036617142086e-07,0.005688437648260847,1.4221094120652119e-05,0.13714285714285718,0.0,0.07500001887814363,0.18015755853373172,0.1053430111920101
0.006,21.0,94.5495534055191,3.5745560330904067e-07,0.012249712764160283,3.062410318182663e-05,-1.4026591856094478e-07,0.0047632014196289235,1.1908073683214783e-05,2.561957395160513e-07,0.004669339944013392,1.167322176115772e-05,-0.017606030096473452,0.012008325509115311,5.116462914369912e-05,0.0012934312047079165,0.0046133256584545024,9.791253126803072e-06,0.0007477138516520342,0.006508180304184507,1.512876368646744e-05,-0.01766225774888465,0.011864271363943456,5.092003493962953e-05,0.0013775629679313435,0.00637993307021171,1.397859912200169e-05,0.0007663353287856069,0.006303398185811268,1.4710500428094921e-05,-1.788775147703627e-07,0.006318006781714549,1.5795106394153352e-05,4.669022291177671e-07,0.011746482380671023,2.9365972499516206e-05,7.555931980059846e-07,0.011515011554138655,2.8787151086354992e-05,7.762239415153137e-09,0.00619350702047479,1.5483763670259243e-05,1.777280493934308e-08,0.006119208538244847,1.529801245998817e-05,8.760453850395666e-07,0.011376875296521694,2.8441750215388806e-05,0.27428571428571435,0.0,0.0750000836761772,0.18033639082753036,0.10572789167949082
0.008,22.0,70.40330206515823,1.0008676561415955e-06,0.018374569146240423,4.5935529226592786e-05,-3.92732266878566e-07,0.007144802129443384,1.7862355988404864e-05,7.173376082967137e-07,0.007004009916020087,1.7509384300701428e-05,-0.02894024244706189,0.018012488263672966,8.904629590036603e-05,0.0019645787451841217,0.006919988487681753,1.406639320743459e-05,0.0010188201197766531,0.00976227045627676,2.2536391511561813e-05,-0.028998333340751567,0.01779640704591518,8.864666198699958e-05,0.0020079344094037664,0.009569899605317563,2.048084159346555e-05,0.001086709880218939,0.009455097278716901,2.172190487482824e-05,-5.008455016630147e-07,0.009477010172571822,2.3692972625216484e-05,1.3073153549395507e-06,0.01761972357100653,4.404814167194353e-05,2.115636071079938e-06,0.01727251733120798,4.317940434502493e-05,2.173626691075536e-08,0.009290260530712184,2.322563192118192e-05,4.9771950310171985e-08,0.00917881280736727,2.2946987586405826e-05,2.452893560113546e-06,0.01706531294478254,4.266109224849375e-05,0.4114285714285715,0.0,0.0750001493767639,0.1805657650412182,0.10621399973767072
0.01,22.0,52.20664435409581,2.1446903648841154e-06,0.024499425528320566,6.124606165166106e-05,-8.415292538333519e-07,0.009526402839257847,2.3816988928811816e-05,1.5371181019003215e-06,0.009338679888026785,2.3344906376046224e-05,-0.041758892914317725,0.024016651018230622,0.0001323922336632313,0.0026270282028636473,0.009226651316909005,1.815518142931221e-05,0.0012924236088515113,0.013016360608369014,2.9993851221480905e-05,-0.04182175641009199,0.023728542727886912,0.0001318171901715962,0.002663152843938243,0.01275986614042342,2.6879829327549134e-05,0.001337748613352444,0.012606796371622537,2.8800216228508994e-05,-1.0732029522451824e-06,0.012636013563429098,3.15912860223269e-05,2.801354754903368e-06,0.023492964761342047,5.872914361496777e-05,4.533425201746888e-06,0.02303002310827731,5.756976868051557e-05,4.658418714144223e-08,0.01238701404094958,3.096748076170667e-05,1.0668042547131765e-07,0.012238417076489694,3.0595918261348464e-05,5.256091830139848e-06,0.02275375059304339,5.6878244248708186e-05,0.5485714285714287,0.0,0.07500027167873514,0.18083597154539938,0.10677663660006793
0.012,20.0,35.35860183551343,3.9318679695735105e-06,0.0306242819104007,7.655534305008953e-05,-1.542705037600095e-06,0.011908003549072305,2.9772112695815345e-05,2.8179660238224098e-06,0.011673349860033478,2.9179531854828942e-05,-0.05547627232511884,0.03002081377278827,0.000179449266717765,0.0031731177745683526,0.011533314146136254,2.2265714858181515e-05,0.0015733310808170075,0.016270450760461262,3.744506787902438e-05,-0.05551820012204221,0.029660678409858636,0.00017870608704987655,0.003171684702355317,0.01594983267552927,3.321669957897757e-05,0.0015275983039180355,0.015758495464528167,3.605186712793931e-05,-1.9674462829948537e-06,0.01579501695428637,3.9490225393096544e-05,5.135729820209608e-06,0.02936620595167755,7.340851149230661e-05,8.311080156462352e-06,0.02878752888534663,7.195748865036221e-05,8.542034111129518e-08,0.015483767551186972,3.8709302417499576e-05,1.956456519788149e-07,0.015298021345612114,3.824478666296661e-05,9.63589979040331e-06,0.028442188241304227,7.109233037368523e-05,0.6857142857142857,0.0,0.07500040415379601,0.18113861755109578,0.10739532024343636
0.014,21.0,22.285870390030517,6.505319996266201e-06,0.036749138292480846,9.186301606127817e-05,-2.552269921529594e-06,0.014289604258886769,3.572786740981092e-05,4.6622779913226015e-06,0.014008019832040175,3.501300466504088e-05,-0.06964164269384847,0.03602497652734593,0.00022875312213116192,0.003604239969960002,0.013839976975363506,2.666714800198788e-05,0.001816814294765633,0.01952454091255352,4.487802457934128e-05,-0.06966532776509644,0.03559281409183036,0.00022777753553468146,0.0035717757367038304,0.019139799210635126,3.9920286270699526e-05,0.001670696742623929,0.018910194557433802,4.345649063378942e-05,-3.2550364083004893e-06,0.018954020345143645,4.73899694785666e-05,8.497116448035525e-06,0.03523944714201306,8.808577853048214e-05,1.3750643947271093e-05,0.03454503466241596,8.634180895564874e-05,1.413652131106757e-07,0.018580521061424368,4.645108910270814e-05,3.238399572796438e-07,0.01835762561473454,4.589357492270641e-05,1.5942473919106867e-05,0.03413062588956508,8.53024749744367e-05,0.822857142857143,0.0,0.07500052812412122,0.18146614631258726,0.1080528594578893
0.016,16.0,11.466045881231718,1.000793508132961e-05,0.042873994674560975,0.00010716872338641177,-3.926186896310114e-06,0.016671204968701225,4.168439309655689e-05,7.17241039356519e-06,0.016342689804046868,4.084506881513886e-05,-0.08393810461893937,0.04202913928190358,0.00027917695493938013,0.003971897435851763,0.016146639804590752,3.1355999586576875e-05,0.002004547708934746,0.02277863106464577,5.240454192470034e-05,-0.08394736895096895,0.04152494977380209,0.00027797569384724633,0.0039050567067032823,0.022329765745740977,4.689497502259287e-05,0.0017798019661973024,0.022061893650339434,5.097799226928876e-05,-5.007389868846609e-06,0.022113023736000915,5.529069693102304e-05,1.3072148670692988e-05,0.04111268833234857,0.00010276047803975134,2.1154063901340478e-05,0.04030254043948528,0.00010072197448884502,2.1754696658859472e-07,0.02167727457166176,5.419283301612162e-05,4.984667958555466e-07,0.02141722988385696,5.35422651097492e-05,2.4525841810861165e-05,0.03981906353782592,9.950780265976702e-05,0.96,0.0,0.07500064743967493,0.18181154206508562,0.1087343432549315
0.018000000000000002,19.0,3.573245611407896,1.4582564797729785e-05,0.04899885105664113,0.0001224721078038995,-5.7203621863314204e-06,0.019052805678515694,4.764182966353001e-05,1.0450671353125902e-05,0.01867735977605357,4.667546841415001e-05,-0.09823987175772238,0.048033302036461244,0.0003299285166385015,0.004335349809127469,0.01845330263381801,3.6203512994915616e-05,0.0021905855171785948,0.02603272121673803,6.0070433769508206e-05,-0.09824142300256886,0.047457085455773824,0.000328511136016857,0.004231061711344166,0.02551973228084684,5.403668893535889e-05,0.001885167209583589,0.025213592743245073,5.8584476942619425e-05,-7.295869962798039e-06,0.025272027126858197,6.319258629181761e-05,1.9047410286693125e-05,0.04698592952268409,0.00011743214343503351,3.0823172536322157e-05,0.04606004621655462,0.00011509723038163322,3.171029800613738e-07,0.02477402808189916,6.193452633733143e-05,7.267669665497468e-07,0.02447683415297939,6.119083921545883e-05,3.573587641931459e-05,0.04550750118608678,0.00011370743836068979,1.0971428571428574,0.0,0.07500075067251645,0.18216806199938457,0.10942887161039258
