t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_fixed_horizontal_cylinder_radius2p5_x,object_fixed_horizontal_cylinder_radius2p5_y,object_fixed_horizontal_cylinder_radius2p5_z
0.0,19.0,23916556127441.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.15,0.13
0.002,12.0,2.009728474700868e+16,0.5083738685882393,0.0,0.0,-0.3896780170577493,0.0,0.0,-0.05934792576524497,0.0,0.0,-0.09065110379329516,0.0,0.0,0.0694806957902268,0.0,0.0,0.010585204001534187,0.0,0.0,-1.457402322020815,0.0,0.0,1.030011043039007,0.0,0.0,0.21369563949090398,0.0,0.0,-202.97262119361662,0.0,0.0,25.10216133539306,0.0,0.0,-53.18167088905103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.15,0.13
0.004,37.0,1.5312853416403178e+17,1.428009084759518,0.0,-0.0015251216057647178,-1.0873319463079165,0.0,0.001169034051173248,-0.17042437717167774,0.0,0.0001780437772957349,-0.5238950225894444,0.0,0.0002719533113798855,0.401557521773602,0.0,-0.0002084420873706804,0.06116835346277112,0.0,-3.1755612004602564e-05,-2.9181361245549553,0.0,0.004372206966062445,1.805621432650108,0.0,-0.003090033129117021,0.5562493323659424,0.0,-0.000641086918472712,-185.06199814321837,0.0,0.6089178635808499,-688.4562184731666,0.0,-0.07530648400617918,112.41922433570991,0.0,0.1595450126671531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.15,0.13
0.006,41.0,1488577918526763.5,2.1705298236273443,0.0,-0.004284027254278554,-1.6516500087469932,0.0,0.0032619958389237497,-0.2536278555118156,0.0,0.0005112731315150333,-1.1284432509928748,0.0,0.0015716850677683332,0.8446203145377202,0.0,-0.001204672565320806,0.14190798357887224,0.0,-0.00018350506038831337,-4.096658416314003,0.0,0.008754408373664866,2.210873120830766,0.0,-0.0054168642979503245,0.9428477476322117,0.0,-0.0016687479970978274,9083.102572717926,0.0,0.5551859944296551,-158938.57520501595,0.0,2.0653686554195,95178.99967773605,0.0,-0.3372576730071297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.15,0.13
0.008,12.0,2.009728474700868e+16,0.5083738685882393,0.0,-0.006511589470882033,-0.3896780170577493,0.0,0.0049549500262409795,-0.05934792576524497,0.0,0.0007608835665354469,-0.09065110379329516,0.0,0.0033853297529786246,0.0694806957902268,0.0,-0.002533860943613161,0.010585204001534187,0.0,-0.00042572395073661674,-1.457402322020815,0.0,0.012289975248942011,1.030011043039007,0.0,-0.0066326193624922985,0.21369563949090398,0.0,-0.0028285432428966353,-202.97262119361662,0.0,-27.249307718153776,25.10216133539306,0.0,476.8157256150479,-53.18167088905103,0.0,-285.53699903320813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.15,0.13
0.01,37.0,1.5312853416403178e+17,1.428009084759518,0.0,-0.0015251216057647178,-1.0873319463079165,0.0,0.001169034051173248,-0.17042437717167774,0.0,0.0001780437772957349,-0.5238950225894444,0.0,0.0002719533113798855,0.401557521773602,0.0,-0.0002084420873706804,0.06116835346277112,0.0,-3.1755612004602564e-05,-2.9181361245549553,0.0,0.004372206966062445,1.805621432650108,0.0,-0.003090033129117021,0.5562493323659424,0.0,-0.000641086918472712,-185.06199814321837,0.0,0.6089178635808499,-688.4562184731666,0.0,-0.07530648400617918,112.41922433570991,0.0,0.1595450126671531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.15,0.13
0.012,41.0,1488577918526763.5,2.1705298236273443,0.0,-0.004284027254278554,-1.6516500087469932,0.0,0.0032619958389237497,-0.2536278555118156,0.0,0.0005112731315150333,-1.1284432509928748,0.0,0.0015716850677683332,0.8446203145377202,0.0,-0.001204672565320806,0.14190798357887224,0.0,-0.00018350506038831337,-4.096658416314003,0.0,0.008754408373664866,2.210873120830766,0.0,-0.0054168642979503245,0.9428477476322117,0.0,-0.0016687479970978274,9083.102572717926,0.0,0.5551859944296551,-158938.57520501595,0.0,2.0653686554195,95178.99967773605,0.0,-0.3372576730071297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.15,0.13
0.014,12.0,2.009728474700868e+16,0.5083738685882393,0.0,-0.006511589470882033,-0.3896780170577493,0.0,0.0049549500262409795,-0.05934792576524497,0.0,0.0007608835665354469,-0.09065110379329516,0.0,0.0033853297529786246,0.0694806957902268,0.0,-0.002533860943613161,0.010585204001534187,0.0,-0.00042572395073661674,-1.457402322020815,0.0,0.012289975248942011,1.030011043039007,0.0,-0.0066326193624922985,0.21369563949090398,0.0,-0.0028285432428966353,-202.97262119361662,0.0,-27.249307718153776,25.10216133539306,0.0,476.8157256150479,-53.18167088905103,0.0,-285.53699903320813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.15,0.13
0.016,37.0,1.5312853416403178e+17,1.428009084759518,0.0,-0.0015251216057647178,-1.0873319463079165,0.0,0.001169034051173248,-0.17042437717167774,0.0,0.0001780437772957349,-0.5238950225894444,0.0,0.0002719533113798855,0.401557521773602,0.0,-0.0002084420873706804,0.06116835346277112,0.0,-3.1755612004602564e-05,-2.9181361245549553,0.0,0.004372206966062445,1.805621432650108,0.0,-0.003090033129117021,0.5562493323659424,0.0,-0.000641086918472712,-185.06199814321837,0.0,0.6089178635808499,-688.4562184731666,0.0,-0.07530648400617918,112.41922433570991,0.0,0.1595450126671531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.15,0.13
0.018000000000000002,41.0,1488577918526763.5,2.1705298236273443,0.0,-0.004284027254278554,-1.6516500087469932,0.0,0.0032619958389237497,-0.2536278555118156,0.0,0.0005112731315150333,-1.1284432509928748,0.0,0.0015716850677683332,0.8446203145377202,0.0,-0.001204672565320806,0.14190798357887224,0.0,-0.00018350506038831337,-4.096658416314003,0.0,0.008754408373664866,2.210873120830766,0.0,-0.0054168642979503245,0.9428477476322117,0.0,-0.0016687479970978274,9083.102572717926,0.0,0.5551859944296551,-158938.57520501595,0.0,2.0653686554195,95178.99967773605,0.0,-0.3372576730071297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.15,0.13
