t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_fixed_horizontal_cylinder_radius2p5_x,object_fixed_horizontal_cylinder_radius2p5_y,object_fixed_horizontal_cylinder_radius2p5_z
0.0,48.0,237.66254487451272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.2,0.115
0.002,48.0,189.9909032570637,-0.003504529125535424,0.0,0.0,0.0026862905835222605,0.0,0.0,0.00040911927100660284,0.0,0.0,-0.0034887798199909506,0.0,0.0,0.0026742184322011745,0.0,0.0,0.000407280693894853,0.0,0.0,-0.003483630634455241,0.0,0.0,0.0026702714854625604,0.0,0.0,0.0004066795744963692,0.0,0.0,-0.003474509607407962,0.0,0.0,0.0026632800390238662,0.0,0.0,0.0004056147841920629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.2,0.115
0.004,47.0,134.2877360208756,-0.01294703398252341,0.0019395378543253779,2.177626791944321e-05,0.00992405288329694,0.0007541735581079128,-7.72846810165739e-06,0.001511507059257623,0.0007393121578021203,1.3207715471820699e-06,-0.012928639050435767,0.001901318205609924,2.15603921024035e-05,0.009909947521745255,0.0007304432292552962,-7.775100811783513e-06,0.0015093769234045557,0.00103046188149588,2.492724750404108e-06,-0.012981501913161025,0.0018785096326243804,2.144856106831849e-05,0.009950478049379173,0.0010101560694501873,-6.640461664049493e-06,0.0015155414998145854,0.000998038046086784,2.3654338863616595e-06,-0.01292116430621513,0.0010003510737714703,1.789944272471773e-05,0.00990424425606919,0.0018598597102729116,-3.2136813150038188e-06,0.0015085309048419552,0.0018232101627386201,5.670381514186229e-06,7.865346869929988e-10,0.000980638611575175,3.922554446300701e-06,1.800819787560727e-09,0.0009688746852221007,3.875498740888403e-06,8.877325219351987e-08,0.0018013385886159346,7.2053543544637386e-06,0.043428571428571434,0.0,0.075,0.2,0.115
0.006,48.0,90.35795968908795,-0.026795979975698596,0.0038790757086507558,6.730443876469666e-05,0.020538851554493014,0.0015083471162158255,-3.366282306832446e-05,0.0031286120953987013,0.0014786243156042407,-1.3153097461352912e-07,-0.02681957186607553,0.003802636411219848,6.692510184662246e-05,0.020556906047123093,0.0014608864585105923,-3.3796244252938655e-05,0.003131453963996213,0.00206092376299176,2.2061873583488177e-06,-0.02692975780454298,0.003757019265248761,6.695408471363915e-05,0.020641413268811387,0.0020203121389003745,-3.17206636419152e-05,0.003144284998366283,0.001996076092173568,1.922138369435931e-06,-0.02685983702331793,0.0020007021475429406,5.9687465815032285e-05,0.0205878994383776,0.0037197194205458232,-2.4738099342093463e-05,0.0031362883262480755,0.0036464203254772403,8.55155768254114e-06,3.932984691571828e-09,0.00196127722315035,7.845105746462653e-06,9.005361174811955e-09,0.0019377493704442015,7.750990278497655e-06,4.438610355581821e-07,0.0036026771772318692,1.4410353615918703e-05,0.08685714285714287,0.0,0.075,0.2,0.115
0.008,45.0,53.21778351887411,-0.04378225076667947,0.005818613562976133,0.0001304583741546989,0.03353650639005734,0.002262520674323738,-7.310532352067711e-05,0.005136921196163869,0.0022179364734063608,-3.6427024879693624e-06,-0.04378812458358952,0.005703954616829771,0.00013009410593162123,0.033526839806327965,0.002191329687765888,-7.346230543742882e-05,0.005154830106256983,0.0030913856444876402,-1.6027327803429075e-07,-0.04401160606084395,0.00563552889787314,0.00013026114680966447,0.03371499098388405,0.0030304682083505613,-7.04437802418433e-05,0.005160697689209256,0.0029941141382603515,-6.006834404237264e-07,-0.0438920383475281,0.00300105322131441,0.00011944356097852936,0.033628151338603696,0.005579579130818734,-6.003328123023547e-05,0.0051417156678619,0.00546963048821586,9.333368647871138e-06,1.101397567207067e-08,0.0029419158347255246,1.1767647606963333e-05,2.522157478434764e-08,0.0029066240556663014,1.1626460201220507e-05,1.2427837277633386e-06,0.0054040157658478034,2.161428761924898e-05,0.13028571428571428,0.0,0.075,0.2,0.115
0.01,46.0,24.21684553282298,-0.0627714336016536,0.0077581514173015115,0.00020616160873592393,0.04786330056869064,0.003016694232431651,-0.00012207924863050278,0.007614824863667671,0.0029572486312084813,-8.71869025982155e-06,-0.06277127781930693,0.007605272822439696,0.00020557358962411688,0.047849288964672394,0.0029217729170211847,-0.00012242026755722712,0.007632711798150258,0.00412184752598352,-4.131930321093852e-06,-0.0630447615955479,0.007514038530497522,0.00020610257836536588,0.04805391210879351,0.004040624277800749,-0.00011869746682433322,0.007668116445406284,0.003992152184347136,-4.67418201944848e-06,-0.06291686036451627,0.004001404295085881,0.00019157377057045592,0.04801086207041368,0.0074394388410916465,-0.0001047548499900482,0.007591410170540657,0.0072928406509544805,8.604499932370322e-06,2.3606623348874587e-08,0.0039225544463007,1.569017372930011e-05,5.4067508171856864e-08,0.003875498740888403,1.5501894077254475e-05,2.6630199055087664e-06,0.0072053543544637385,2.8816446282943902e-05,0.17371428571428574,0.0,0.075,0.2,0.115
0.012,51.0,11.970777830340822,-0.08280985350467483,0.009697689271626888,0.00028987649149312197,0.062457858060252544,0.0037708677905395637,-0.00017636973111260433,0.01081238018007756,0.0036965607890106014,-1.567305629862828e-05,-0.0828232040084056,0.00950659102804962,0.00028911147538942617,0.06248766523462238,0.0036522161462764807,-0.00017678829127358364,0.01079251362677769,0.005152309407479401,-9.921609562683429e-06,-0.08312127354649708,0.009392548163121902,0.0002897492390346792,0.06270575274470752,0.005050780347250936,-0.00017201252704617033,0.010834151839983095,0.00499019023043392,-1.0711704859889458e-05,-0.083042217197815,0.005001755368857351,0.0002716744629334945,0.06275179912055825,0.009299298551364557,-0.0001548462540761965,0.010707793280209689,0.0091160508136931,6.09856257260977e-06,4.329177855448216e-08,0.004903193057875875,1.9612677805010108e-05,9.917635229802343e-08,0.0048443734261105036,1.9377277434409326e-05,4.881985448815971e-06,0.009006692943079674,3.6016119692696654e-05,0.21714285714285717,0.0,0.075,0.2,0.115
0.014,46.0,7.070969286929574,-0.10337951150312544,0.011637227125952266,0.00037778832252250837,0.0769269425212338,0.004525041348647476,-0.00023173126684642025,0.01464052869500867,0.0044358729468127215,-2.5506028933059358e-05,-0.10341226393715638,0.011407909233659542,0.00037692445296826055,0.0769991505029048,0.004382659375531776,-0.00023242002343636242,0.014589816806082023,0.0061827712889752804,-1.843896935120964e-05,-0.10373063791018364,0.01127105779574628,0.0003775693253689734,0.07726554239439899,0.006060936416701123,-0.0002265792653120256,0.014591675065855535,0.005988228276520703,-1.938369425384957e-05,-0.10371659060432653,0.00600210644262882,0.00035617729456177526,0.07736384638069976,0.011159158261637468,-0.00020637056343568316,0.014476905308696759,0.01093926097643172,9.25870784888122e-07,7.16552723097866e-08,0.005883831669451049,2.353515351068998e-05,1.642014852494323e-07,0.005813248111332603,2.325259573992122e-05,8.077012651906753e-06,0.010808031531695607,4.3212598184987166e-05,0.26057142857142856,0.0,0.075,0.2,0.115
0.016,48.0,4.155805174112981,-0.12425671096539516,0.013576764980277642,0.0004678251059336123,0.09130097004913065,0.005279214906755389,-0.0002865909104579137,0.018837491313095582,0.005175185104614842,-3.786137436157532e-05,-0.12432337921217981,0.013309227439269466,0.0004668859655057034,0.09141158312327428,0.005113102604787072,-0.00028754419159247093,0.018774302144176157,0.00721323317047116,-2.950633454244345e-05,-0.1246398453028313,0.013149567428370661,0.0004675208213542172,0.09173229581613043,0.0070710924861513095,-0.0002807777996329907,0.018708563260986175,0.006986266322607487,-3.042163497299219e-05,-0.12470797846426343,0.007002457516400291,0.0004428761924829073,0.09187894378753332,0.01301901797191038,-0.0002573793136351575,0.018626438257551423,0.01276247113917034,-6.857736678105679e-06,1.1028916093697934e-07,0.006864470281026224,2.745759450301566e-05,2.528215121086112e-07,0.006782122796554704,2.712783438027782e-05,1.2425329343303027e-05,0.01260937012031154,5.0405172430638537e-05,0.304,0.0,0.075,0.2,0.115
0.018000000000000002,50.0,0.6236823872603312,-0.14530091466652043,0.015516302834603023,0.0005590920551999928,0.10560386012744179,0.006033388464863302,-0.0003410703263370694,0.023245814699727682,0.005914497262416963,-5.169197620271448e-05,-0.145384285785225,0.015210545644879392,0.0005581356994282369,0.10575852962255594,0.005843545834042369,-0.00034227214915692766,0.02314757171167195,0.00824369505196704,-4.212242836883646e-05,-0.14568405602208467,0.015028077060995043,0.0005586716894553054,0.10613798324123495,0.008081248555601498,-0.00033460418904211574,0.02299621471470967,0.007984304368694272,-4.289703556916761e-05,-0.14584622612972156,0.008002808590171762,0.0005308431482177408,0.10633019287268444,0.014878877682183293,-0.0003080002644214001,0.022960999073981192,0.014585681301908961,-1.6163027822569848e-05,1.6079297121938657e-07,0.0078451088926014,3.137999441376185e-05,3.6874529987391635e-07,0.007750997481776806,3.100297864105879e-05,1.810403801778082e-05,0.014410708708927477,5.75931335183367e-05,0.3474285714285715,0.0,0.075,0.2,0.115
0.02,48.0,0.0,-0.16637167446389572,0.0174558406889284,0.0006510270214217953,0.11987268614392685,0.006787562022971215,-0.0003952651924178823,0.027701848167162302,0.006653809420219083,-6.63680211180344e-05,-0.1664657984124696,0.017111863850489316,0.0006499845985428572,0.12007359884230476,0.006573989063297665,-0.0003967381622370331,0.027561895938171085,0.009274156933462922,-5.549365911283611e-05,-0.16674981986531362,0.016906586693619424,0.0006503625708628164,0.12051165700324692,0.009091404625051685,-0.00038818631446473306,0.02732585553188996,0.008982342414781056,-5.605548919971446e-05,-0.16700290634707038,0.009003159663943232,0.0006193975431746593,0.12075161736584199,0.016738737392456203,-0.0003583658219209129,0.02733397196561635,0.01640889146464758,-2.620843043733445e-05,2.2477494561842512e-07,0.008825747504176576,3.530234684482143e-05,5.157170063307493e-07,0.008719872166998906,3.487801368679613e-05,2.5290094982810025e-05,0.01621204729754341,6.477577303810251e-05,0.3908571428571429,0.0,0.075,0.2,0.115
