t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_fixed_horizontal_cylinder_radius2p5_x,object_fixed_horizontal_cylinder_radius2p5_y,object_fixed_horizontal_cylinder_radius2p5_z
0.0,37.0,3.2069803734421627e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.145,0.085
0.002,37.0,3.2069803732869816e+18,1.538171367620223e-06,0.0,0.0,-7.715668230239753e-06,0.0,0.0,3.0887484313097644e-06,0.0,0.0,5.3565862569786544e-08,0.0,0.0,1.3312599569145891e-07,0.0,0.0,-9.334592913062273e-08,0.0,0.0,-3.5928372144829046e-07,0.0,0.0,-1.7423079768456721e-06,0.0,0.0,1.0507958491469812e-06,0.0,0.0,5.479330954120794e-08,0.0,0.0,2.264950973000331e-07,0.0,0.0,-1.4064420342062057e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.145,0.085
0.004,37.0,3.2069803728418074e+18,5.75589280769319e-06,-0.0027153529960555287,-1.6301347004538895e-05,-2.9020433956786538e-05,-0.0010558429813510779,-6.288763878725029e-06,1.1554411141833133e-05,-0.0010350370209229684,-6.228754616125669e-06,2.0044505023473307e-07,-0.002661845487853893,-1.597139432229878e-05,5.006401498953918e-07,-0.0010226205209574145,-6.136521881718637e-06,-4.5873409666090917e-07,-0.001442646634094232,-8.655319728990609e-06,-1.3444529582335473e-06,-0.002629913485674132,-1.5777325211716103e-05,-6.5794290813855465e-06,-0.001414218497230262,-8.474857135520498e-06,3.857068215286127e-06,-0.0013972532645214974,-8.389824362223866e-06,2.0504012257049078e-07,-0.001400491503280058,-8.403277779537596e-06,8.472540982761959e-07,-0.002603803594382076,-1.5624180536876256e-05,-7.175736291989017e-07,-0.002552494227834068,-1.5314121501783884e-05,-1.6517228426852952e-09,-0.0013728940562052448,-8.237364337231469e-06,-3.781721553877531e-09,-0.0013564245593109408,-8.138547355865645e-06,-1.8642382960639175e-07,-0.002521874024062308,-1.5131244144373849e-05,-0.0608,0.0,0.075,0.145,0.085
0.006,37.0,3.20698037216858e+18,1.2144344770460556e-05,-0.0054307059921110575,-3.26187713095125e-05,-6.152002975114847e-05,-0.0021116859627021557,-1.2495993172472215e-05,2.429814205824422e-05,-0.0020700740418459367,-1.248977071792662e-05,4.2291735151067416e-07,-0.005323690975707786,-3.1943348524548125e-05,1.0601400594518247e-06,-0.002045241041914829,-1.2274450092388346e-05,-1.2824657874280385e-06,-0.002885293268188464,-1.730900720455082e-05,-2.8366591894944017e-06,-0.005259826971348264,-3.1550895110340186e-05,-1.4001996701545652e-05,-0.002828436994460524,-1.6931145392274833e-05,7.894832262208202e-06,-0.0027945065290429947,-1.6790181583549687e-05,4.326191828739959e-07,-0.002800983006560116,-1.680712828009612e-05,1.780237506277085e-06,-0.005207607188764152,-3.125072665717457e-05,-2.0635281995669794e-06,-0.005104988455668136,-3.062562529223362e-05,-8.259594671738e-09,-0.0027457881124104896,-1.6474718764125883e-05,-1.89125838159638e-08,-0.0027128491186218817,-1.6277072021401965e-05,-9.321026879922943e-07,-0.005043748048124616,-3.026136974577006e-05,-0.1216,0.0,0.075,0.145,0.085
0.008,37.0,3.2069803713108173e+18,2.029123118334124e-05,-0.008146058988166586,-4.894921999762228e-05,-0.00010323760490848046,-0.0031675289440532333,-1.863605348581251e-05,4.038081760638463e-05,-0.003105111062768905,-1.8776455228962895e-05,7.066236037095033e-07,-0.00798553646356168,-4.7915756285479145e-05,1.7762734240586015e-06,-0.0030678615628722435,-1.841353021759017e-05,-2.75599307888876e-06,-0.004327939902282696,-2.595994461897161e-05,-4.739599980133685e-06,-0.007889740457022397,-4.732142278699742e-05,-2.358455375458055e-05,-0.004242655491690786,-2.5371920969935444e-05,1.2693106938490644e-05,-0.0041917597935644925,-2.5197927754960207e-05,7.228491151764649e-07,-0.004201474509840175,-2.5211442774138293e-05,2.9564409289424707e-06,-0.007811410783146228,-4.687914612391503e-05,-4.519394966423125e-06,-0.007657482683502204,-4.593251493181582e-05,-2.313196347029504e-08,-0.0041186821686157345,-2.471204345412638e-05,-5.297590947688091e-08,-0.004069273677932823,-2.441552859209404e-05,-2.6098019357285753e-06,-0.007565622072186925,-4.5388139816993595e-05,-0.1824,0.0,0.075,0.145,0.085
0.01,36.0,3.2069803703038075e+18,2.9862468886343177e-05,-0.010861411984222115,-6.529021929243274e-05,-0.0001525408679291444,-0.004223371925404311,-2.4720805922974983e-05,5.8995916083169744e-05,-0.0041401480836918735,-2.5083173407789552e-05,1.0399281936985215e-06,-0.010647381951415572,-6.38885314501157e-05,2.6195713178869607e-06,-0.004090482083829658,-2.45535501435223e-05,-5.0749884018395285e-06,-0.005770586536376928,-3.460698325978824e-05,-6.975241894317887e-06,-0.010519653942696529,-6.308948605629838e-05,-3.242900222715877e-05,-0.005656873988921048,-3.3799736610998807e-05,1.6553575827001982e-05,-0.0055890130580859895,-3.361023699014688e-05,1.0638354471815872e-06,-0.005601966013120232,-3.3616133173412454e-05,4.317835634651939e-06,-0.010415214377528305,-6.250902491074348e-05,-8.432801325805476e-06,-0.010209976911336271,-6.123274509821908e-05,-4.9585020931433365e-08,-0.005491576224820979,-3.294931855714505e-05,-1.1358682504984978e-07,-0.005425698237243763,-3.255387156800572e-05,-5.592155263963472e-06,-0.010087496096249232,-6.0509317765881025e-05,-0.2432,0.0,0.075,0.145,0.085
0.012,36.0,3.2069803691761654e+18,4.05873505931778e-05,-0.013576764980277642,-8.163976469498391e-05,-0.00020694655468013145,-0.005279214906755389,-3.076004423295746e-05,7.887930117905015e-05,-0.005175185104614842,-3.1405086124188064e-05,1.413402473176732e-06,-0.013309227439269466,-7.9861604204779e-05,3.5654733916145814e-06,-0.005113102604787072,-3.0694333056629755e-05,-8.438569814009077e-06,-0.00721323317047116,-4.324894909241592e-05,-9.48035478766518e-06,-0.013149567428370661,-7.885555311885806e-05,-3.589118662051294e-05,-0.0070710924861513095,-4.22319809035449e-05,1.6912308710717647e-05,-0.006986266322607487,-4.201691939060694e-05,1.4459415836501606e-06,-0.007002457516400291,-4.2021128111084834e-05,5.815631858828403e-06,-0.01301901797191038,-7.814001484527019e-05,-1.4156930536900406e-05,-0.01276247113917034,-7.65242300270672e-05,-9.094672440305134e-08,-0.006864470281026224,-4.118652417603176e-05,-2.0840815335752077e-07,-0.006782122796554704,-4.069205525837793e-05,-1.025159888227786e-05,-0.01260937012031154,-7.562266779028546e-05,-0.304,0.0,0.075,0.145,0.085
0.014,36.0,3.2069803679510804e+18,5.2246522448010026e-05,-0.016292117976333172,-9.79962319615581e-05,-0.0002634168642642393,-0.006335057888106467,-3.676866800055802e-05,9.846360643393505e-05,-0.00621022212553781,-3.773460856030116e-05,1.8194061555785234e-06,-0.01597107292712336,-9.583491797757921e-05,4.5935136246513264e-06,-0.006135723125744487,-3.683573159481661e-05,-1.3048654963510406e-05,-0.008655879804565392,-5.188464740850829e-05,-1.2203703560845129e-05,-0.015779480914044793,-9.462000335554278e-05,-3.487267003437074e-05,-0.008485310983381572,-5.069651878056636e-05,1.3984565159989239e-05,-0.008383519587128985,-5.0402591375038216e-05,1.8613602032224258e-06,-0.00840294901968035,-5.0426369767584e-05,7.408814717027553e-06,-0.015622821566292456,-9.377182318890771e-05,-2.2049522814807138e-05,-0.015314965367004408,-9.180485061880504e-05,-1.505607189564865e-07,-0.008237364337231469,-4.9423640343042396e-05,-3.4516629302128087e-07,-0.008138547355865645,-4.8830033686273726e-05,-1.696030573766373e-05,-0.01513124414437385,-9.072595527294943e-05,-0.3648,0.0,0.075,0.145,0.085
0.016,36.0,3.206980366647346e+18,6.466224224729846e-05,-0.0190074709723887,-0.00011435830496902026,-0.0003215685000030866,-0.007390900869457544,-4.276490403115983e-05,0.00011748783898050411,-0.007245259146460778,-4.406233651736828e-05,2.2517481167024648e-06,-0.018632918414977252,-0.00011180842692679699,5.686640312585603e-06,-0.0071583436467019005,-4.297762296195931e-05,-1.910942140732968e-05,-0.010098526438659624,-6.051286670217669e-05,-1.510377265000879e-05,-0.018409394399718924,-0.00011038314417694849,-3.012369256656002e-05,-0.009899529480611834,-5.918794086346478e-05,7.915312127980178e-06,-0.009780772851650481,-5.8768544500862825e-05,2.30376601514079e-06,-0.009803440522960406,-5.883181129898177e-05,9.062910280637353e-06,-0.018226625160674532,-0.00010940420385234936,-3.2472031428383527e-05,-0.017867459594838472,-0.00010707246043214199,-2.3179025962777098e-07,-0.009610258393436714,-5.766064699630655e-05,-5.316670797577457e-07,-0.009494971915176585,-5.696776049330138e-05,-2.6090119777068576e-05,-0.017653118168436156,-0.00010581694717619096,-0.4256,0.0,0.075,0.145,0.085
0.018000000000000002,36.0,3.206980365280191e+18,7.769048568307494e-05,-0.02172282396844423,-0.00013072491726414916,-0.00038108429271994275,-0.008446743850808623,-4.875105210483321e-05,0.00013570727519090364,-0.008280296167383747,-5.0386704038185507e-05,2.7054115244099947e-06,-0.021294763902831144,-0.00012778209390568708,6.830648348851228e-06,-0.008180964167659316,-4.911990484783141e-05,-2.6826854855930666e-05,-0.011541173072753857,-6.913238190807916e-05,-1.814692218805958e-05,-0.021039307885393058,-0.0001261452246764583,-2.227178660433982e-05,-0.011313747977842096,-6.770174571165322e-05,-1.207417340277119e-06,-0.011178026116171979,-6.711564856979975e-05,2.7680344317014624e-06,-0.011203932026240464,-6.723741475353363e-05,1.0748945912867471e-05,-0.02083042875505661,-0.00012503694999202347,-4.5788908267847817e-05,-0.020419953822672542,-0.00012232489074746495,-3.3802213387976554e-07,-0.010983152449641959,-6.589752395629398e-05,-7.758116242912723e-07,-0.010851396474487527,-6.510518884444661e-05,-3.8012490265941025e-05,-0.020174992192498464,-0.00012089341243632837,-0.4864,0.0,0.075,0.145,0.085
