t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_fixed_horizontal_cylinder_radius2p5_x,object_fixed_horizontal_cylinder_radius2p5_y,object_fixed_horizontal_cylinder_radius2p5_z
0.0,53.0,253.17073570190502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.19,0.045
0.002,52.0,214.04816056460322,0.0035247614757543968,0.0,0.0,-0.0005371813300244321,0.0,0.0,-0.0025527966079148634,0.0,0.0,0.003502628529938923,0.0,0.0,-0.0009249956994140029,0.0,0.0,-0.002165603603629534,0.0,0.0,0.003487984513810423,0.0,0.0,-0.0009221943216318181,0.0,0.0,-0.0021457569494089655,0.0,0.0,0.0034964427525331562,0.0,0.0,-0.0006847182805354468,0.0,0.0,-0.00239851078982523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.19,0.045
0.004,50.0,172.2444277919883,0.013096514719815754,-0.0027153529960555287,-3.7440686830859555e-05,-0.0017126695668272702,-0.0010558429813510779,-3.1119699079598745e-06,-0.009694944717661415,-0.0010350370209229684,9.106557521951371e-06,0.013007229287584236,-0.002661845487853893,-3.698684410675689e-05,-0.002991815676541316,-0.0010226205209574145,-5.857489292604694e-07,-0.00841389174961132,-0.001442646634094232,4.33774181721181e-06,0.012971341363373546,-0.002629913485674132,-3.670738799690733e-05,-0.0028586951815024898,-0.001414218497230262,-2.952145053590664e-06,-0.008475431664074013,-0.0013972532645214974,4.491022109324809e-06,0.013063499851176203,-0.001400491503280058,-2.938160553487929e-05,-0.002404870392789429,-0.002603803594382076,-1.1514511883079776e-05,-0.009026144844858166,-0.002552494227834068,-9.239006280530272e-07,-1.6517228426852952e-09,-0.0013728940562052448,-8.237364337231469e-06,-3.781721553877532e-09,-0.0013564245593109408,-8.138547355865645e-06,-1.8642382960639175e-07,-0.002521874024062308,-1.5131244144373849e-05,-0.0608,0.0,0.075,0.19,0.045
0.006,47.0,131.90996819744015,0.027349196672557086,-0.0054307059921110575,-0.00011116332427156088,-0.00353304145014547,-0.0021116859627021557,-2.394098375249313e-06,-0.02009377890274431,-0.0020700740418459367,4.5749224054892876e-05,0.02717215163484951,-0.005323690975707786,-0.00010998552157975212,-0.005348243198392265,-0.002045241041914829,5.679447807758923e-06,-0.018240920489111773,-0.002885293268188464,3.317159088853714e-05,0.027139172572515285,-0.005259826971348264,-0.00010938701000833088,-0.0053286802181088146,-0.002828436994460524,1.8154912225179423e-07,-0.018161901028381056,-0.0027945065290429947,3.4085550810186114e-05,0.027290975759833053,-0.002800983006560116,-9.518689714641791e-05,-0.00459213679662299,-0.005207607188764152,-1.681642077584834e-05,-0.01906807435916613,-0.005104988455668136,2.3526938335140184e-05,-8.259594671737999e-09,-0.0027457881124104896,-1.6474718764125883e-05,-1.8912583815963787e-08,-0.0027128491186218817,-1.6277072021401965e-05,-9.321026879922943e-07,-0.005043748048124616,-3.026136974577006e-05,-0.1216,0.0,0.075,0.19,0.045
0.008,47.0,102.65255428915715,0.04507766706980422,-0.008146058988166586,-0.00021297153396434204,-0.005851774408625294,-0.0031675289440532333,2.193075036553421e-06,-0.032694484964125026,-0.003105111062768905,0.00010193200703985242,0.04481405407978872,-0.00798553646356168,-0.00021094612859046713,-0.007700900955675794,-0.0030678615628722435,1.3682289813120131e-05,-0.03072239715390794,-0.004327939902282696,8.347788352097447e-05,0.04479742818830132,-0.007889740457022397,-0.00021017347817722608,-0.00780051982239748,-0.004242655491690786,6.516148358508172e-06,-0.030500855265666423,-0.0041917597935644925,8.382084740889938e-05,0.04497413985764045,-0.004201474509840175,-0.00018895470161803935,-0.0069585554820109,-0.007811410783146228,-1.931564391913943e-05,-0.03159548286932676,-0.007657482683502204,6.846355005398357e-05,-2.3131963470295036e-08,-0.0041186821686157345,-2.471204345412638e-05,-5.29759094768809e-08,-0.004069273677932823,-2.441552859209404e-05,-2.609801935728575e-06,-0.007565622072186925,-4.5388139816993595e-05,-0.1824,0.0,0.075,0.19,0.045
0.01,48.0,73.90185361194851,0.06542628425458635,-0.010861411984222115,-0.00033563447432415804,-0.00816557504971427,-0.004223371925404311,9.770414899325896e-06,-0.047088455092434915,-0.0041401480836918735,0.0001713260212825989,0.06491996820432824,-0.010647381951415572,-0.00033276861618722575,-0.00970697627444253,-0.004090482083829658,2.1662513231076816e-05,-0.045164124761110425,-0.005770586536376928,0.00014971086370518607,0.06492759338850888,-0.010519653942696529,-0.0003319024927859871,-0.009974775868177924,-0.005656873988921048,1.286187500085859e-05,-0.044771817948679786,-0.0055890130580859895,0.00014947105324548263,0.06511993068428959,-0.005601966013120232,-0.0003034566352245641,-0.009100895780108632,-0.010415214377528305,-2.073995337310443e-05,-0.04598301761217229,-0.010209976911336271,0.0001283130357479429,-4.9585020931433385e-08,-0.005491576224820979,-3.294931855714505e-05,-1.1358682504984984e-07,-0.005425698237243763,-3.255387156800572e-05,-5.592155263963472e-06,-0.010087496096249232,-6.0509317765881025e-05,-0.2432,0.0,0.075,0.19,0.045
0.012,49.0,47.821255966328266,0.08739431041215061,-0.013576764980277642,-0.00047401829540918397,-0.010138224431620033,-0.005279214906755389,1.731816085775329e-05,-0.06269747807199623,-0.005175185104614842,0.00025147961992692044,0.08667736604051532,-0.013309227439269466,-0.0004693751738615862,-0.011315492445450178,-0.005113102604787072,2.7563242017932747e-05,-0.06086849866892159,-0.00721323317047116,0.0002277053495438356,0.08668310176426156,-0.013149567428370661,-0.00046846296490127726,-0.01185965365566684,-0.0070710924861513095,1.7422100292159685e-05,-0.060218752714846835,-0.006986266322607487,0.0002267133097564338,0.08692707332706492,-0.007002457516400291,-0.00043273432920413926,-0.01088475028311676,-0.01301901797191038,-2.3508733150810487e-05,-0.061608224263563535,-0.01276247113917034,0.00019932327883801174,-9.094672440305134e-08,-0.006864470281026224,-4.118652417603176e-05,-2.0840815335752088e-07,-0.006782122796554704,-4.069205525837793e-05,-1.025159888227786e-05,-0.01260937012031154,-7.562266779028546e-05,-0.304,0.0,0.075,0.19,0.045
0.014,47.0,21.5666031318016,0.11027270103306855,-0.016292117976333172,-0.0006221185703309027,-0.011848281744991748,-0.006335057888106467,2.2818999261081396e-05,-0.07891490924615674,-0.00621022212553781,0.0003389235356787505,0.10941517071343945,-0.01597107292712336,-0.000615890633805832,-0.012645443002905578,-0.006135723125744487,3.107861591823415e-05,-0.07723173072733609,-0.008655879804565392,0.0003132757131861372,0.10944167275074622,-0.015779480914044793,-0.0006147754960698381,-0.013467135870925129,-0.008485310983381572,2.024605603371161e-05,-0.0763352803111553,-0.008383519587128985,0.0003110113987663071,0.10981751004612192,-0.00840294901968035,-0.0005719801340804717,-0.012503890297301402,-0.015622821566292456,-2.8428427699054178e-05,-0.0778856961682238,-0.015314965367004408,0.0002777595533793548,-1.5056071895648644e-07,-0.008237364337231469,-4.9423640343042396e-05,-3.451662930212809e-07,-0.008138547355865645,-4.8830033686273726e-05,-1.696030573766373e-05,-0.01513124414437385,-9.072595527294943e-05,-0.3648,0.0,0.075,0.19,0.045
0.016,49.0,3.0418903154808197,0.13357131578613465,-0.0190074709723887,-0.0007756810320327435,-0.013412141148747815,-0.007390900869457544,2.6744285253205222e-05,-0.09536864051082745,-0.007245259146460778,0.0004300179005981758,0.13261510565552945,-0.018632918414977252,-0.0007682885347705002,-0.013819395763304576,-0.0071583436467019005,3.2922596137222066e-05,-0.09385809789389969,-0.010098526438659624,0.0004027992257320589,0.13269408158120935,-0.018409394399718924,-0.0007671064029027909,-0.014900737317056496,-0.009899529480611834,2.1405638341879768e-05,-0.09273749208927204,-0.009780772851650481,0.0003993270447570289,0.13320372963471722,-0.009803440522960406,-0.000717725703414494,-0.014068379845898468,-0.018226625160674532,-3.433640918023878e-05,-0.09439940064041626,-0.017867459594838472,0.00036010941944031197,-2.317902596277709e-07,-0.009610258393436714,-5.766064699630655e-05,-5.316670797577458e-07,-0.009494971915176585,-5.696776049330138e-05,-2.6090119777068576e-05,-0.017653118168436156,-0.00010581694717619096,-0.4256,0.0,0.075,0.19,0.045
0.018000000000000002,49.0,0.0,0.1569779538081274,-0.02172282396844423,-0.0009317648385274734,-0.014923665153595243,-0.008446743850808623,2.9792383787635155e-05,-0.11186641376179893,-0.008280296167383747,0.0005225300660606623,0.15588732048423293,-0.021294763902831144,-0.0009234592173501635,-0.014954522244171596,-0.008180964167659316,3.383058957387156e-05,-0.11051434613813672,-0.011541173072753857,0.000493901548926875,0.15603992054124433,-0.021039307885393058,-0.0009224003367996145,-0.016287430823090743,-0.011313747977842096,2.15219360352864e-05,-0.10918024723064212,-0.011178026116171979,0.0004893567958386004,0.15667637183093344,-0.011203932026240464,-0.000866445969965746,-0.015590352937463829,-0.02083042875505661,-4.057229345494885e-05,-0.11094750123822943,-0.020419953822672542,0.0004438766809064623,-3.380221338797655e-07,-0.010983152449641959,-6.589752395629398e-05,-7.758116242912727e-07,-0.010851396474487527,-6.510518884444661e-05,-3.801249026594103e-05,-0.020174992192498464,-0.00012089341243632837,-0.4864,0.0,0.075,0.19,0.045
