t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_fixed_horizontal_cylinder_radius2p5_x,object_fixed_horizontal_cylinder_radius2p5_y,object_fixed_horizontal_cylinder_radius2p5_z
0.0,58.0,1.3223139280418563e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.19,0.085
0.002,56.0,1.3223139280418698e+18,5.251947267248757e-07,0.0,0.0,-0.0022181565303104204,0.0,0.0,0.006364112345286846,0.0,0.0,-0.03369905814885136,0.0,0.0,0.04992676554806778,0.0,0.0,0.01693334118083004,0.0,0.0,-0.03394677489011791,0.0,0.0,0.05023437010836745,0.0,0.0,0.01739198410080008,0.0,0.0,5.493562957083008e-07,0.0,0.0,-0.0015785272788823015,0.0,0.0,0.004465818202489322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.19,0.085
0.004,56.0,1.3223139280419164e+18,1.9653081631479963e-06,-0.0027153529960555287,-1.629526914469352e-05,-0.008411983421614344,-0.0010558429813510779,6.973881293756055e-06,0.02419075560360256,-0.0010350370209229684,-4.439489619725888e-05,-0.1033555697328486,-0.002661845487853893,0.0001862232759659848,0.14524234650327636,-0.0010226205209574145,-0.0003056963164141511,0.07488879811421216,-0.001442646634094232,-0.00011025592688954562,-0.10337678234263445,-0.002629913485674132,0.00018790116842666267,0.14367555154368986,-0.001414218497230262,-0.00030989153163358624,0.08039116561198921,-0.0013972532645214974,-0.00011273542419192945,2.0557284516074307e-06,-0.001400491503280058,-8.406245157454598e-06,-0.006069423598284244,-0.002603803594382076,-6.151657892998648e-06,0.017253755503108203,-0.002552494227834068,-4.210987458194034e-05,-1.6517228426852952e-09,-0.0013728940562052448,-8.237364337231469e-06,-3.781721553877532e-09,-0.0013564245593109408,-8.138547355865645e-06,-1.8642382960639175e-07,-0.002521874024062308,-1.5131244144373849e-05,-0.0608,0.0,0.075,0.19,0.085
0.006,55.0,1.3223139280419889e+18,4.146635812283994e-06,-0.0054307059921110575,-3.2596027801645234e-05,-0.017901171170857395,-0.0021116859627021557,3.780178475347313e-05,0.05160573801278065,-0.0020700740418459367,-0.000157564977872691,-0.18249160906577516,-0.005323690975707786,0.0005881912725428449,0.24222003763653377,-0.002045241041914829,-0.0008837255252711472,0.17328616670650654,-0.002885293268188464,-0.0004666445482944038,-0.1819115279479967,-0.005259826971348264,0.0005887017322277171,0.236268131719933,-0.002828436994460524,-0.0008790239312289023,0.19003850846760392,-0.0027945065290429947,-0.0004991140328461933,4.337437166921933e-06,-0.002800983006560116,-1.6818232410070342e-05,-0.013513020481601965,-0.005207607188764152,5.170898457120552e-06,0.03860377737170827,-0.005104988455668136,-0.00013415246375265803,-8.259594671738e-09,-0.0027457881124104896,-1.6474718764125883e-05,-1.89125838159638e-08,-0.0027128491186218817,-1.6277072021401965e-05,-9.321026879922943e-07,-0.005043748048124616,-3.026136974577006e-05,-0.1216,0.0,0.075,0.19,0.085
0.008,57.0,1.3223139280420795e+18,6.928440152388741e-06,-0.008146058988166586,-4.890123374387323e-05,-0.029393184614672566,-0.0031675289440532333,8.840185336082497e-05,0.0849465747534211,-0.003105111062768905,-0.0003282650944532973,-0.2671242236476567,-0.00798553646356168,0.001047036435613281,0.3360979979859996,-0.0030678615628722435,-0.0014717273951964363,0.3074523044469595,-0.004327939902282696,-0.0010656846396527354,-0.2660933412633904,-0.007889740457022397,0.0010441307249458459,0.3261020847196276,-0.004242655491690786,-0.0014430647232697427,0.33534139584957423,-0.0041917597935644925,-0.0011653816095670104,7.24729272556606e-06,-0.004201474509840175,-2.523487168204258e-05,-0.0232759210060187,-0.007811410783146228,3.420965819073443e-05,0.06675949133273046,-0.007657482683502204,-0.00027756756033126283,-2.3131963470295033e-08,-0.0041186821686157345,-2.471204345412638e-05,-5.297590947688089e-08,-0.004069273677932823,-2.441552859209404e-05,-2.609801935728575e-06,-0.007565622072186925,-4.5388139816993595e-05,-0.1824,0.0,0.075,0.19,0.085
0.01,56.0,1.322313928042187e+18,1.0196693912161223e-05,-0.010861411984222115,-6.521004254624702e-05,-0.04185339136234505,-0.004223371925404311,0.00015101887613560953,0.12125619660576667,-0.0041401480836918735,-0.0005345203370226778,-0.35796722329166286,-0.010647381951415572,0.001538861050177447,0.4303435158629772,-0.004090482083829658,-0.0020411308804189755,0.4717125448851117,-0.005770586536376928,-0.0018793373459000183,-0.3560829308569015,-0.010519653942696529,0.0015334421239241631,0.41665677377122046,-0.005656873988921048,-0.001990553752251292,0.5076656051165465,-0.0055890130580859895,-0.0020455824534459616,1.0666047571572127e-05,-0.005601966013120232,-3.365527983507479e-05,-0.03440499400184057,-0.010415214377528305,7.716423977094238e-05,0.09901394239229913,-0.010209976911336271,-0.00046181680946440033,-4.9585020931433345e-08,-0.005491576224820979,-3.294931855714505e-05,-1.1358682504984971e-07,-0.005425698237243763,-3.255387156800572e-05,-5.592155263963472e-06,-0.010087496096249232,-6.0509317765881025e-05,-0.2432,0.0,0.075,0.19,0.085
0.012,53.0,1.3223139280423076e+18,1.3859010795128618e-05,-0.013576764980277642,-8.152177004513881e-05,-0.05505794773739185,-0.005279214906755389,0.00021944505873353794,0.1598865661709135,-0.005175185104614842,-0.0007585882902622891,-0.456350933010793,-0.013309227439269466,0.0020679479751143605,0.5296516980485583,-0.005113102604787072,-0.0026127397108065857,0.6600650255838674,-0.00721323317047116,-0.0028735546683334974,-0.452939656433223,-0.013149567428370661,0.0020576001805711853,0.5120636629514773,-0.0070710924861513095,-0.0025423671975442303,0.7015052094241458,-0.006986266322607487,-0.0030879112286349235,1.4497091832705552e-05,-0.007002457516400291,-4.207874138383118e-05,-0.04617528842264702,-0.01301901797191038,0.00012831585617958114,0.13328798278798404,-0.01276247113917034,-0.0006706584811888168,-9.094672440305129e-08,-0.006864470281026224,-4.118652417603176e-05,-2.0840815335752066e-07,-0.006782122796554704,-4.069205525837793e-05,-1.025159888227786e-05,-0.01260937012031154,-7.562266779028546e-05,-0.304,0.0,0.075,0.19,0.085
0.014,56.0,1.3223139280424486e+18,1.7840538289966934e-05,-0.016292117976333172,-9.783586192276981e-05,-0.0689243078937071,-0.006335057888106467,0.00029233733909571233,0.20059251530765554,-0.00621022212553781,-0.000996580729778708,-0.5643439613925803,-0.01597107292712336,0.002642279160502018,0.6353986768889903,-0.006135723125744487,-0.0032147245270458167,0.8786214251229065,-0.008655879804565392,-0.004012325432330596,-0.5577173841630173,-0.015779480914044793,0.0026229610531150692,0.6109457880484586,-0.008485310983381572,-0.0031232938436091535,0.9255412209938488,-0.008383519587128985,-0.0042593323740676495,1.8662155833839056e-05,-0.00840294901968035,-5.0504676669078324e-05,-0.05827647496726044,-0.015622821566292456,0.0001833148011381274,0.16868075508878239,-0.015314965367004408,-0.0008916176889299307,-1.505607189564864e-07,-0.008237364337231469,-4.9423640343042396e-05,-3.4516629302128055e-07,-0.008138547355865645,-4.8830033686273726e-05,-1.696030573766373e-05,-0.01513124414437385,-9.072595527294943e-05,-0.3648,0.0,0.075,0.19,0.085
0.016,58.0,1.3223139280425935e+18,2.2080629974698186e-05,-0.0190074709723887,-0.000114151869064072,-0.0833437600149309,-0.007390900869457544,0.00036920044214549733,0.24306203036353546,-0.007245259146460778,-0.001247026646724698,-0.6699443617259571,-0.018632918414977252,0.003274266257865618,0.7265839521582228,-0.0071583436467019005,-0.003855342123214153,1.1109682440572413,-0.010098526438659624,-0.005332319709369397,-0.6597238022297327,-0.018409394399718924,0.0032358479385797907,0.6954591807561521,-0.009899529480611834,-0.0037250719051744223,1.1582449970290942,-0.009780772851650481,-0.005611931963072996,2.3097828435437823e-05,-0.009803440522960406,-5.893261607276547e-05,-0.0710143671967754,-0.018226625160674532,0.00024029909883951545,0.2060611965371914,-0.017867459594838472,-0.0011192892881017253,-2.3179025962777087e-07,-0.009610258393436714,-5.766064699630655e-05,-5.316670797577453e-07,-0.009494971915176585,-5.696776049330138e-05,-2.6090119777068576e-05,-0.017653118168436156,-0.00010581694717619096,-0.4256,0.0,0.075,0.19,0.085
0.018000000000000002,60.0,1.32231392804274e+18,2.6530149376455234e-05,-0.02172282396844423,-0.00013046942759051356,-0.09805097097487545,-0.008446743850808623,0.0004493820969847337,0.28652872479567165,-0.008280296167383747,-0.0015080539591855152,-0.7680538407190288,-0.021294763902831144,0.0038918975869387555,0.8167901521024363,-0.008180964167659316,-0.0044085894979552925,1.2746218448722102,-0.011541173072753857,-0.006735056502779971,-0.7549740957172064,-0.021039307885393058,0.0038321069660660376,0.7824696436808393,-0.011313747977842096,-0.004240637572403966,1.317183004646816,-0.011178026116171979,-0.0070165381388715975,2.775273632278433e-05,-0.011203932026240464,-6.736217912805542e-05,-0.08440811125440205,-0.02083042875505661,0.0003011036306503127,0.24548635869028368,-0.020419953822672542,-0.0013588869021591836,-3.380221338797655e-07,-0.010983152449641959,-6.589752395629398e-05,-7.758116242912723e-07,-0.010851396474487527,-6.510518884444661e-05,-3.801249026594103e-05,-0.020174992192498464,-0.00012089341243632837,-0.4864,0.0,0.075,0.19,0.085
