t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_free_horizontal_cylinder_radius2p5_x,object_free_horizontal_cylinder_radius2p5_y,object_free_horizontal_cylinder_radius2p5_z
0.0,51.0,181.24925791356196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.19,0.045
0.002,45.0,144.2624454674559,0.0029283487313994973,0.0,0.0,-0.001664162424562201,0.0,0.0,-0.0010870728538942061,0.0,0.0,0.0029765167019236705,0.0,0.0,-0.001703075233657665,0.0,0.0,-0.0010847503024373716,0.0,0.0,0.0029891127113479995,0.0,0.0,-0.0017689991722854238,0.0,0.0,-0.0010128574810259912,0.0,0.0,0.0029571955823392776,0.0,0.0,-0.001662288322346603,0.0,0.0,-0.0011219569332082267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500000289601232,0.18999771580950892,0.04495785114312489
0.004,49.0,112.3649179289096,0.01097950904278622,-0.0027153529960555287,-1.1287403454910052e-05,-0.006304801721999201,-0.0010558429813510779,1.2166388864222463e-06,-0.003964183534984385,-0.0010350370209229684,1.0407166594247549e-07,0.011091496546354607,-0.002661845487853893,-1.1276724379555127e-05,-0.0063603386216582024,-0.0010226205209574145,1.3609094254005008e-06,-0.003990098210597008,-0.001442646634094232,-7.15792663313721e-07,0.011143104677526668,-0.002629913485674132,-1.1238052394044264e-05,-0.006495680821848277,-0.001414218497230262,7.095613501103236e-07,-0.003870838144765039,-0.0013972532645214974,-7.687915669910123e-07,0.011067059271093135,-0.001400491503280058,-8.715374171238671e-06,-0.006196362544887403,-0.002603803594382076,-1.8830305440709463e-06,-0.004177537533383194,-0.002552494227834068,-2.8610745892516823e-06,-5.505742808950998e-10,-0.0013728940562052448,-2.7457881124104896e-06,-1.2605738512925114e-09,-0.0013564245593109408,-2.7128491186218816e-06,-6.21412765354639e-08,-0.002521874024062308,-5.043748048124616e-06,-0.0608,0.0,0.07499996872246659,0.18999144713118526,0.04483866393447528
0.006,42.0,80.78100740843765,0.0230283168680709,-0.0054307059921110575,-3.2820430069794556e-05,-0.013291886640623116,-0.0021116859627021557,8.386231518594092e-06,-0.008138293551786642,-0.0020700740418459367,3.7882189862768972e-06,0.023231862755098982,-0.005323690975707786,-3.283037504412478e-05,-0.013268755097459593,-0.002045241041914829,8.630195159486747e-06,-0.0083142007857294,-0.002885293268188464,2.209609884817087e-06,0.02333233138083895,-0.005259826971348264,-3.2805863297749864e-05,-0.013474690231556799,-0.002828436994460524,7.334487654775506e-06,-0.008157004965648421,-0.0027945065290429947,2.1526632314440887e-06,0.023238671890593858,-0.002800983006560116,-2.7736084555306503e-05,-0.012954840288236156,-0.005207607188764152,1.9775107122465014e-06,-0.008724751913855338,-0.005104988455668136,-1.8549018445698837e-06,-2.7529803442878876e-09,-0.0027457881124104896,-5.491575123672418e-06,-6.303311039415465e-09,-0.0027128491186218817,-5.425695716096061e-06,-3.107045537840235e-07,-0.005043748048124616,-1.0087371813696161e-05,-0.1216,0.0,0.07499994758716523,0.18998180210350452,0.044659144748727515
0.008,40.0,55.46735981314511,0.038107871515938606,-0.008146058988166586,-6.234875171247497e-05,-0.022032980811963435,-0.0031675289440532333,2.0248715393139764e-05,-0.013238431975130537,-0.003105111062768905,1.0066364978035473e-05,0.038391173427140365,-0.00798553646356168,-6.243479843732132e-05,-0.02173446858929623,-0.0030678615628722435,2.04017870691747e-05,-0.013763065901025346,-0.004327939902282696,7.97252176689341e-06,0.038477259886012236,-0.007889740457022397,-6.24441436757227e-05,-0.02205425180828697,-0.004242655491690786,1.8464069479732024e-05,-0.013469781168838887,-0.0041917597935644925,7.930490344167858e-06,0.03830133858716524,-0.004201474509840175,-5.488029280086807e-05,-0.021380286364707006,-0.007811410783146228,1.0286859010179856e-05,-0.01416749969603923,-0.007657482683502204,2.134538460706268e-06,-7.708911451260463e-09,-0.0041186821686157345,-8.23735883127078e-06,-1.7651568157643813e-08,-0.004069273677932823,-8.138534749243566e-06,-8.69963240407771e-07,-0.007565622072186925,-1.5130622735266281e-05,-0.1824,0.0,0.07499990869874965,0.189969858036938,0.04443549871944301
0.01,47.0,36.91907769796983,0.055307587355606314,-0.010861411984222115,-9.793856700032145e-05,-0.03193448709661263,-0.004223371925404311,3.561921777311824e-05,-0.01899387702154356,-0.0041401480836918735,1.819656778287733e-05,0.05564770367708036,-0.010647381951415572,-9.807711075711187e-05,-0.03125829068110378,-0.004090482083829658,3.528797301093315e-05,-0.01993949312601402,-0.005770586536376928,1.5984958729296837e-05,0.05569350735495551,-0.010519653942696529,-9.799382765741753e-05,-0.03172641702063558,-0.005656873988921048,3.279475563873184e-05,-0.019456495713524317,-0.0055890130580859895,1.5761536221505797e-05,0.05539392055070264,-0.005601966013120232,-8.780660920057095e-05,-0.03098549689197358,-0.010415214377528305,2.1930143974357405e-05,-0.020181137810474356,-0.010209976911336271,7.915045569405918e-06,-1.6520932383003567e-08,-0.005491576224820979,-1.0983137031819056e-05,-3.783223589435477e-08,-0.005425698237243763,-1.0851361171351212e-05,-1.864176114325941e-06,-0.010087496096249232,-2.0173252266017647e-05,-0.2432,0.0,0.0749998441424683,0.18995628891157976,0.044180195755148706
0.012,52.0,19.70941202791278,0.07392289437108321,-0.013576764980277642,-0.0001377687046717679,-0.0425529463162203,-0.005279214906755389,5.3310544379714487e-05,-0.025187160581504327,-0.005175185104614842,2.763738383385744e-05,0.07422216499842027,-0.013309227439269466,-0.00013791386223269963,-0.041499550550562855,-0.005113102604787072,5.229037615263341e-05,-0.02648633440967661,-0.00721323317047116,2.545251991108572e-05,0.07421457658912928,-0.013149567428370661,-0.00013768614956665234,-0.04204100131044456,-0.0070710924861513095,4.931064906896855e-05,-0.025862864435882114,-0.006986266322607487,2.4940458781833658e-05,0.07381437389387113,-0.007002457516400291,-0.00012479275613420587,-0.04131881196182913,-0.01301901797191038,3.59329578401264e-05,-0.026563215935130707,-0.01276247113917034,1.4837333342608034e-05,-3.0292915204203816e-08,-0.006864470281026224,-1.3728907520187682e-05,-6.93775057315064e-08,-0.006782122796554704,-1.3564169928637619e-05,-3.417580008179313e-06,-0.01260937012031154,-2.5215011888394432e-05,-0.304,0.0,0.07499976929101775,0.1899415651093528,0.043903435817046844
0.014,39.0,5.335278759420227,0.09325076900686942,-0.016292117976333172,-0.00018043002469483277,-0.05350462004372669,-0.006335057888106467,7.243577685622767e-05,-0.031595781633451524,-0.00621022212553781,3.7953876911933035e-05,0.09348487015921576,-0.01597107292712336,-0.00018038647585108726,-0.052117081573723543,-0.006135723125744487,7.072765484963674e-05,-0.03320827939500565,-0.008655879804565392,3.566090921022244e-05,0.09348672544154951,-0.015779480914044793,-0.00017998811500634815,-0.05271986907238366,-0.008485310983381572,6.711138065412598e-05,-0.03248776204411686,-0.008383519587128985,3.4958689697506266e-05,0.09300318149623943,-0.00840294901968035,-0.00016443464582710296,-0.052070175563198436,-0.015622821566292456,5.139198079107335e-05,-0.03314031489133284,-0.015314965367004408,2.24965011362526e-05,-5.0130475031024675e-08,-0.008237364337231469,-1.647466808863253e-05,-1.1482663616165862e-07,-0.008138547355865645,-1.6276955956719828e-05,-5.654382495947447e-06,-0.01513124414437385,-3.0255653128731343e-05,-0.3648,0.0,0.07499969876413634,0.18992636413266742,0.04361578716257261
0.016,41.0,0.0,0.11276181430850143,-0.0190074709723887,-0.00022451647995851623,-0.0645039122662568,-0.007390900869457544,9.222743834853829e-05,-0.038073916044019225,-0.007245259146460778,4.8701044973981496e-05,0.11296507606113391,-0.018632918414977252,-0.00022423557714838606,-0.06288404100494788,-0.0071583436467019005,8.991747585404329e-05,-0.039963621782030154,-0.010098526438659624,4.6219505912692055e-05,0.1129965765324129,-0.018409394399718924,-0.00022379223968253687,-0.0635415510152742,-0.009899529480611834,8.564067918354365e-05,-0.03916071431536277,-0.009780772851650481,4.541397838493276e-05,0.11239652900794472,-0.009803440522960406,-0.00020561324403839968,-0.06288966689907792,-0.018226625160674532,6.768710080504781e-05,-0.03978732809269324,-0.017867459594838472,3.0545710592988734e-05,-7.714140580551129e-08,-0.009610258393436714,-1.9220416525923364e-05,-1.7672771823099928e-07,-0.009494971915176585,-1.8989714177080847e-05,-8.698754581179801e-06,-0.017653118168436156,-3.5294927571880414e-05,-0.4256,0.0,0.07499962976232516,0.18991102368737117,0.04332404857892781
0.018000000000000002,40.0,0.0,0.1322723019000274,-0.02172282396844423,-0.00026896927655389137,-0.07549754619282834,-0.008446743850808623,0.00011211433683089636,-0.044553191587600814,-0.008280296167383747,5.958723975327096e-05,0.1324406885944771,-0.021294763902831144,-0.00026851967992793014,-0.0736433430213165,-0.008180964167659316,0.00010940615367457712,-0.04671920788715339,-0.011541173072753857,5.6844897418552597e-05,0.13250385463526665,-0.021039307885393058,-0.0002680717688356119,-0.07435715879160996,-0.011313747977842096,0.00010445560607486421,-0.045834149933946466,-0.011178026116171979,5.596537639838158e-05,0.13178677732678823,-0.011203932026240464,-0.0002472009220683704,-0.07370264724900953,-0.02083042875505661,8.411847628804261e-05,-0.04643516444098886,-0.020419953822672542,3.873474854004139e-05,-1.124361160782411e-07,-0.010983152449641959,-2.1966150616472307e-05,-2.576394402158888e-07,-0.010851396474487527,-2.1702439493538594e-05,-1.2674823387301697e-05,-0.020174992192498464,-4.033258687583457e-05,-0.4864,0.0,0.07499956031703682,0.18989571858587734,0.04303224236324
