t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_free_horizontal_cylinder_radius2p5_x,object_free_horizontal_cylinder_radius2p5_y,object_free_horizontal_cylinder_radius2p5_z
0.0,48.0,285.84106050983183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.2,0.115
0.002,50.0,241.55895564129327,-0.0028231945306186395,0.0,0.0,0.001433416065394249,0.0,0.0,0.0024535802706747464,0.0,0.0,-0.0028176903233716618,0.0,0.0,0.0014843852920019905,0.0,0.0,0.0020794687289882744,0.0,0.0,-0.002825927077959089,0.0,0.0,0.0014845592410857385,0.0,0.0,0.0020774903181227733,0.0,0.0,-0.002818145761960952,0.0,0.0,0.001409782792850676,0.0,0.0,0.0024183385420144614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500000051694132,0.20000074640699042,0.11500600572439185
0.004,39.0,184.66358597206087,-0.010528605085990995,0.0,8.469583591855918e-06,0.00532916567411197,0.0,-4.300248196182747e-06,0.00909758173199711,0.0,-7.3607408120242395e-06,-0.01052549884975065,0.0,8.453070970114985e-06,0.005481715760051,0.0,-4.453155876005971e-06,0.008156344513254147,0.0,-6.2384061869648235e-06,-0.01055454576543003,0.0,8.477781233877267e-06,0.005388733947160661,0.0,-4.453677723257216e-06,0.008592628499530769,0.0,-6.23247095436832e-06,-0.010548678978734008,0.0,8.454437285882857e-06,0.005301846714929554,0.0,-4.229348378552028e-06,0.009097204681153251,0.0,-7.255015626043385e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500000026329356,0.20000280521404493,0.11502299656572984
0.006,43.0,145.216287890275,-0.02209018995493826,0.0,3.1585815257972984e-05,0.011196692593483189,0.0,-1.598749702233591e-05,0.01851411524427686,0.0,-2.729274519599133e-05,-0.022087810347015478,0.0,3.157649654925195e-05,0.011415939885899319,0.0,-1.6445147280153e-05,0.01747910367607249,0.0,-2.446903353976244e-05,-0.02212598421373542,0.0,3.166363729629009e-05,0.011122566201326286,0.0,-1.6166201841481985e-05,0.01894725473098105,0.0,-2.577788549859231e-05,-0.022071945892386723,0.0,3.164603693620202e-05,0.011070321816531947,0.0,-1.5905540144788663e-05,0.019243956810505693,0.0,-2.7291614043459756e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500001066280672,0.2000057558934669,0.1150483589309218
0.008,49.0,129.88782796278429,-0.03664005317800609,0.0,6.627056986481477e-05,0.018484265327768805,0.0,-3.359007778044957e-05,0.03061665605748773,0.0,-5.554234573283058e-05,-0.03659475295304398,0.0,6.626343104104644e-05,0.018704081095615097,0.0,-3.4247819657697956e-05,0.029599597733257543,0.0,-5.243731102821747e-05,-0.03665947245259207,0.0,6.637795264120625e-05,0.018195443455837484,0.0,-3.336769860397886e-05,0.03247633712215035,0.0,-5.684176419294315e-05,-0.03652902998910201,0.0,6.621583767716017e-05,0.018249103703290498,0.0,-3.321096544959584e-05,0.032109241179749524,0.0,-5.773187043151708e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500000714684603,0.2000091455827572,0.1150799846868288
0.01,45.0,90.4701929483593,-0.05332774626372469,0.0,0.00010992015953401827,0.026694223822478255,0.0,-5.545279598330642e-05,0.04533121140135625,0.0,-9.184996817246319e-05,-0.05324063792326717,0.0,0.00010978425885913194,0.026812761468734098,0.0,-5.6112243286845294e-05,0.04455895070323472,0.0,-8.879879319977263e-05,-0.05338863473688789,0.0,0.00010997841735777622,0.026244417371041107,0.0,-5.4586330367512456e-05,0.04855122203661741,0.0,-9.742901136645107e-05,-0.05317198766293899,0.0,0.00010958708996730605,0.026380263907887565,0.0,-5.47473111098715e-05,0.04719841290577914,0.0,-9.632772353924858e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500001755305784,0.2000126854531146,0.1151161797777196
0.012,44.0,67.8463257295603,-0.07159835305556467,0.0,0.00015998323879117408,0.035535264574678344,0.0,-8.008267146743476e-05,0.061910980636160455,0.0,-0.00013599363420406876,-0.07144979117683314,0.0,0.0001597219137698015,0.0354714101099771,0.0,-8.043828440620229e-05,0.061610616456520065,0.0,-0.00013367685210970417,-0.0716831466821758,0.0,0.00016016590421066366,0.03502339172331184,0.0,-7.873325211312333e-05,0.06619909517036043,0.0,-0.00014565366610985224,-0.07143068576228799,0.0,0.000159515962988817,0.03511121568496137,0.0,-7.91407917236627e-05,0.064301440541055,0.0,-0.00014159523871733743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500002271249008,0.20001606017414605,0.11515574688617007
0.014,37.0,35.74818988745627,-0.09100752834598969,0.0,0.000214795059166694,0.04482204709979549,0.0,-0.00010660579372403504,0.07980284319874317,0.0,-0.00018573294190848136,-0.09079916020879414,0.0,0.00021434937353049944,0.0445187134266775,0.0,-0.0001064142303299313,0.08014019617748093,0.0,-0.0001848318493695602,-0.09115347504225312,0.0,0.0002150494400465274,0.0442804236373178,0.0,-0.00010507017516993553,0.08515669427290903,0.0,-0.0001985972855110813,-0.09085225091971068,0.0,0.000214292057286864,0.04425763561589165,0.0,-0.0001053336470548841,0.08284219311190746,0.0,-0.00019290432162316499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0750000283202736,0.20001923488161294,0.11519759571398572
0.016,40.0,26.707549226818887,-0.11106307998559192,0.0,0.00027302258503796907,0.054372787638912595,0.0,-0.00013446614129938647,0.09833278627599729,0.0,-0.00023940852959622954,-0.11084728630884493,0.0,0.0002723974806263824,0.05379568552590279,0.0,-0.0001335561402800325,0.09951608933006395,0.0,-0.00024042058853244278,-0.11126021608742866,0.0,0.00027346042512675937,0.05372511136342057,0.0,-0.0001328412709119534,0.10494364132165547,0.0,-0.00025547008281872713,-0.11095262765896893,0.0,0.000272556752759132,0.05367164879965138,0.0,-0.00013277290684767494,0.10208879196746277,0.0,-0.0002485265793357224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500003329713738,0.20002203623203446,0.11524117567635375
0.018000000000000002,35.0,9.714651693419201,-0.1315509053201444,0.0,0.00033318923995677576,0.06406657756681651,0.0,-0.00016311836291673778,0.11732928301002796,0.0,-0.0002949983588279919,-0.13137419695487734,0.0,0.00033254185892653477,0.06326703157313794,0.0,-0.00016138705657770837,0.11932510673235161,0.0,-0.0002985482679901919,-0.13172163953913532,0.0,0.00033378064826228597,0.0632495369615122,0.0,-0.00016117533409026172,0.12519227663681579,0.0,-0.00031483092396496643,-0.13146180145665282,0.0,0.0003328578829769068,0.06321362720573144,0.0,-0.00016101494639895415,0.12179184385874084,0.0,-0.00030626637590238834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500003802878497,0.2000244050130159,0.1152857100331177
0.02,39.0,1.418012318258074,-0.15218928264865206,0.0,0.00039465271596043325,0.07377832036068263,0.0,-0.00019219973270044954,0.13652924353711923,0.0,-0.00035198784903008387,-0.1521164006978596,0.0,0.000394122590864632,0.07280863889784414,0.0,-0.00018980109471941384,0.13934126429608476,0.0,-0.0003579753201970548,-0.15232733197274828,0.0,0.000395164918617406,0.07280341283804492,0.0,-0.0001897486108845366,0.1456115666002818,0.0,-0.00037557682991044735,-0.15213401109870706,0.0,0.00039438540436995844,0.07279834661472198,0.0,-0.00018964088161719432,0.14166810549600256,0.0,-0.0003653755315762225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500004250436887,0.20002623933400432,0.11533079996797008
