t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_free_horizontal_cylinder_radius2p5_x,object_free_horizontal_cylinder_radius2p5_y,object_free_horizontal_cylinder_radius2p5_z
0.0,53.0,2193.127243687774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.2,0.1
0.002,54.0,702.0973788844581,-0.005161687581392625,0.0,0.0,0.00795421586498457,0.0,0.0,0.0024046350719214163,0.0,0.0,-0.006472258783516305,0.0,0.0,0.008236252464116611,0.0,0.0,0.004584161161605043,0.0,0.0,-0.006473293868633546,0.0,0.0,0.008193353542153545,0.0,0.0,0.005076722937436879,0.0,0.0,-0.005418956544059768,0.0,0.0,0.007511975357301103,0.0,0.0,0.0036130798873837415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500016918947315,0.19999804816369135,0.10000133570449884
0.004,55.0,597.0191576289857,-0.021218022248614042,0.0,1.5485062744177877e-05,0.03031896717455425,0.0,-2.3862647594953712e-05,0.01259040034264753,0.0,-7.2139052157642495e-06,-0.02432749502710004,0.0,1.9416776350548913e-05,0.030975567819642773,0.0,-2.4708757392349834e-05,0.017725824372204053,0.0,-1.3752483484815131e-05,-0.02433766592880982,0.0,1.941988160590064e-05,0.030872151148951737,0.0,-2.4580060626460634e-05,0.01918316455995971,0.0,-1.5230168812310637e-05,-0.02183868686497792,0.0,1.6256869632179302e-05,0.029262266690371203,0.0,-2.253592607190331e-05,0.015346856183849128,0.0,-1.0839239662151225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500299199664974,0.19998496915811179,0.10000475576001787
0.006,52.0,480.390708623547,-0.04698173378946033,0.0,6.365406674584213e-05,0.06472489957570624,0.0,-9.095690152366274e-05,0.03053714515439945,0.0,-3.777120102794259e-05,-0.051468353703036276,0.0,7.298248508130012e-05,0.06557671928637888,0.0,-9.292670345892833e-05,0.03798259947477578,0.0,-5.317747311661216e-05,-0.051518855539139805,0.0,7.301299778642946e-05,0.06543609304599875,0.0,-9.261645344685521e-05,0.040628065812268604,0.0,-5.754949367987913e-05,-0.0478430815316366,0.0,6.551606059493376e-05,0.06309279821079056,0.0,-8.778680007111361e-05,0.03410850235270439,0.0,-4.604056855154738e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0750050914700139,0.19996651033696322,0.10001181926149054
0.008,53.0,402.3152801471448,-0.08066247872836367,0.0,0.000140945201368381,0.10892741159399266,0.0,-0.0001941746987271187,0.05460754411096078,0.0,-9.161143546319835e-05,-0.08608310099529248,0.0,0.00015440506110910883,0.10967469004680214,0.0,-0.00019673015785913665,0.06394892269556732,0.0,-0.00011394779842432734,-0.0861447070395368,0.0,0.0001545565666174194,0.10941611253098908,0.0,-0.00019630827913799624,0.0677930681172257,0.0,-0.00012188419743680581,-0.08161998374873364,0.0,0.0001435292445949098,0.1065776873673013,0.0,-0.00018927839463237167,0.05883860830418644,0.0,-0.00010232550705811318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075007083906871,0.19994254488953003,0.10002260204730665
0.01,51.0,305.75951736175796,-0.12082856781676671,0.0,0.00024198743618509102,0.16096410018829216,0.0,-0.000326782234781978,0.08350324618552055,0.0,-0.00016382263233288236,-0.12664911885109437,0.0,0.00025824930298587744,0.16121673858874563,0.0,-0.0003290240701404064,0.09471635285781135,0.0,-0.00019184676808670195,-0.12666017593232354,0.0,0.0002584341211186104,0.16076408823487087,0.0,-0.00032824833759296726,0.09943990357004065,0.0,-0.0002033792043516771,-0.12166803437930421,0.0,0.00024485995124620094,0.1577498391320117,0.0,-0.0003197330621019039,0.0886718959157204,0.0,-0.00017651582491255932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500911231778928,0.19991304093272344,0.10003686931765468
0.012,55.0,229.0340569743534,-0.16644779790187983,0.0,0.00036248570345030014,0.2189377354975593,0.0,-0.0004828923005648765,0.11650423927138716,0.0,-0.00025050973855656166,-0.17191299661689424,0.0,0.0003799473565532831,0.21835516539361485,0.0,-0.00048365021576623693,0.12928337334620713,0.0,-0.00028414905857343406,-0.17179709461194542,0.0,0.0003799805277969706,0.21764794164768192,0.0,-0.0004822922647046126,0.13473114297490693,0.0,-0.00029831971071012195,-0.16661861088836877,0.0,0.00036500410313791264,0.21454981503133302,0.0,-0.00047324951739603516,0.1226592742658614,0.0,-0.00026601568774716123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07501072437289279,0.1998776216436991,0.100055394005144
0.014,55.0,175.27214080379864,-0.2163437586227535,0.0,0.0004993433937056395,0.28107616734721386,0.0,-0.0006568132064926779,0.15280247666896796,0.0,-0.0003495127178141615,-0.2208946061367375,0.0,0.0005157389898506827,0.2794004531393198,0.0,-0.0006550654961808446,0.16663873827395875,0.0,-0.00038785012003862137,-0.22063610041415066,0.0,0.0005153912838358363,0.2784373891334683,0.0,-0.0006529438249430457,0.17280070912913914,0.0,-0.0004041934289247208,-0.21553534640181204,0.0,0.0004998558326651064,0.27532715107742967,0.0,-0.0006436494450939991,0.15964302477176925,0.0,-0.0003679778227975842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07501223017228917,0.1998368062503547,0.1000789632969341
0.016,51.0,143.70051673199004,-0.26949857714177966,0.0,0.0006490312758682605,0.3459815487013755,0.0,-0.0008432285020416416,0.19161525427796428,0.0,-0.00045840743000690387,-0.2728587372558203,0.0,0.0006626838184102125,0.34307078247438544,0.0,-0.0008382013594179595,0.20608536096741828,0.0,-0.0004999162148218763,-0.2723500140471184,0.0,0.000661908301242452,0.3418036664835854,0.0,-0.000835312167400405,0.21280279117391107,0.0,-0.0005184021273874174,-0.2676902517165104,0.0,0.0006466060392054362,0.33890012371815564,0.0,-0.000825981453232289,0.1988130981988097,0.0,-0.00047892907431530777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07501373798368574,0.199790411101964,0.10010801441696007
0.018000000000000002,53.0,107.7614105865328,-0.32506520642823755,0.0,0.000808495731425339,0.4125905621281376,0.0,-0.0010379446461041264,0.23192123922539648,0.0,-0.0005748457628338929,-0.32707212385712564,0.0,0.000818576211767461,0.408343227693884,0.0,-0.0010292123474231563,0.24676298026450488,0.0,-0.0006182560829022548,-0.3261620060059491,0.0,0.0008170500421413552,0.40669824567506707,0.0,-0.0010254109994507561,0.25390443515580907,0.0,-0.0006384083735217332,-0.32261102577645295,0.0,0.0008030707551495313,0.4044786429714293,0.0,-0.001016700371154467,0.2395475681696817,0.0,-0.0005964392945964291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07501524440523011,0.19973794889788146,0.10014264742788681
