t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_free_horizontal_cylinder_radius2p5_x,object_free_horizontal_cylinder_radius2p5_y,object_free_horizontal_cylinder_radius2p5_z
0.0,48.0,314.4273483066133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.2,0.115
0.002,47.0,265.191764766851,-0.0033721258114876233,0.0,0.0,0.00174787799641127,0.0,0.0,0.0024845635339718485,0.0,0.0,-0.003354185082903276,0.0,0.0,0.0017510692183666146,0.0,0.0,0.0021467611414575333,0.0,0.0,-0.0033477208733322947,0.0,0.0,0.0017469964650903803,0.0,0.0,0.002146691892363811,0.0,0.0,-0.0033556471970623268,0.0,0.0,0.0016890162669203814,0.0,0.0,0.002464908885936702,0.0,0.0,-0.0001400398253201217,0.0,0.0,2.9554756005465755e-05,0.0,0.0,5.524253465732797e-05,0.0,0.0,0.0,0.0,0.07500000008863253,0.20000067292481097,0.11498271712675405
0.004,42.0,212.02988176427698,-0.012704605286044947,0.0,1.011637743446287e-05,0.006573454965941384,0.0,-5.24363398923381e-06,0.00907014583751145,0.0,-7.453690601915546e-06,-0.012650271625313864,0.0,1.0062555248709828e-05,0.0065656120299257695,0.0,-5.2532076550998435e-06,0.00832181267519177,0.0,-6.4402834243726e-06,-0.012643403133639753,0.0,1.0043162619996884e-05,0.006504136364823295,0.0,-5.240989395271141e-06,0.00869600199325377,0.0,-6.440075677091433e-06,-0.012627183319256661,0.0,1.006694159118698e-05,0.006331164489950399,0.0,-5.067048800761145e-06,0.009396624330609378,0.0,-7.394726657810107e-06,-0.0005601556922803032,0.0,4.2011947596036514e-07,0.00011821620786476877,0.0,-8.866426801639726e-08,0.00022096767061271762,0.0,-1.6572760397198392e-07,0.0,0.0,0.07500000031693671,0.20000253464661222,0.11493050054083603
0.006,49.0,177.86817720365286,-0.026929456946069633,0.0,3.811381585813484e-05,0.013886574139573702,0.0,-1.972036489782415e-05,0.018841913375806547,0.0,-2.721043751253435e-05,-0.026820743506080748,0.0,3.795081487594159e-05,0.013829652304304538,0.0,-1.969683608977731e-05,0.017895201050773715,0.0,-2.496543802557531e-05,-0.026837899897237092,0.0,3.793020940091926e-05,0.013678317091114753,0.0,-1.9512409094469884e-05,0.019046051171245366,0.0,-2.6088005979761308e-05,-0.026746863717745123,0.0,3.788154995776998e-05,0.013334297181994812,0.0,-1.8993493469851196e-05,0.020157717774741842,0.0,-2.8189872991828133e-05,-0.0012603331378855716,0.0,1.6804670768409096e-06,0.0002659730768926208,0.0,-3.546486235943063e-07,0.0004971655294236787,0.0,-6.629030118381529e-07,0.0,0.0,0.0750000058118571,0.20000511791316397,0.11484249254198353
0.008,47.0,143.36923164543956,-0.04508300338280258,0.0,8.07883708382089e-05,0.023084294493158457,0.0,-4.1659722418721105e-05,0.03182289337042414,0.0,-5.652574012741964e-05,-0.04491532801570508,0.0,8.046223051824225e-05,0.022911554976011786,0.0,-4.148895691291361e-05,0.030619896137942623,0.0,-5.3685603152321143e-05,-0.04501024676469201,0.0,8.051369969171127e-05,0.022748503448171666,0.0,-4.103495127334426e-05,0.03257369876113985,0.0,-5.71381535137361e-05,-0.04486948251937263,0.0,8.024059115323538e-05,0.022275632161248532,0.0,-4.000289154598444e-05,0.033893697748245084,0.0,-6.047315332422553e-05,-0.0022405431445780754,0.0,3.780999413656715e-06,0.00047280275815697224,0.0,-7.979192306778625e-07,0.0008838163326650063,0.0,-1.491496588271036e-06,0.0,0.0,0.07500000740296076,0.20000810494154558,0.11471803344091483
0.01,47.0,105.77735281366165,-0.06637747605803947,0.0,0.00013524901014840774,0.03378256864619799,0.0,-6.925288347947538e-05,0.04709828710390657,0.0,-9.546868011127242e-05,-0.06617150148479595,0.0,0.00013474598404711525,0.033434183912799995,0.0,-6.873466492803536e-05,0.045940861500128105,0.0,-9.185968841382787e-05,-0.06629113249118687,0.0,0.00013503074029407603,0.033119208397800914,0.0,-6.8245510344515e-05,0.04890993061522063,0.0,-9.772109628341956e-05,-0.06617071566514429,0.0,0.00013460844755811788,0.03271575544183212,0.0,-6.68268964837456e-05,0.050282045731489644,0.0,-0.00010168109324473526,-0.003500741979080543,0.0,6.7216294337342265e-06,0.0007386712370209972,0.0,-1.4184082744709166e-06,0.0013808903641916509,0.0,-2.651448997995019e-06,0.0,0.0,0.07500000955216977,0.2000111108620941,0.11455651685620453
0.012,54.0,88.96553088922991,-0.09009122054762903,0.0,0.0001991324281741184,0.04560606157976136,0.0,-0.00010134770593859398,0.06401463021912251,0.0,-0.00014129486131171973,-0.0898809054147243,0.0,0.00019851450445438785,0.045037536385440544,0.0,-0.00010030255173839998,0.06324717199341129,0.0,-0.00013782258450038433,-0.08997275387450163,0.0,0.00019887339747356062,0.0444449078801145,0.0,-9.935762519340275e-05,0.06742523519720814,0.0,-0.0001467297918456619,-0.08992091362872236,0.0,0.0001985121469954329,0.0442118955915863,0.0,-9.814726632549636e-05,0.0689427520559244,0.0,-0.00015084613719446895,-0.005040870967248149,0.0,1.050222593724163e-05,0.0010635329728170594,0.0,-2.2160137110629916e-06,0.0019883479175837136,0.0,-4.142671092574952e-06,0.0,0.0,0.07500001161937735,0.20001385802860502,0.11435745555264706
0.014,51.0,61.275804219694514,-0.11566855305690449,0.0,0.0002702736616428871,0.058175786168158605,0.0,-0.0001368181847392841,0.08251257722944104,0.0,-0.00019204389065736755,-0.11544168032442295,0.0,0.00026964271624417286,0.05736979136188616,0.0,-0.00013511260915632163,0.08221080838776929,0.0,-0.00018974151598023388,-0.11547250002496826,0.0,0.0002699182616235049,0.05643612688704177,0.0,-0.0001333347236403435,0.08771847869225068,0.0,-0.00020227570559162443,-0.11552978509798671,0.0,0.0002697627408861671,0.05647565125167187,0.0,-0.0001326356867747589,0.08920655984285755,0.0,-0.0002068282561677732,-0.006860856204993464,0.0,1.5122612901744448e-05,0.0014473307497241358,0.0,-3.190598918451178e-06,0.0027061392287735576,0.0,-5.965043752751141e-06,0.0,0.0,0.07500001371870035,0.20001609954538419,0.11412046169065972
0.016,52.0,52.04274990787164,-0.14261234196650774,0.0,0.00034700565917071346,0.07117465029465421,0.0,-0.0001745273585044758,0.10240839171992414,0.0,-0.00024753773168832314,-0.14234302755625172,0.0,0.00034632504097326886,0.07013900713042645,0.0,-0.0001721093740856585,0.10249764543074107,0.0,-0.0002466324251633079,-0.14232704815007252,0.0,0.0003464175000749048,0.06894406623948048,0.0,-0.0001693083806611253,0.10918212220993474,0.0,-0.000263155436076752,-0.1424686261267289,0.0,0.0003465893552939601,0.06923313100672941,0.0,-0.0001694269537550156,0.11056431508628156,0.0,-0.00026761967952857265,-0.008960608205371558,0.0,2.0582568614980395e-05,0.0018899954949441694,0.0,-4.341992249172407e-06,0.0035342043938553233,0.0,-8.118417686320673e-06,0.0,0.0,0.07500001580533477,0.20001764347827222,0.11384517169407757
0.018000000000000002,43.0,25.28285192952826,-0.17059941130417586,0.0,0.0004278370258995232,0.08448973993848914,0.0,-0.00021352395088396263,0.12326854325525158,0.0,-0.00030722517515977243,-0.1703095478999246,0.0,0.0004270290826687552,0.0832123954794058,0.0,-0.00021041702139127936,0.12385143402573834,0.0,-0.0003074929362922232,-0.17018290593753255,0.0,0.00042698114445021757,0.08173083989537996,0.0,-0.00020683219871844144,0.13164102840923336,0.0,-0.0003275463666298042,-0.1704551534402832,0.0,0.0004274058783801867,0.08231658419843169,0.0,-0.00020769939302018824,0.13285043233528235,0.0,-0.0003316929452588447,-0.011340021481936023,0.0,2.6881824616114676e-05,0.002391446064297828,0.0,-5.6699864848325085e-06,0.004472473272077613,0.0,-1.060261318156597e-05,0.0,0.0,0.07500001789928121,0.20001829210606414,0.11353139323784886
