t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_free_horizontal_cylinder_radius2p5_x,object_free_horizontal_cylinder_radius2p5_y,object_free_horizontal_cylinder_radius2p5_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.2,0.135
0.002,0.0,0.0,-0.0001400398253201217,0.0,0.0,2.9554756005465778e-05,0.0,0.0,5.5242534657327984e-05,0.0,0.0,-0.0001400398253201217,0.0,0.0,2.9554756005465778e-05,0.0,0.0,5.5242534657327984e-05,0.0,0.0,-0.0001400398253201217,0.0,0.0,2.9554756005465778e-05,0.0,0.0,5.5242534657327984e-05,0.0,0.0,-0.0001400398253201217,0.0,0.0,2.9554756005465778e-05,0.0,0.0,5.5242534657327984e-05,0.0,0.0,-0.00014003982532012174,0.0,0.0,2.9554756005465727e-05,0.0,0.0,5.524253465732797e-05,0.0,0.0,0.0,0.0,0.075,0.2,0.13498038
0.004,0.0,0.0,-0.0005601544910885196,0.0,5.601593012804868e-07,0.00011821527009231561,0.0,-1.1821902402186311e-07,0.0002209668483713691,0.0,-2.2097013862931194e-07,-0.0005601544910885196,0.0,5.601593012804868e-07,0.00011821527009231561,0.0,-1.1821902402186311e-07,0.0002209668483713691,0.0,-2.2097013862931194e-07,-0.0005601544910885196,0.0,5.601593012804868e-07,0.00011821527009231561,0.0,-1.1821902402186311e-07,0.0002209668483713691,0.0,-2.2097013862931194e-07,-0.0005601544910885196,0.0,5.601593012804868e-07,0.00011821527009231561,0.0,-1.1821902402186311e-07,0.0002209668483713691,0.0,-2.2097013862931194e-07,-0.0005601544910885194,0.0,5.601593012804869e-07,0.0001182152700923154,0.0,-1.1821902402186292e-07,0.000220966848371369,0.0,-2.2097013862931189e-07,0.0,0.0,0.075,0.2,0.13492152000000002
0.006,0.0,0.0,-0.0012603247296436605,0.0,2.240617964354078e-06,0.00026596651259515965,0.0,-4.7286108036926244e-07,0.0004971597738016333,0.0,-8.838673934854764e-07,-0.0012603247296436605,0.0,2.240617964354078e-06,0.00026596651259515965,0.0,-4.7286108036926244e-07,0.0004971597738016333,0.0,-8.838673934854764e-07,-0.0012603247296436605,0.0,2.240617964354078e-06,0.00026596651259515965,0.0,-4.7286108036926244e-07,0.0004971597738016333,0.0,-8.838673934854764e-07,-0.0012603247296436605,0.0,2.240617964354078e-06,0.00026596651259515965,0.0,-4.7286108036926244e-07,0.0004971597738016333,0.0,-8.838673934854764e-07,-0.0012603247296436603,0.0,2.2406179643540777e-06,0.0002659665125951593,0.0,-4.728610803692616e-07,0.000497159773801633,0.0,-8.83867393485476e-07,0.0,0.0,0.075,0.2,0.13482342000000003
0.008,0.0,0.0,-0.0022405119145989666,0.0,5.041298918574642e-06,0.0004727783771720141,0.0,-1.0638660503806386e-06,0.0008837949550638661,0.0,-1.9886390952065333e-06,-0.0022405119145989666,0.0,5.041298918574642e-06,0.0004727783771720141,0.0,-1.0638660503806386e-06,0.0008837949550638661,0.0,-1.9886390952065333e-06,-0.0022405119145989666,0.0,5.041298918574642e-06,0.0004727783771720141,0.0,-1.0638660503806386e-06,0.0008837949550638661,0.0,-1.9886390952065333e-06,-0.0022405119145989666,0.0,5.041298918574642e-06,0.0004727783771720141,0.0,-1.0638660503806386e-06,0.0008837949550638661,0.0,-1.9886390952065333e-06,-0.0022405119145989657,0.0,5.0412989185746416e-06,0.00047277837717201354,0.0,-1.0638660503806373e-06,0.0008837949550638657,0.0,-1.988639095206532e-06,0.0,0.0,0.075,0.2,0.13468608
0.01,0.0,0.0,-0.003500657900902776,0.0,8.962047658395866e-06,0.0007386055986736157,0.0,-1.8911135086880564e-06,0.0013808328108015338,0.0,-3.5351798202554644e-06,-0.003500657900902776,0.0,8.962047658395866e-06,0.0007386055986736157,0.0,-1.8911135086880564e-06,0.0013808328108015338,0.0,-3.5351798202554644e-06,-0.003500657900902776,0.0,8.962047658395866e-06,0.0007386055986736157,0.0,-1.8911135086880564e-06,0.0013808328108015338,0.0,-3.5351798202554644e-06,-0.003500657900902776,0.0,8.962047658395866e-06,0.0007386055986736157,0.0,-1.8911135086880564e-06,0.0013808328108015338,0.0,-3.5351798202554644e-06,-0.003500657900902774,0.0,8.962047658395862e-06,0.0007386055986736148,0.0,-1.8911135086880543e-06,0.0013808328108015331,0.0,-3.5351798202554627e-06,0.0,0.0,0.075,0.2,0.1345095
0.012,0.0,0.0,-0.005040684801733046,0.0,1.4002631603611105e-05,0.001063387639046772,0.0,-2.954422394694463e-06,0.001988220482978362,0.0,-5.523331243206136e-06,-0.005040684801733046,0.0,1.4002631603611105e-05,0.001063387639046772,0.0,-2.954422394694463e-06,0.001988220482978362,0.0,-5.523331243206136e-06,-0.005040684801733046,0.0,1.4002631603611105e-05,0.001063387639046772,0.0,-2.954422394694463e-06,0.001988220482978362,0.0,-5.523331243206136e-06,-0.005040684801733046,0.0,1.4002631603611105e-05,0.001063387639046772,0.0,-2.954422394694463e-06,0.001988220482978362,0.0,-5.523331243206136e-06,-0.005040684801733045,0.0,1.4002631603611096e-05,0.0010633876390467706,0.0,-2.9544223946944596e-06,0.001988220482978361,0.0,-5.523331243206132e-06,0.0,0.0,0.075,0.2,0.13429368
0.014,0.0,0.0,-0.0068604947023120245,0.0,2.0162739206932185e-05,0.0014470485413661605,0.0,-4.253550556187088e-06,0.002705891771391738,0.0,-7.952881931913447e-06,-0.0068604947023120245,0.0,2.0162739206932185e-05,0.0014470485413661605,0.0,-4.253550556187088e-06,0.002705891771391738,0.0,-7.952881931913447e-06,-0.0068604947023120245,0.0,2.0162739206932185e-05,0.0014470485413661605,0.0,-4.253550556187088e-06,0.002705891771391738,0.0,-7.952881931913447e-06,-0.0068604947023120245,0.0,2.0162739206932185e-05,0.0014470485413661605,0.0,-4.253550556187088e-06,0.002705891771391738,0.0,-7.952881931913447e-06,-0.006860494702312023,0.0,2.0162739206932178e-05,0.001447048541366159,0.0,-4.2535505561870825e-06,0.002705891771391737,0.0,-7.952881931913444e-06,0.0,0.0,0.075,0.2,0.13403862
0.016,0.0,0.0,-0.008959969310754962,0.0,2.7441978809248097e-05,0.0018894967521201791,0.0,-5.788194165464642e-06,0.0035337670539070604,0.0,-1.0823567085566952e-05,-0.008959969310754962,0.0,2.7441978809248097e-05,0.0018894967521201791,0.0,-5.788194165464642e-06,0.0035337670539070604,0.0,-1.0823567085566952e-05,-0.008959969310754962,0.0,2.7441978809248097e-05,0.0018894967521201791,0.0,-5.788194165464642e-06,0.0035337670539070604,0.0,-1.0823567085566952e-05,-0.008959969310754962,0.0,2.7441978809248097e-05,0.0018894967521201791,0.0,-5.788194165464642e-06,0.0035337670539070604,0.0,-1.0823567085566952e-05,-0.00895996931075496,0.0,2.744197880924809e-05,0.0018894967521201776,0.0,-5.788194165464636e-06,0.0035337670539070595,0.0,-1.0823567085566949e-05,0.0,0.0,0.075,0.2,0.13374432
0.018000000000000002,0.0,0.0,-0.011338969546097189,0.0,3.583987724301985e-05,0.0023906249119086138,0.0,-7.557987008480716e-06,0.004471753192413555,0.0,-1.4135068215628243e-05,-0.011338969546097189,0.0,3.583987724301985e-05,0.0023906249119086138,0.0,-7.557987008480716e-06,0.004471753192413555,0.0,-1.4135068215628243e-05,-0.011338969546097189,0.0,3.583987724301985e-05,0.0023906249119086138,0.0,-7.557987008480716e-06,0.004471753192413555,0.0,-1.4135068215628243e-05,-0.011338969546097189,0.0,3.583987724301985e-05,0.0023906249119086138,0.0,-7.557987008480716e-06,0.004471753192413555,0.0,-1.4135068215628243e-05,-0.011338969546097187,0.0,3.583987724301984e-05,0.0023906249119086125,0.0,-7.5579870084807105e-06,0.004471753192413554,0.0,-1.413506821562824e-05,0.0,0.0,0.075,0.2,0.13341078
