t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_fixed_horizontal_cylinder_radius2p5_x,object_fixed_horizontal_cylinder_radius2p5_y,object_fixed_horizontal_cylinder_radius2p5_z
0.0,18.0,5.683973878291604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.165,0.13
0.002,18.0,4.583714616647617,-6.227993276127014e-05,0.0,0.0,4.773880308313731e-05,0.0,0.0,7.270564839066412e-06,0.0,0.0,-6.285537076475803e-05,0.0,0.0,4.817988772009953e-05,0.0,0.0,7.337741522329236e-06,0.0,0.0,-6.281867876781091e-05,0.0,0.0,4.815176257707024e-05,0.0,0.0,7.333458095370347e-06,0.0,0.0,-6.281046885721789e-05,0.0,0.0,4.8145469517855084e-05,0.0,0.0,7.332499669681399e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.165,0.13
0.004,18.0,3.6528090785740117,-0.00023252066912104612,0.0,1.868397982838104e-07,0.00017823053640934845,0.0,-1.4321640924941195e-07,2.714479370966738e-05,0.0,-2.1811694517199236e-08,-0.00023467220592883746,0.0,1.8856611229427407e-07,0.00017987972124824267,0.0,-1.445396631602986e-07,2.7395967174990268e-05,0.0,-2.201322456698771e-08,-0.0002345469155528234,0.0,1.8845603630343275e-07,0.00017978368437838186,0.0,-1.4445528773121074e-07,2.738134058254221e-05,0.0,-2.2000374286111042e-08,-0.0002346596735762032,0.0,1.884314065716537e-07,0.00017987011579198846,0.0,-1.4443640855356526e-07,2.7394503923369743e-05,0.0,-2.1997499009044196e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.165,0.13
0.006,18.0,2.8672408618578245,-0.000488740700559565,0.0,6.975620073631384e-07,0.0003746215845797609,0.0,-5.346916092280454e-07,5.705772212159351e-05,0.0,-8.143438112900214e-08,-0.000493273723271243,0.0,7.040166177865124e-07,0.00037809616371845727,0.0,-5.396391637447281e-07,5.758692693170248e-05,0.0,-8.21879015249708e-08,-0.0004930252289068664,0.0,7.036407466584702e-07,0.0003779056922701792,0.0,-5.393510531351456e-07,5.7557916504036005e-05,0.0,-8.214402174762664e-08,-0.0004934102788283132,0.0,7.039790207286096e-07,0.00037820083901446476,0.0,-5.396103473759654e-07,5.760286770681426e-05,0.0,-8.218351177010923e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.165,0.13
0.008,18.0,2.205957167358096,-0.0008123804693553429,0.0,1.466222101678695e-06,0.0006226776933133827,0.0,-1.1238647537392828e-06,9.484483133620082e-05,0.0,-1.7117316636478055e-07,-0.0008199385395459787,0.0,1.4798211698137291e-06,0.0006284708442102953,0.0,-1.1342884911553718e-06,9.572723028523913e-05,0.0,-1.7276078079510746e-07,-0.0008195441973927282,0.0,1.4790756867205991e-06,0.0006281685882644734,0.0,-1.1337170768105376e-06,9.56811907180501e-05,0.0,-1.72673749512108e-07,-0.0008203172946716533,0.0,1.4802308364849396e-06,0.0006287611698612185,0.0,-1.1346025170433944e-06,9.577144557229884e-05,0.0,-1.7280860312044278e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.165,0.13
0.01,18.0,1.650697040286456,-0.0011878141705272125,0.0,2.437141408066029e-06,0.0009104105145738681,0.0,-1.868033079940148e-06,0.00013868485412966752,0.0,-2.845344940086025e-07,-0.001198905757703577,0.0,2.4598156186379364e-06,0.0009189117625788875,0.0,-1.885412532630886e-06,0.0001399798663609344,0.0,-2.871816908557174e-07,-0.0011983537520543176,0.0,2.4586325921781845e-06,0.0009184886772078628,0.0,-1.8845057647934203e-06,0.00013991541507885958,0.0,-2.870435721541503e-07,-0.0011995997136680355,0.0,2.46095188401496e-06,0.0009194436858370351,0.0,-1.8862835095836557e-06,0.00014006088091302523,0.0,-2.873143367168965e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.165,0.13
0.012,18.0,1.1859154474917177,-0.0016019286179712912,0.0,3.5634425115816374e-06,0.001227755439687062,0.0,-2.7312315437216043e-06,0.0001870504407696794,0.0,-4.160545623890026e-07,-0.0016169483671998719,0.0,3.5967172731107314e-06,0.0012392669384717588,0.0,-2.7567352877366624e-06,0.00018880423032771403,0.0,-4.199395990828032e-07,-0.0016162363274832992,0.0,3.595061256162953e-06,0.0012387212243214515,0.0,-2.7554660316235885e-06,0.00018872108586554824,0.0,-4.1974624523657876e-07,-0.0016180133551044083,0.0,3.5987991410041063e-06,0.0012400832348585327,0.0,-2.7583310575111054e-06,0.0001889285672386632,0.0,-4.2018264273907574e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.165,0.13
0.014,20.0,0.7984203170152576,-0.002043760175307971,0.0,4.805785853913874e-06,0.00156629383895877,0.0,-3.683266319061186e-06,0.00023866563020317637,0.0,-5.611513223090382e-07,-0.0020630058352089256,0.0,4.850845101599616e-06,0.0015810433292144472,0.0,-3.7178008154152764e-06,0.00024091308672233864,0.0,-5.664126909831421e-07,-0.002062139330412262,0.0,4.848708982449898e-06,0.0015803792787144296,0.0,-3.7161636729643547e-06,0.00024081189289374728,0.0,-5.661632575966447e-07,-0.0020644829946834674,0.0,4.854040065313225e-06,0.001582175500073752,0.0,-3.720249704575598e-06,0.00024108555743447766,0.0,-5.667857017159897e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.165,0.13
0.016,20.0,0.4772605049310573,-0.0025041935466907366,0.0,6.1312805259239135e-06,0.001919022631299055,0.0,-4.69888151687631e-06,0.00029247056577276595,0.0,-7.159968906095291e-07,-0.002527867909809368,0.0,6.189017505626777e-06,0.0019371649151059744,0.0,-4.743129987643342e-06,0.0002952355344388489,0.0,-7.227392601670159e-07,-0.002526858921473154,0.0,6.186417991236786e-06,0.0019363917419269597,0.0,-4.741137836143289e-06,0.0002951176820914316,0.0,-7.224356786812419e-07,-0.0025297857900005586,0.0,6.193448984050402e-06,0.0019386347962358462,0.0,-4.746526500221256e-06,0.00029545948449619553,0.0,-7.23256672303433e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.165,0.13
0.018000000000000002,20.0,0.21210573293346796,-0.002975706558120887,0.0,7.5125806400722095e-06,0.0022801590317677793,0.0,-5.757067893897165e-06,0.0003475915996944793,0.0,-8.774116973182979e-07,-0.0030039026798249473,0.0,7.583603729428104e-06,0.0023017646332623635,0.0,-5.811494745317924e-06,0.0003508851581572032,0.0,-8.857066033165467e-07,-0.003002768129489991,0.0,7.5805767644194625e-06,0.0023008953432417647,0.0,-5.809175225780879e-06,0.0003507526133568889,0.0,-8.853530462742947e-07,-0.0030062790338594575,0.0,7.589357370001676e-06,0.0023035857691041323,0.0,-5.815904388707538e-06,0.00035116267703664915,0.0,-8.863784534885866e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.165,0.13
