t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_free_horizontal_cylinder_radius2p5_x,object_free_horizontal_cylinder_radius2p5_y,object_free_horizontal_cylinder_radius2p5_z
0.0,20.0,0.2150024016605044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.205,0.13
0.002,20.0,0.1738929485327765,-1.2708836034773235e-05,0.0,0.0,-1.2221578615519411e-06,0.0,0.0,6.965496948162587e-06,0.0,0.0,-1.2692385706174966e-05,0.0,0.0,-1.2510215658833422e-06,0.0,0.0,6.971703636029156e-06,0.0,0.0,-1.269120556524949e-05,0.0,0.0,-1.2503009642682355e-06,0.0,0.0,6.970753264758863e-06,0.0,0.0,-1.2679593779571066e-05,0.0,0.0,-1.2566329521688048e-06,0.0,0.0,6.968113365869938e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07499999994240501,0.20500000011110422,0.13000019147807232
0.004,19.0,0.1390982652385119,-4.745538955263578e-05,0.0019395378543253779,4.880616725900378e-06,-4.573738463005229e-06,0.0007541735581079128,1.8884892899236617e-06,2.6037449840972193e-05,0.0007393121578021203,1.8308666521348945e-06,-4.7392987117347866e-05,0.001901318205609924,4.785026478290247e-06,-4.6840207265219785e-06,0.0007304432292552962,1.8292356270529488e-06,2.6070487989993052e-05,0.00103046188149588,2.5587254446496274e-06,-4.739301891756662e-05,0.0018785096326243804,4.728002095474075e-06,-4.671656303713105e-06,0.0010101560694501873,2.5285159260361386e-06,2.6063308463540553e-05,0.000998038046086784,2.4776682320550626e-06,-4.736488225886818e-05,0.0010003510737714703,2.5325766688776034e-06,-4.662223328838367e-06,0.0018598597102729116,4.652790858062701e-06,2.6070310357896175e-05,0.0018232101627386201,4.540605123431876e-06,4.915841793706271e-10,0.000980638611575175,2.451596528937938e-06,1.1255123672254546e-09,0.0009688746852221007,2.422186713055252e-06,5.548328262094991e-08,0.0018013385886159346,4.503346471539836e-06,0.043428571428571434,0.0,0.07499999979246355,0.20500000044027783,0.13000073850750823
0.006,19.0,0.11002499747907682,-9.97401917491169e-05,0.0038790757086507558,9.816327745508478e-06,-9.642761591755823e-06,0.0015083471162158255,3.782302136697077e-06,5.4805527509446526e-05,0.0014786243156042407,3.631467164408171e-06,-9.961240652311387e-05,0.003802636411219848,9.625073495842989e-06,-9.882778673660502e-06,0.0014608864585105923,3.6639261980927863e-06,5.490713396740536e-05,0.00206092376299176,5.087133187504418e-06,-9.963150445788684e-05,0.003757019265248761,9.511030710415818e-06,-9.829388745892875e-06,0.0020203121389003745,5.062459488010219e-06,5.4884922060082866e-05,0.001996076092173568,4.925031959275069e-06,-9.960216279244139e-05,0.0020007021475429406,5.1201675745045225e-06,-9.71245220475306e-06,0.0037197194205458232,9.310954109686654e-06,5.49407161286984e-05,0.0036464203254772403,9.05087503779836e-06,2.4580424814651844e-09,0.00196127722315035,4.903191828915428e-06,5.628054897458643e-09,0.0019377493704442015,4.844370612329585e-06,2.7741437192919596e-07,0.0036026771772318692,9.00655423487312e-06,0.08685714285714287,0.0,0.07500000009244798,0.20500000096384988,0.13000156167459856
0.008,20.0,0.0860710380800857,-0.0001657566219437414,0.005818613562976133,1.4795884386813125e-05,-1.6084423108825425e-05,0.002262520674323738,5.680408589788734e-06,9.123872955276643e-05,0.0022179364734063608,5.407827364742286e-06,-0.0001655480648798113,0.005703954616829771,1.4508917558382212e-05,-1.6499303838750315e-05,0.002191329687765888,5.503031166098872e-06,9.146926214755659e-05,0.0030913856444876402,7.591196276300588e-06,-0.00016561417496522413,0.00563552889787314,1.433790100582757e-05,-1.635647790651198e-05,0.0030304682083505613,7.6007439927411355e-06,9.141672031185059e-05,0.0029941141382603515,7.3480730405006715e-06,-0.00016563330503946205,0.00300105322131441,7.751638460267129e-06,-1.5972336549389603e-05,0.005579579130818734,1.3973228957558718e-05,9.159522548393548e-05,0.00546963048821586,1.3536724430217903e-05,6.883151188405936e-09,0.0029419158347255246,7.354783441707609e-06,1.5761117598221098e-08,0.0029066240556663014,7.26654606902851e-06,7.767496273692895e-07,0.0054040157658478034,1.3509345878689687e-05,0.13028571428571428,0.0,0.07500000101491229,0.20500000166833,0.13000260183992027
0.01,20.0,0.06552325279967101,-0.00024229752589244742,0.0077581514173015115,1.9809770098113133e-05,-2.3612305935080336e-05,0.003016694232431651,7.581946638851191e-06,0.00013363443977920577,0.0029572486312084813,7.165024754139288e-06,-0.0002419898344968333,0.007605272822439696,1.942705221829877e-05,-2.424477692199239e-05,0.0029217729170211847,7.345680552149837e-06,0.00013406975919114485,0.00412184752598352,1.007594565958991e-05,-0.0002421343505417427,0.007514038530497522,1.9199131763656864e-05,-2.3944369799609147e-05,0.004040624277800749,1.0142451889268152e-05,0.00013396142136070535,0.003992152184347136,9.751838660088215e-06,-0.00024230167854433893,0.004001404295085881,1.0417594000313357e-05,-2.3067067949936098e-05,0.0074394388410916465,1.863852794410259e-05,0.00013438002197097934,0.0072928406509544805,1.8003113563676363e-05,1.4751659261456845e-08,0.0039225544463007,9.80636890787378e-06,3.378213473258384e-08,0.003875498740888403,9.688707449427012e-06,1.6644290795442854e-06,0.0072053543544637385,1.8011444012090923e-05,0.17371428571428574,0.0,0.07500000204727389,0.205000002541313,0.13000380923218366
0.012,20.0,0.04843117551932837,-0.00032665922800737343,0.009697689271626888,2.4849966993798337e-05,-3.198899063047804e-05,0.0037708677905395637,9.48620024118661e-06,0.0001805658553822166,0.0036965607890106014,8.90731587307849e-06,-0.00032623449157072543,0.00950659102804962,2.4371452156366132e-05,-3.288123047547193e-05,0.0036522161462764807,9.191152307996184e-06,0.00018129996106875106,0.005152309407479401,1.2545599120720641e-05,-0.0003264961677530525,0.009392548163121902,2.4086706284159114e-05,-3.233575099739368e-05,0.005050780347250936,1.2686811792626363e-05,0.00018110234452240641,0.00499019023043392,1.2140572022683036e-05,-0.00032694963828275336,0.005001755368857351,1.3110142618504225e-05,-3.067232963323522e-05,0.009299298551364557,2.3305914048286233e-05,0.00018191559566082803,0.0091160508136931,2.24541769793053e-05,2.7049774685243657e-08,0.004903193057875875,1.2257945765541535e-05,6.195445645995791e-08,0.0048443734261105036,1.2110849109939427e-05,3.051368266961048e-06,0.009006692943079674,2.251257128500032e-05,0.21714285714285717,0.0,0.07500000299473626,0.20500000356913742,0.13000514202255106
0.014,20.0,0.033719297140991464,-0.0004165718941424629,0.011637227125952266,2.9909715884899098e-05,-4.101942787232333e-05,0.004525041348647476,1.1392575848194885e-05,0.00023084395016460352,0.0044358729468127215,1.0638267728576263e-05,-0.0004160143172376043,0.011407909233659542,2.9335359313075668e-05,-4.221439837964919e-05,0.004382659375531776,1.1038851515018122e-05,0.00023199047194691585,0.0061827712889752804,1.5003678319766325e-05,-0.0004164419393677068,0.01127105779574628,2.899388490874833e-05,-4.131724766705193e-05,0.006060936416701123,1.523318041924629e-05,0.00023166353396694746,0.005988228276520703,1.4517814829995742e-05,-0.0004173516810732346,0.00600210644262882,1.582264020227893e-05,-3.850749529059629e-05,0.011159158261637468,2.7974576478176756e-05,0.00023306000993200403,0.01093926097643172,2.689336345192723e-05,4.4765650818380754e-08,0.005883831669451049,1.4709511549190912e-05,1.0254931980522046e-07,0.005813248111332603,1.4532965392190358e-05,5.048450074383841e-06,0.010808031531695607,2.7012450408571617e-05,0.26057142857142856,0.0,0.07500000401779776,0.20500000473455118,0.13000656521358447
0.016,20.0,0.021292123511224316,-0.0005101400160981162,0.013576764980277642,3.498334218605026e-05,-5.054511315610744e-05,0.005279214906755389,1.330058583656928e-05,0.0002834848858859255,0.005175185104614842,1.2360852886125596e-05,-0.0005094364100699132,0.013309227439269466,3.431310439126767e-05,-5.208777920407022e-05,0.005113102604787072,1.2888292507916805e-05,0.0002851779326812435,0.00721323317047116,1.745310674631061e-05,-0.0005100894186295252,0.013149567428370661,3.391502341934592e-05,-5.071330858018598e-05,0.0070710924861513095,1.7781024334545902e-05,0.0002846754133793284,0.006986266322607487,1.688650697160135e-05,-0.0005116582084466894,0.007002457516400291,1.8549522993683813e-05,-4.633007561672654e-05,0.01301901797191038,3.264381366800244e-05,0.0002868780849699892,0.01276247113917034,3.132352782309584e-05,6.88898727530545e-08,0.006864470281026224,1.7161063788438514e-05,1.578478186875902e-07,0.006782122796554704,1.695505061808725e-05,7.766516573439369e-06,0.01260937012031154,3.151080417559289e-05,0.304,0.0,0.07500000521332198,0.2050000060169105,0.130008049702912
0.018000000000000002,20.0,0.010062425201380232,-0.0006057907953953256,0.015516302834603023,4.006610712675285e-05,-6.043924991198106e-05,0.006033388464863302,1.5209833945048525e-05,0.00033768184771822813,0.005914497262416963,1.4077530941327591e-05,-0.0006049287972097761,0.015210545644879392,3.9299955137373264e-05,-6.23769289298314e-05,0.005843545834042369,1.47390840331161e-05,0.0003400752809983735,0.00824369505196704,1.989629279821449e-05,-0.0006058772658470133,0.015028077060995043,3.884541619906142e-05,-6.03804656263452e-05,0.008081248555601498,2.0329904660454212e-05,0.00033934470844198297,0.007984304368694272,1.9249072388287362e-05,-0.0006083404926483057,0.008002808590171762,2.1286166996546128e-05,-5.3929909428094116e-05,0.014878877682183293,3.731301939450005e-05,0.000342611026019389,0.014585681301908961,3.574700804234743e-05,1.0041594368609912e-07,0.0078451088926014,1.961260000682162e-05,2.3014287274075542e-07,0.007750997481776806,1.9377099084895295e-05,1.1316360866116287e-05,0.014410708708927477,3.6007355480885094e-05,0.3474285714285715,0.0,0.07500000674321627,0.20500000739454916,0.13000957144681743
0.02,20.0,0.0008683934939302648,-0.0007022299367353906,0.0174558406889284,4.5154078710809316e-05,-7.060244123685048e-05,0.006787562022971215,1.712000318220799e-05,0.0003927808602940191,0.006653809420219083,1.5790318931252135e-05,-0.0007011975273448115,0.017111863850489316,4.4291981619247726e-05,-7.298541271021413e-05,0.006573989063297665,1.6590914980568744e-05,0.0003960483534598936,0.009274156933462922,2.2335204131161368e-05,-0.0007025212179446998,0.016906586693619424,4.378115989866609e-05,-7.020319676568963e-05,0.009091404625051685,2.2879462726695078e-05,0.0003950305422494069,0.008982342414781056,2.1607494265847684e-05,-0.0007061473054357158,0.009003159663943232,2.4028750391478848e-05,-6.11250604378403e-05,0.016738737392456203,4.198166825471074e-05,0.00039965278417402163,0.01640889146464758,4.016570109657048e-05,1.403407713040816e-07,0.008825747504176576,2.2064117720582222e-05,3.2174119465587615e-07,0.008719872166998906,2.1799105060315417e-05,1.5808718931801988e-05,0.01621204729754341,4.050182734169324e-05,0.3908571428571429,0.0,0.07500000856590712,0.20500000885011507,0.1300111107593773
0.022,20.0,0.0,-0.0007984839052210729,0.019395378543253777,5.024402119997292e-05,-8.096629517196426e-05,0.0075417355810791275,1.9030845055789944e-05,0.00044830375738181053,0.007393121578021203,1.750085179431796e-05,-0.000797279705472411,0.01901318205609924,4.928594895861013e-05,-8.384977758947132e-05,0.0073044322925529615,1.844354426315794e-05,0.0004526449233456943,0.010304618814958802,2.4771426153747274e-05,-0.000799064164953079,0.018785096326243804,4.8719043860471264e-05,-8.009847031294524e-05,0.010101560694501872,2.5429409728168904e-05,0.0004512717805794127,0.00998038046086784,2.3963374796546084e-05,-0.0008042756334684339,0.010003510737714702,2.6774145107876044e-05,-6.7777960695551e-05,0.018598597102729115,4.664930540791739e-05,0.00045764350986534795,0.0182321016273862,4.4581122108030446e-05,1.8966515418488853e-07,0.00980638611575175,2.4515614437451115e-05,4.349652557792306e-07,0.009688746852221007,2.422106277756588e-05,2.1354261478499185e-05,0.018013385886159347,4.499394291806886e-05,0.43428571428571433,0.0,0.07500001059922058,0.2050000103405133,0.13001265458593692
0.024,20.0,0.0,-0.0008942361314247691,0.021334916397579153,5.533350075700057e-05,-9.15242823508158e-05,0.00829590913918704,2.0942188585897512e-05,0.0005041317396597331,0.008132433735823322,1.9210324946103778e-05,-0.0008928803770287718,0.02091450026170916,5.4279449917953926e-05,-9.49708778128462e-05,0.008034875521808257,2.0296813248494317e-05,0.000509778826562766,0.01133508069645468,2.7206089432772464e-05,-0.0008952124968042171,0.02066360595886818,5.3656675309553146e-05,-9.004716396256466e-05,0.011111716763952059,2.797953808566251e-05,0.0005079709369021358,0.010978418506954623,2.6317866815938023e-05,-0.0009026150328267535,0.01100386181148617,2.952034361238651e-05,-7.381816967500673e-05,0.020458456813002027,5.131558693424395e-05,0.0005166031167404561,0.02005531179012482,4.8994170700648677e-05,2.4939426821828035e-07,0.010787024727326924,2.6967087655431847e-05,5.721552496964519e-07,0.010657621537443106,2.664296643046832e-05,2.806358579886454e-05,0.019814724474775277,4.9483425533241945e-05,0.4777142857142857,0.0,0.0750000127921329,0.20500001184955832,0.1300141973883111
0.026000000000000002,20.0,0.0,-0.0009894379824932902,0.023274454251904532,6.042172595832326e-05,-0.0001022950545481289,0.009050082697294952,2.2854017449114417e-05,0.0005602925438834365,0.008871745893625443,2.091903538491428e-05,-0.0009879528425494266,0.022815818467319084,5.927174711086964e-05,-0.0001063732919173181,0.008765318751063553,2.2150724072191e-05,0.0005674998524376738,0.012365542577950561,2.9639409378469487e-05,-0.0009909277572473698,0.02254211559149256,5.859332022074195e-05,-0.00010005455720366453,0.012121872833402245,3.052979999341203e-05,0.0005651702708273102,0.011976456553041406,2.8671214040348176e-05,-0.001001184603858598,0.01200421288525764,3.226706979521099e-05,-7.91877056587613e-05,0.022318316523274935,5.5980336732374856e-05,0.000576622460051863,0.02187852195286344,5.340479709030746e-05,3.2053815304784355e-07,0.011767663338902098,2.94185348615847e-05,7.356710535355126e-07,0.011626496222665206,2.9064810168538774e-05,3.604720763171118e-05,0.021616063063391214,5.396999869398087e-05,0.5211428571428571,0.0,0.07500001489257614,0.2050000133486896,0.1300157398788695
0.028,20.0,0.0,-0.0010840408484684083,0.025213992106229915,6.550857522180802e-05,-0.00011329723000093057,0.009804256255402868,2.4766378274877493e-05,0.000616813881552605,0.009611058051427566,2.262691376886032e-05,-0.0010824504254882356,0.024717136672929015,6.426272378869611e-05,-0.0001180815566373722,0.00949576198031885,2.4005338180590422e-05,0.0006258577457156497,0.013396004459446444,3.2071261517521924e-05,-0.0010861715042665384,0.02442062522411695,6.35288824534108e-05,-0.00011012590559303172,0.013132028902852436,3.308020865014025e-05,0.0006229120071753898,0.012974494599128195,3.102331082075221e-05,-0.0011000034174076592,0.013004563959029115,3.5014371407219284e-05,-8.382861547195796e-05,0.024178176233547854,6.064340984801654e-05,0.0006377923311769641,0.023701732115602066,5.781277413887551e-05,4.041121985367352e-07,0.012748301950477277,3.1869953530810574e-05,9.278941867208453e-07,0.01259537090788731,3.148658809208444e-05,4.541555302961651e-05,0.023417401652007154,5.845338611093861e-05,0.5645714285714287,0.0,0.07500001699301938,0.2050000148478209,0.1300172823694279
0.03,20.0,0.0,-0.0011779961444055912,0.027153529960555284,7.059392702255923e-05,-0.00012454939035292617,0.010558429813510777,2.667931760877927e-05,0.0006737234367097535,0.010350370209229683,2.43338908191927e-05,-0.001176326474337307,0.026618454878538932,6.925226326006793e-05,-0.00013012016310202663,0.010226205209574145,2.5860716915528793e-05,0.0006849022026086266,0.01442646634094232,3.450152148806668e-05,-0.0011809053114139815,0.026299134856741322,6.846326590251966e-05,-0.00012026643857048267,0.014142184972302619,3.563077719473913e-05,0.0006812383329118468,0.013972532645214975,3.3374051595098964e-05,-0.0011990905121814432,0.014004915032800581,3.7762296125520605e-05,-8.768297705296401e-05,0.02603803594382076,6.530466139823179e-05,0.0007002034519109162,0.02552494227834068,6.22178748679093e-05,5.011376312595711e-07,0.013728940562052448,3.4321341124634784e-05,1.1512297669112603e-06,0.013564245593109408,3.390829424730672e-05,5.6278950233276354e-05,0.02521874024062308,6.293331171898366e-05,0.608,0.0,0.07500001909346261,0.2050000163469522,0.13001882485998628
0.032,20.0,0.0,-0.0012712553124910391,0.02909306781488066,7.567765989821563e-05,-0.0001360700776023028,0.011312603371618688,2.859288190492904e-05,0.0007310488637415376,0.011089682367031803,2.6039897325805124e-05,-0.0012695343647450663,0.028519773084148853,7.42402488962154e-05,-0.00014251355303623037,0.01095664843882944,2.7716921504828665e-05,0.0007446828668474428,0.015456928222438198,3.693006504957393e-05,-0.0012750907691426664,0.0281776444893657,7.33963745019492e-05,-0.00013048135727693848,0.015152341041752806,3.818151870080822e-05,0.0007401913940845655,0.014970570691301756,3.5723330895974775e-05,-0.0012984648921215047,0.01500526610657205,4.051089154688373e-05,-9.069290202248605e-05,0.027897895654093667,6.996394657786658e-05,0.0007639464687640254,0.027348152441079295,6.661987247292096e-05,6.126420010227608e-07,0.014709579173627621,3.677269508999091e-05,1.4081084628546127e-06,0.014533120278331507,3.632992262141149e-05,6.874762155324577e-05,0.027020078829239014,6.740949969751434e-05,0.6514285714285714,0.0,0.07500002119390585,0.2050000178460835,0.13002036735054467
0.034,20.0,2.4545533540821443,-0.001363769824156875,0.031032605669206046,8.075965245424272e-05,-0.00014787779105325703,0.012066776929726604,3.050711751832227e-05,0.0007888177851827861,0.011828994524833925,2.7744864152730968e-05,-0.0013620275016323162,0.030421091289758784,7.922656413625961e-05,-0.00015528611496700998,0.011687091668084739,2.9574013052802422e-05,0.0008052493257385708,0.01648739010393408,3.9356768092716594e-05,-0.0013686894861375679,0.030056154121990086,7.832811222783189e-05,-0.00014077583237545043,0.016162497111202996,4.0732446171199835e-05,0.0007998132927645985,0.015968608737388545,3.807104335825995e-05,-0.0013981455237760583,0.016005617180343525,4.326020518116257e-05,-9.280053825103515e-05,0.029757755364366586,7.462112066597267e-05,0.000829111947264026,0.029171362603817922,7.101854033763475e-05,7.396596674155422e-07,0.0156902177852028,3.922401285800445e-05,1.7009884438924987e-06,0.015501994963553612,3.875146713772689e-05,8.293167525970649e-05,0.028821417417854954,7.188167449075426e-05,0.694857142857143,0.0,0.07500002329434909,0.20500001934521478,0.13002190984110307
0.036000000000000004,20.0,0.0,-0.0014558618650707675,0.03297214352353142,8.583978336922074e-05,-0.00016002698791423302,0.012820950487834517,3.2422070697219436e-05,0.0008472611327830284,0.012568306682636044,2.944872224363315e-05,-0.0014537593213061217,0.03232240949536871,8.421109249250256e-05,-0.00016846218043474337,0.012417534897340033,3.1432052530767605e-05,0.0008666511062257279,0.01751785198542996,4.178150664922847e-05,-0.001451189096752587,0.03193466375461446,8.325838310188008e-05,-0.00016593004433640456,0.017172653180653183,4.328357253257158e-05,0.0008622966082744743,0.016966646783475328,4.041708372677683e-05,-0.0014981513336751536,0.017005968254114993,4.601028444472763e-05,-9.394807242461118e-05,0.0316176150746395,7.927603903222634e-05,0.0008957903662636344,0.03099457276655654,7.541365204823129e-05,8.832322863939109e-07,0.016670856396777973,4.1675291842776396e-05,2.032357325848615e-06,0.01647086964877571,4.117292165082954e-05,9.894109748090007e-05,0.030622756006470887,7.634956082802795e-05,0.7382857142857143,0.0,0.0750000234091982,0.2050000006907376,0.1300234253398306
0.038,20.0,0.0,-0.001547112282106166,0.0349116813778568,9.091885810731892e-05,-0.00017250007128712664,0.01357512404594243,3.433787758464166e-05,0.000906203106906392,0.013307618840438165,3.1150894269137845e-05,-0.0015446832935713595,0.03422372770097863,8.919371755571188e-05,-0.00018206602020993893,0.01314797812659533,3.329110076757518e-05,0.0009289376709567195,0.018548313866925844,4.4204156901750285e-05,-0.0015330256266211822,0.03381317338723885,8.816090620997858e-05,-0.00019117341150466982,0.01818280925010337,4.587184823609944e-05,0.0009255326241932937,0.01796468482956211,4.275597055321909e-05,-0.0015985012057086018,0.018006319327886464,4.8761176653904046e-05,-9.407773260847553e-05,0.033477474784912406,8.392855714334254e-05,0.0009640721122537609,0.03281778292929516,7.980498140757882e-05,1.0444092968995773e-06,0.01765149500835315,4.412652944016689e-05,2.404734113034802e-06,0.017439744333997812,4.359427994167991e-05,0.00011688574411086551,0.03242409459508682,8.081288374401479e-05,0.7817142857142858,0.0,0.07500001948786313,0.20499994175723601,0.130024887602953
0.04,20.0,0.0,-0.0016374726340784539,0.036851219232182174,9.599582878572086e-05,-0.00018531539806384894,0.014329297604050339,3.6254494188343665e-05,0.0009656712041250831,0.014046930998240283,3.285181972833473e-05,-0.0016347529238397698,0.03612504590658855,9.417432300039978e-05,-0.00019612184051589736,0.013878421355850623,3.515121844015141e-05,0.0009921584143558714,0.01957877574842172,4.66245951936625e-05,-0.0016141615122399146,0.035691683019863224,9.306177161621101e-05,-0.00021650971532896125,0.019192965319553553,4.8460346827645556e-05,0.000989562898142468,0.01896272287564889,4.5092975628638995e-05,-0.0016992139785068393,0.01900667040165793,5.1512929018416325e-05,-9.313179080888184e-05,0.035337334495185314,8.857853056948448e-05,0.001034047473682766,0.03464099309203377,8.419230244945003e-05,1.2242484075160224e-06,0.018632133619928323,4.6577723026578555e-05,2.8206711361091993e-06,0.018408619019219908,4.601553571276718e-05,0.0001368753327271189,0.03422543318370275,8.52713685989797e-05,0.8251428571428571,0.0,0.07500001758462015,0.20499990296324663,0.13002637648387796
0.042,20.0,0.0,-0.0017268945174888973,0.03879075708650755,0.000101070574301465,-0.00019849127029133613,0.015083471162158255,3.817196640055526e-05,0.001025692880408336,0.014786243156042406,3.455142987979331e-05,-0.0017239217552363496,0.03802636411219848,9.915279259009564e-05,-0.00021065377925763308,0.014608864585105923,3.701246606405455e-05,0.0010563626587024037,0.020609237629917603,4.904269803890433e-05,-0.0016945592135874249,0.03757019265248761,9.79608854118188e-05,-0.00024194269821100302,0.020203121389003743,5.104907776083177e-05,0.0010544289316185016,0.01996076092173568,4.7427995058983024e-05,-0.001800308442824916,0.020007021475429404,5.426558863484061e-05,-9.105256553263425e-05,0.03719719420545823,9.322581499066778e-05,0.0011058066352821409,0.0364642032547724,8.85753894527241e-05,1.4238160831636453e-06,0.0196127722315035,4.9028869957739966e-05,3.282755985521393e-06,0.019377493704442014,4.843668258326477e-05,0.00015901943451891227,0.036026771772318694,8.972474109897895e-05,0.8685714285714287,0.0,0.07500001568137717,0.20499986416925725,0.13002786536480293
0.044,19.0,0.0,-0.0018153295686290166,0.04073029494083293,0.00010614297364580458,-0.00021204593214585612,0.015837644720266168,4.009033997639376e-05,0.0010862955489444855,0.015525555313844525,3.624965608359047e-05,-0.001812143370702924,0.039927682317808404,0.00010412901018261188,-0.00022568590225743184,0.015339307814361217,3.8874903984047124e-05,0.0011215996502150986,0.021639699511413483,5.14583421317777e-05,-0.0017741812153888336,0.039448702285111985,0.00010285815374674852,-0.00026747606145622466,0.02121327745845393,5.363805039166233e-05,0.001120172167004943,0.020958798967822462,4.9760925090509904e-05,-0.001901803338929795,0.021007372549200872,5.701920248006447e-05,-8.778242434434306e-05,0.03905705391573114,9.787026620315943e-05,0.0011794396723989987,0.03828741341751102,9.295401695557219e-05,1.6441880318359279e-06,0.020593410843078672,5.1479967567488776e-05,3.7936134402798974e-06,0.020346368389664114,5.085771408419648e-05,0.00018342746622670788,0.03782811036093462,9.417272731603928e-05,0.912,0.0,0.07500001377813419,0.20499982537526787,0.1300293542457279
