t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_fixed_horizontal_cylinder_radius2p5_x,object_fixed_horizontal_cylinder_radius2p5_y,object_fixed_horizontal_cylinder_radius2p5_z
0.0,49.0,275.84522833633685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.185,0.115
0.002,48.0,374.77781502035873,-0.0028139304900600586,0.0,0.0,0.0018234297364807714,0.0,0.0,0.0020364724822874427,0.0,0.0,-0.0028276552491924354,0.0,0.0,0.0017433386019006624,0.0,0.0,0.0023563450993815457,0.0,0.0,-0.0028174910589378963,0.0,0.0,0.0017666212326067259,0.0,0.0,0.0022631287890670796,0.0,0.0,-0.0028185734367721297,0.0,0.0,0.0017665277296908886,0.0,0.0,0.0021215580031804845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.185,0.115
0.004,48.0,210.52829373697475,-0.010504500947481689,0.006699061667900153,5.707795294776127e-05,0.006664587542513237,0.002604875776359567,4.688676239272773e-06,0.007674589087637796,0.002553545281882323,3.1024367975692816e-06,-0.010537540431863465,0.006567053012797434,5.636824957193921e-05,0.006416640217494572,0.0025229124694673053,4.677443205399857e-06,0.008890165478660677,0.0035591611038509013,7.216896026816134e-06,-0.010510516124111524,0.006488273402156576,5.583458676656684e-05,0.007273494419065168,0.003489025897772028,1.0334427990991812e-05,0.009196912712693841,0.0034471708828655366,7.104252562790742e-06,-0.010513273174066294,0.0034551599587501433,3.7642400373133637e-05,0.006565562299400056,0.006423857551929464,2.794397893343145e-05,0.007885227714702315,0.006297271943669575,2.5054283642934543e-05,4.074974118467044e-09,0.0033870741518221502,2.0322444910932904e-05,9.329905149368856e-09,0.0033464421693526498,2.00786530161159e-05,4.5992721119997946e-07,0.006221728677785299,3.7330372066711794e-05,0.15,0.0,0.075,0.185,0.115
0.006,48.0,183.98268113400158,-0.02213954254379113,0.013398123335800306,0.00014341574569969195,0.013797092179677083,0.005209751552719134,-8.72901593876462e-06,0.016879848955690873,0.005107090563764646,-1.54049911432389e-05,-0.02216844062093349,0.013134106025594868,0.00014202987874475,0.0133677209673372,0.005045824938934611,-8.22489167135977e-06,0.018844594119607844,0.007118322207701803,-1.0631059625753249e-05,-0.02210446843325839,0.012976546804313153,0.00014092237757054807,0.015040006019298608,0.006978051795544056,-1.7726557411266736e-06,0.019429858769261073,0.006894341765731073,-1.3815425681776609e-05,-0.022116399727615477,0.0069103199175002865,0.0001045415585493995,0.013691098147895337,0.012847715103858928,3.7692916826753234e-05,0.016803761250914317,0.01259454388733915,2.8255897035821013e-05,2.037728948619577e-08,0.0067741483036443005,4.064486537202109e-05,4.665933507227887e-08,0.0066928843387052996,4.01572500528009e-05,2.2995954473494096e-06,0.012443457355570599,7.46579845701564e-05,0.3,0.0,0.075,0.185,0.115
0.008,49.0,158.36555563672346,-0.03685234544936626,0.020097185003700457,0.0002534203652849495,0.02250603784159505,0.0078146273290787,-3.58947891035903e-05,0.029052976774726,0.007660635845646969,-5.531527866026343e-05,-0.0368685503460925,0.0197011590383923,0.00025121759795595475,0.021895327814154618,0.0075687374084019154,-3.479390135361171e-05,0.031870228072719886,0.010677483311552704,-4.9002664848330845e-05,-0.03678150542551645,0.019464820206469727,0.00024941573183836867,0.0244025895332868,0.010467077693316083,-2.7437569955895148e-05,0.03267413222268612,0.01034151264859661,-5.4530076723986784e-05,-0.03680879971355666,0.010365479876250428,0.00019489127762319544,0.02244844344915551,0.01927157265578839,3.3482847047358316e-05,0.028662857169575694,0.018891815831008723,1.2528327480566434e-05,5.706898882474111e-08,0.01016122245546645,6.096721246906179e-05,1.306971450909882e-07,0.01003932650805795,6.023567909233726e-05,6.438656091435627e-06,0.018665186033355898,0.0001119773186274513,0.44999999999999996,0.0,0.075,0.185,0.115
0.01,49.0,146.5064521610459,-0.0539281168607528,0.02679624667160061,0.0003818915527258013,0.03211003094801294,0.010419503105438268,-7.25192084169407e-05,0.04415731137880916,0.010214181127529292,-0.00011303277388318025,-0.05394586168300573,0.026268212051189736,0.0003788205743836934,0.0314972600373116,0.010091649877869221,-7.082206761771238e-05,0.0472945599339227,0.014236644415403605,-0.00010580150194389767,-0.05384162199751001,0.025953093608626306,0.0003764075942048565,0.03484603316593684,0.013956103591088112,-6.267891565319213e-05,0.048304201231798065,0.013788683531462146,-0.00011331269214734384,-0.053910830273283306,0.013820639835000573,0.0003037766372913434,0.03230285073125973,0.025695430207717855,1.9481920551374073e-05,0.04302922999025661,0.0251890877746783,-2.0842616369384366e-05,1.2233146611373438e-07,0.013548296607288601,8.128943722979866e-05,2.8023065390587733e-07,0.013385768677410599,8.031382788159305e-05,1.3796435684120405e-05,0.024886914711141198,0.00014928285633029857,0.6,0.0,0.075,0.185,0.115
0.012,49.0,118.99118550686337,-0.07281079291029521,0.03349530833950076,0.0005245405512015214,0.0422544103702593,0.013024378881797832,-0.00011451391239729063,0.06149668632941351,0.012767726409411614,-0.00018833750981638527,-0.07280481910595947,0.032835265063987165,0.0005206867604819574,0.04166850499570793,0.012614562347336525,-0.00011329618613985045,0.06482777593988266,0.017795805519254505,-0.0001769925264880092,-0.07269848965278494,0.03244136701078288,0.0005176979340497574,0.04585150316753034,0.017445129488860137,-0.00010440542206246022,0.06603078679835184,0.01723585441432768,-0.0001864100809048223,-0.07282170847718084,0.017275799793750716,0.0004271197804022041,0.04277899385484342,0.032119287759647314,-1.1013778296744825e-06,0.05940969628916639,0.03148635971834787,-6.925722163145241e-05,2.243751424417424e-07,0.016935370759110748,0.00010161149056586781,5.141648520333516e-07,0.016732210846763247,0.00010039158369665604,2.5291773558251294e-05,0.031108643388926494,0.00018656908171945424,0.7499999999999999,0.0,0.075,0.185,0.115
0.014,47.0,94.62759172289948,-0.09299692290234249,0.04019437000740091,0.0006780309775061768,0.05271731820431831,0.0156292546581574,-0.00015975093427261143,0.08027332146078554,0.015321271691293938,-0.0002770524878287175,-0.09297066719130193,0.0394023180767846,0.0006732428230964645,0.05219269603758439,0.015137474816803831,-0.00015918618107342458,0.0837588324771018,0.021354966623105407,-0.00026083685590066357,-0.0928567823632246,0.038929640412939455,0.0006697687803943463,0.05706651285294074,0.020934155386632167,-0.00014950408668538905,0.08548982062070788,0.02068302529719322,-0.0002720865690069517,-0.09302959752483345,0.020730959752500857,0.0005613160093780902,0.05345541394488014,0.03854314531157678,-2.5415091259599842e-05,0.07750431981776422,0.037783631662017446,-0.00012975638776289368,3.714491421624009e-07,0.0203224449109329,0.00012193332321474276,8.515615781774852e-07,0.0200786530161159,0.00012046883310758319,4.1842859550157217e-05,0.037330372066711796,0.00022383048175892128,0.8999999999999999,0.0,0.075,0.185,0.115
0.016,49.0,65.362773311186,-0.11405101960464983,0.046893431675301064,0.0008393421274658613,0.06320274367614619,0.018234130434516965,-0.00020689912661880808,0.10016802236322349,0.01787481697317626,-0.0003743910269256557,-0.11403230153729246,0.04596937108958203,0.0008336402296853038,0.06282184525192067,0.017660387286271135,-0.00020719385250787955,0.10371743529277311,0.024914127726956305,-0.0003530682285008729,-0.11390417918214685,0.04541791381509603,0.0008296481770699238,0.06832982293198112,0.02442318128440419,-0.0001958599894112193,0.10604977463007259,0.024130196180058752,-0.0003681577466438948,-0.11412038879070781,0.024186119711250998,0.0007032943034165067,0.06423186454706706,0.04496700286350624,-5.0930466488243414e-05,0.09669356604989203,0.04408090360568702,-0.0002005404972724632,5.718509694764669e-07,0.023709519062755046,0.0001422548856816773,1.3116786507180717e-06,0.023425095185468547,0.00014054546174334221,6.436707181842575e-05,0.04355210074449709,0.0002610615473096816,1.0499999999999998,0.0,0.075,0.185,0.115
0.018000000000000002,53.0,40.240122056190344,-0.1356437829159394,0.05359249334320122,0.0010058610776871064,0.07363789773979998,0.020839006210876535,-0.00025418242479161794,0.12071896915809431,0.020428362255058584,-0.00047843796064898946,-0.1356308784800973,0.05253642410237947,0.0009994123538380317,0.07333675452268287,0.020183299755738442,-0.00025583127297709333,0.12442137458846818,0.02847328883080721,-0.00045146487877179535,-0.13549377300231516,0.05190618721725261,0.0009948621983963968,0.0794757342406323,0.027912207182176223,-0.00024250569449882933,0.12735689120262375,0.027577367062924293,-0.00047083444540288975,-0.13575058366607112,0.027641279670001146,0.0008505700107642537,0.07488277533114238,0.05139086041543571,-7.704602478978808e-05,0.11664000415610513,0.0503781755493566,-0.0002778923430032126,8.33936185558811e-07,0.027096593214577202,0.00016257612818164636,1.9140089415079266e-06,0.026771537354821198,0.00016062135405702288,9.378081480084133e-05,0.049773829422282395,0.0002982567741027838,1.2,0.0,0.075,0.185,0.115
