t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_free_horizontal_cylinder_radius2p5_x,object_free_horizontal_cylinder_radius2p5_y,object_free_horizontal_cylinder_radius2p5_z
0.0,53.0,4546.7949737843155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.2,0.1
0.002,52.0,353.6613099942285,-0.005341202500199991,0.0,0.0,0.006620187257980602,0.0,0.0,0.004770152668696653,0.0,0.0,-0.005741964453528566,0.0,0.0,0.003604241944628891,0.0,0.0,0.0067606885387526145,0.0,0.0,-0.005727416404222682,0.0,0.0,0.0036527230518486435,0.0,0.0,0.006995182617518347,0.0,0.0,-0.005127279714669873,0.0,0.0,0.005930344973907927,0.0,0.0,0.005384234016201685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07499999879304066,0.19997101939186823,0.10001784507232489
0.004,57.0,274.9727468849935,-0.019970172935668915,0.006699061667900153,3.612079250430043e-05,0.020638086251977487,0.002604875776359567,-1.2045934444863106e-05,0.02121524177212718,0.002553545281882323,-6.649822160442991e-06,-0.020780267454006997,0.006567053012797434,3.6927052398978e-05,0.01299153221163591,0.0025229124694673053,-3.243988425484757e-06,0.02588403384737018,0.0035591611038509013,-9.60458230470514e-06,-0.02077878584215359,0.006488273402156576,3.664706941913778e-05,0.013152326106152279,0.003489025897772028,-4.910914622298468e-07,0.02643469101375175,0.0034471708828655366,-1.0644035203958431e-05,-0.019458249091448433,0.0034551599587501433,2.574731902026005e-05,0.018889112449098286,0.006423857551929464,1.48053773406461e-06,0.022470626065689992,0.006297271943669575,2.73911378240367e-06,2.0374870592335252e-09,0.0033870741518221502,1.0161222455466452e-05,4.664952574684445e-09,0.0033464421693526498,1.003932650805795e-05,2.2996360559998978e-07,0.006221728677785299,1.8665186033355897e-05,0.15,0.0,0.07500005045179682,0.1999454002037944,0.10011468362039194
0.006,52.0,198.14269337752054,-0.041856554207778736,0.013398123335800306,0.00010010488881440767,0.03903917620955727,0.005209751552719134,-4.6285004097775065e-05,0.04764960629730028,0.005107090563764646,-4.8324453625087614e-05,-0.04284071042414064,0.013134106025594868,0.0001017431204388056,0.026615467226903798,0.005045824938934611,-2.3837121818103896e-05,0.05487698600673753,0.007118322207701803,-5.629713491900513e-05,-0.04281900342680716,0.012976546804313153,0.00010126599793940022,0.026829679282408085,0.006978051795544056,-1.8522822931824667e-05,0.055534960903771094,0.006894341765731073,-5.862104774406203e-05,-0.041074132686922005,0.0069103199175002865,7.910570702684615e-05,0.036158902234371224,0.012847715103858928,-1.8124192035718075e-05,0.04981407994930899,0.01259454388733915,-2.9628246535052526e-05,1.0188040019632731e-08,0.0067741483036443005,2.0322438798471723e-05,2.332721520478084e-08,0.0066928843387052996,2.0078639021258177e-05,1.1498078758373269e-06,0.012443457355570599,3.7329682175895e-05,0.3,0.0,0.07500002355640287,0.19990697425453402,0.10026176630445928
0.008,49.0,134.09026516078325,-0.06914348851653468,0.020097185003700457,0.00018586121763443757,0.06046510523936357,0.0078146273290787,-9.36736466414357e-05,0.08141334929579067,0.007660635845646969,-0.00011996691135495993,-0.07012452122033538,0.0197011590383923,0.00018762560838759884,0.04319435744022461,0.0075687374084019154,-5.714018945550565e-05,0.09107070296939224,0.010677483311552704,-0.0001325985080855545,-0.07011055856687662,0.019464820206469727,0.0001868514708998307,0.04348344089989083,0.010467077693316083,-4.9087804767276005e-05,0.09195671452449306,0.01034151264859661,-0.00013558034476552345,-0.06811806055840083,0.010365479876250428,0.0001543188376895173,0.05639694109741804,0.01927157265578839,-5.06619887357485e-05,0.08452776077338324,0.018891815831008723,-9.276679235490081e-05,2.8529656618905138e-08,0.01016122245546645,3.0483636802279293e-05,6.532895449599483e-08,0.01003932650805795,3.0117909542528234e-05,3.2194092615788586e-06,0.018665186033355898,5.5992108676440184e-05,0.44999999999999996,0.0,0.07500000485435038,0.19986580715773686,0.10045366226743667
0.01,52.0,82.76695867261292,-0.10042471938908228,0.02679624667160061,0.00028781920556440586,0.08396934416551982,0.010419503105438268,-0.0001501368064017759,0.1203794014788381,0.010214181127529292,-0.0002135975045047841,-0.1011401583044005,0.026268212051189736,0.00028917819981457533,0.061754882492946396,0.010091649877869221,-9.930812268706616e-05,0.13204190468664811,0.014236644415403605,-0.0002305021756619659,-0.10114574863758859,0.025953093608626306,0.00028819095652650873,0.062148263951679134,0.013956103591088112,-8.858201192640814e-05,0.13317648051555642,0.013788683531462146,-0.00023450409297909273,-0.09899870074575276,0.013820639835000573,0.00024581610118020424,0.0785948857466697,0.025695430207717855,-9.210453266910054e-05,0.12452993526089848,0.0251890877746783,-0.00017801601899611482,6.114517239588057e-08,0.013548296607288601,4.064480423289595e-05,1.400319543017185e-07,0.013385768677410599,4.015711004536831e-05,6.898562999750272e-06,0.024886914711141198,7.465108590563886e-05,0.6,0.0,0.07499998711700713,0.1998230300053221,0.10068048076894871
0.012,52.0,44.593369742095724,-0.13425181240790512,0.03349530833950076,0.00040176008318574906,0.1086579820359115,0.013024378881797832,-0.00021283489585116597,0.1626062738584622,0.012767726409411614,-0.00032283502520827947,-0.13471592045141556,0.032835265063987165,0.000401926270105163,0.08163821014838879,0.012614562347336525,-0.00014742096043682962,0.17590007404143312,0.017795805519254505,-0.00034273829750218086,-0.1346711612571475,0.03244136701078288,0.0004007613469451144,0.08207034294666238,0.017445129488860137,-0.00013410940338845698,0.1773299922777873,0.01723585441432768,-0.00034782187830368624,-0.13244685073319637,0.017275799793750716,0.0003488235016185104,0.10198517243287833,0.032119287759647314,-0.00013942679396106717,0.1679561854281755,0.03148635971834787,-0.0002791307266276518,1.1212467961881781e-07,0.016935370759110748,5.080592884181505e-05,2.568274214403663e-07,0.016732210846763247,5.0196212444426836e-05,1.2646942513324979e-05,0.031108643388926494,9.330523447778024e-05,0.7499999999999999,0.0,0.07499994387294612,0.1997788601849334,0.10093257899119279
0.014,52.0,15.232274909301758,-0.16950684800903526,0.04019437000740091,0.0005233385472459181,0.1339056799469042,0.0156292546581574,-0.0002790861821332623,0.20668261161693133,0.015321271691293938,-0.00044185500650150485,-0.1696851955041502,0.0394023180767846,0.0005223547155846005,0.10222141578464815,0.015137474816803831,-0.0001995022059947549,0.22113192093773815,0.021354966623105407,-0.00046363532225498317,-0.16958153130281933,0.038929640412939455,0.0005208024050102609,0.10266927598924692,0.020934155386632167,-0.00018340856268009065,0.2229036672617955,0.02068302529719322,-0.00046994090094178235,-0.16740132092168,0.020730959752500857,0.0004595334314570917,0.12598215653023262,0.03854314531157678,-0.00019032608136390465,0.2133263028011278,0.037783631662017446,-0.00039051766129847415,1.8556794625193867e-07,0.0203224449109329,6.096699835875985e-05,4.2514578740400447e-07,0.0200786530161159,6.023518856608338e-05,2.0924058820911796e-05,0.037330372066711796,0.00011195317537259542,0.8999999999999999,0.0,0.07499990376810652,0.19973322487361791,0.10120035797920952
0.016,46.0,1.1708773649620507,-0.2053384059779959,0.046893431675301064,0.000649200839053009,0.15925530885766254,0.018234130434516965,-0.00034701464853716167,0.251744668600581,0.01787481697317626,-0.0005664233839312653,-0.20514983238889958,0.04596937108958203,0.0006469636997811967,0.12305546499002387,0.017660387286271135,-0.00025368308549513104,0.26675269590424755,0.024914127726956305,-0.0005886533796323455,-0.20502951885498966,0.04541791381509603,0.0006449983353537461,0.12356306327722134,0.02442318128440419,-0.0002347382841145282,0.26883740317155586,0.024130196180058752,-0.0005963204132452103,-0.2029111499258648,0.024186119711250998,0.000574762321898793,0.15014173880015982,0.04496700286350624,-0.00024304546100017914,0.259441685411027,0.04408090360568702,-0.0005077361975863224,2.8558683497538836e-07,0.023709519062755046,7.112800048442638e-05,6.544665044553622e-07,0.023425095185468547,7.027401011904343e-05,3.218921995977989e-05,0.04355210074449709,0.00013059353005702854,1.0499999999999998,0.0,0.07499984649271534,0.19968580448267492,0.10147478765642359
0.018000000000000002,44.0,0.7386208033319437,-0.2412422693284666,0.05359249334320122,0.0007767926979635913,0.18454075290374408,0.020839006210876535,-0.00041524890794035805,0.29703481722896374,0.020428362255058584,-0.0006939489190365672,-0.24064009295754835,0.05253642410237947,0.0007730587694738373,0.1438891023182774,0.020183299755738442,-0.00030861649570285626,0.31237524543172335,0.02847328883080721,-0.000714838221220321,-0.24054752645107016,0.05190618721725261,0.0007708071182167268,0.14449320168236646,0.027912207182176223,-0.00028695256828513535,0.3147714722881663,0.027577367062924293,-0.0007237801083258947,-0.23848571486967163,0.027641279670001146,0.0006916572887875978,0.17424719472903274,0.05139086041543571,-0.00029625263515417236,0.30576296860688124,0.0503781755493566,-0.0006271905295850113,4.1630772227372007e-07,0.027096593214577202,8.128892288322668e-05,9.543278345109553e-07,0.026771537354821198,8.031264866495023e-05,4.6901490426158374e-05,0.049773829422282395,0.00014922492060696785,1.2,0.0,0.07499978677028304,0.19963642011836266,0.10175158493960264
