t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_horizontal_cylinder_radius2p5_x,object_horizontal_cylinder_radius2p5_y,object_horizontal_cylinder_radius2p5_z
0.0,41.0,11862.926647931621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.145,0.08
0.002,40.0,11007.628854150116,0.007587666168400858,0.0,0.0,-0.005849973924551779,0.0,0.0,-0.0008688461219245396,0.0,0.0,0.007616651464212788,0.0,0.0,-0.006118405691240801,0.0,0.0,-0.0007491228864859937,0.0,0.0,0.007201782365158462,0.0,0.0,-0.005678958446255574,0.0,0.0,-0.0007614119594514445,0.0,0.0,0.0060252866734827396,0.0,0.0,-0.004641715927442132,0.0,0.0,-0.0006917853730203039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500248956929341,0.14489189148172182,0.08012787045444143
0.004,40.0,10859.518914213644,0.024855151337514644,-0.0027153529960555287,-6.181811498673832e-05,-0.018827421611121456,-0.0010558429813510779,2.876478565920421e-05,-0.0030138773275140167,-0.0010350370209229684,-9.971453939905724e-07,0.02731203150313001,-0.002661845487853893,-6.167098171240009e-05,-0.021633816493294794,-0.0010226205209574145,3.057471102170032e-05,-0.0028391595191986766,-0.001442646634094232,-4.16114248564943e-06,0.026427699559581363,-0.002629913485674132,-5.899017510499556e-05,-0.020657149768578895,-0.001414218497230262,2.558843969415187e-05,-0.0028853225835991144,-0.0013972532645214974,-3.815047830420317e-06,0.02207450871979461,-0.001400491503280058,-4.455466906057679e-05,-0.016590821526653875,-0.002603803594382076,1.2227473998360336e-05,-0.0027419831497344773,-0.002552494227834068,-1.1164253128882584e-05,-1.6517228426852956e-09,-0.0013728940562052448,-8.237364337231469e-06,-3.781721553877532e-09,-0.0013564245593109408,-8.138547355865645e-06,-1.8642382960639175e-07,-0.002521874024062308,-1.5131244144373849e-05,-0.0608,0.0,0.07500422396363524,0.14454962458127615,0.08040455278900038
0.006,40.0,10488.994315916649,0.04818664259456632,-0.0054307059921110575,-0.00018171514397775422,-0.03617007934832895,-0.0021116859627021557,0.0001002944138905158,-0.006008248230824532,-0.0020700740418459367,5.662819714008479e-06,0.055801752677424946,-0.005323690975707786,-0.00019581433487302676,-0.04388689468933566,-0.002045241041914829,0.0001175314527082798,-0.005957588496919025,-0.002885293268188464,-2.7680249393872546e-07,0.055306115907791206,-0.005259826971348264,-0.00019012515918557778,-0.043030998483436556,-0.002828436994460524,0.00010697227664471022,-0.006137694965266874,-0.0027945065290429947,5.448963273367181e-07,0.0471413110778149,-0.002800983006560116,-0.00014925295035812835,-0.03489035730601209,-0.005207607188764152,6.829928602733833e-05,-0.006126072770791682,-0.005104988455668136,-1.417803183560195e-05,-8.259594671737994e-09,-0.0027457881124104896,-1.6474718764125883e-05,-1.891258381596376e-08,-0.0027128491186218817,-1.6277072021401965e-05,-9.321026879922941e-07,-0.005043748048124616,-3.026136974577006e-05,-0.1216,0.0,0.07500472539141925,0.14403276087678846,0.08086789376101328
0.008,40.0,10481.774921059749,0.07841303520276792,-0.008146058988166586,-0.00033799620949639746,-0.058568086384616684,-0.0031675289440532333,0.0001980153024256543,-0.009922106639635855,-0.003105111062768905,1.7418823008333764e-05,0.091532826790304,-0.00798553646356168,-0.00038272373484591975,-0.07168089672914374,-0.0030678615628722435,0.0002449141987587805,-0.009926113258434403,-0.004327939902282696,9.777891567817974e-06,0.09121771189003293,-0.007889740457022397,-0.00037917513818888166,-0.07078644076187186,-0.004242655491690786,0.00023273005795047464,-0.010215707625819779,-0.0041917597935644925,1.1675611030214291e-05,0.07842858099397115,-0.004201474509840175,-0.0003080567135259304,-0.057755128087684765,-0.007811410783146228,0.00016247367913719516,-0.010338070750901035,-0.007657482683502204,-9.188459476263131e-06,-2.3131963470295016e-08,-0.0041186821686157345,-2.471204345412638e-05,-5.2975909476880805e-08,-0.004069273677932823,-2.441552859209404e-05,-2.6098019357285745e-06,-0.007565622072186925,-4.5388139816993595e-05,-0.1824,0.0,0.07500349158354801,0.14338601747400517,0.08144386519800388
0.01,41.0,10073.321507503228,0.11576545342748781,-0.010861411984222115,-0.0005356466831219403,-0.08647889966756397,-0.004223371925404311,0.00032606828675527425,-0.014641923351197244,-0.0041401480836918735,3.469175133566389e-05,0.1336539698436173,-0.010647381951415572,-0.0006130812524503174,-0.1044293565775056,-0.004090482083829658,0.0004055424878718845,-0.014612009697741263,-0.005770586536376928,2.4933160332344847e-05,0.13288478381735716,-0.010519653942696529,-0.0006104241949963768,-0.10301841274097813,-0.005656873988921048,0.0003907774006377049,-0.014932700461348012,-0.0055890130580859895,2.7760167406402737e-05,0.11496982233927355,-0.005601966013120232,-0.0005041832820425483,-0.08463105946002232,-0.010415214377528305,0.00028403948226093874,-0.015171579398956506,-0.010209976911336271,7.685630373885852e-07,-4.958502093143333e-08,-0.005491576224820979,-3.294931855714505e-05,-1.1358682504984963e-07,-0.005425698237243763,-3.255387156800572e-05,-5.592155263963472e-06,-0.010087496096249232,-6.0509317765881025e-05,-0.2432,0.0,0.07500749229119252,0.14265518726844884,0.08216412708860579
0.012,39.0,9822.905746077891,0.15771895306334638,-0.013576764980277642,-0.0007760533104465927,-0.11788476936657666,-0.005279214906755389,0.00048719810856485155,-0.01991360890803509,-0.005175185104614842,5.680042947949442e-05,0.18025334100582027,-0.013309227439269466,-0.0008817791836973206,-0.14072606602384705,-0.005113102604787072,0.0005958975238363112,-0.019762028819759466,-0.00721323317047116,4.4392659163620616e-05,0.1793934436873237,-0.013149567428370661,-0.000876206107474367,-0.13910695274999202,-0.0070710924861513095,0.0005756839215289609,-0.020141260268590602,-0.006986266322607487,4.767860483244315e-05,0.15773433274404744,-0.007002457516400291,-0.000731833679134043,-0.11670936778664412,-0.01301901797191038,0.00042967224892867165,-0.020515343809448153,-0.01276247113917034,1.4454649558717e-05,-9.094672440305126e-08,-0.006864470281026224,-4.118652417603176e-05,-2.0840815335752053e-07,-0.006782122796554704,-4.069205525837793e-05,-1.025159888227786e-05,-0.01260937012031154,-7.562266779028546e-05,-0.304,0.0,0.07500064582136909,0.14185564125512956,0.08297819622481697
0.014,39.0,9496.215849878094,0.202657057840145,-0.016292117976333172,-0.0010440664262380773,-0.15148998576156295,-0.006335057888106467,0.0006692982688708211,-0.025576185927978994,-0.00621022212553781,8.222032069498368e-05,0.22945418508648668,-0.01597107292712336,-0.0011773464835976618,-0.17883570064038262,-0.006135723125744487,0.0008075420573886154,-0.02530493394649664,-0.008655879804565392,6.663689409116444e-05,0.22926258226202917,-0.015779480914044793,-0.0011710375476082112,-0.17778749778693953,-0.008485310983381572,0.0007837298505996627,-0.025732579101124316,-0.008383519587128985,7.05464440887697e-05,0.20532226715603893,-0.00840294901968035,-0.0009968236905823669,-0.15319724394237688,-0.015622821566292456,0.00060651927732211,-0.026065465597490456,-0.015314965367004408,3.120227065466247e-05,-1.5056071895648634e-07,-0.008237364337231469,-4.9423640343042396e-05,-3.4516629302128044e-07,-0.008138547355865645,-4.8830033686273726e-05,-1.696030573766373e-05,-0.01513124414437385,-9.072595527294943e-05,-0.3648,0.0,0.07500249108965483,0.14101985826438432,0.08390386572677937
0.016,41.0,9363.552398910728,0.2511675626424596,-0.0190074709723887,-0.0013299871728752024,-0.18927545071007956,-0.007390900869457544,0.0008645945093526324,-0.030932436110398392,-0.007245259146460778,0.0001099855606891093,0.2802524530256422,-0.018632918414977252,-0.0014885226210087836,-0.2173485212306616,-0.0071583436467019005,0.0010300641419620845,-0.03144298457386744,-0.010098526438659624,9.12384450470221e-05,0.2801223046782775,-0.018409394399718924,-0.0014860318599704886,-0.21605843860211293,-0.009899529480611834,0.0010073278098379661,-0.03202191374929669,-0.009780772851650481,9.571083749684302e-05,0.2542238274078252,-0.009803440522960406,-0.001290754246073996,-0.19110879854768187,-0.018226625160674532,0.0008098237126902141,-0.03155955620181065,-0.017867459594838472,4.91880360159119e-05,-2.3179025962777077e-07,-0.009610258393436714,-5.766064699630655e-05,-5.316670797577452e-07,-0.009494971915176585,-5.696776049330138e-05,-2.6090119777068576e-05,-0.017653118168436156,-0.00010581694717619096,-0.4256,0.0,0.07500978565876566,0.1401700745788862,0.08492201287102044
0.018000000000000002,41.0,9584.015426834923,0.3021442808672173,-0.02172282396844423,-0.001637342319665423,-0.2297326582017564,-0.008446743850808623,0.0010849722411556257,-0.036182848002454915,-0.008280296167383747,0.00013591283965808787,0.33159912000324593,-0.021294763902831144,-0.0018092833015708402,-0.2538383524638246,-0.008180964167659316,0.0012550053423780138,-0.03886409628259465,-0.011541173072753857,0.0001194108690066815,0.3307423616697636,-0.021039307885393058,-0.0018069696753820232,-0.25158807594885135,-0.011313747977842096,0.0012284681437456251,-0.03955930774226427,-0.011178026116171979,0.0001250633257987483,0.3033379084110023,-0.011203932026240464,-0.001592566556604394,-0.22958631421520986,-0.02083042875505661,0.0010216702187557515,-0.03687547633008612,-0.020419953822672542,6.683761427482863e-05,-3.380221338797653e-07,-0.010983152449641959,-6.589752395629398e-05,-7.758116242912717e-07,-0.010851396474487527,-6.510518884444661e-05,-3.8012490265941025e-05,-0.020174992192498464,-0.00012089341243632837,-0.4864,0.0,0.07501183456723058,0.13931079147624958,0.08599791749664047
