t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma,input_sigma_diff,object_horizontal_cylinder_radius4x_x,object_horizontal_cylinder_radius4x_y,object_horizontal_cylinder_radius4x_z
0.0,65.0,40843.83405461642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.165,0.075
0.002,65.0,40445.247473703654,5.161755869326994e-05,0.0,0.0,0.0009647944791334176,0.0,0.0,-0.0005582150794613161,0.0,0.0,0.0007755219515629948,0.0,0.0,0.0005374188792144304,0.0,0.0,1.775949485132983e-05,0.0,0.0,0.0007901696491696932,0.0,0.0,0.0004974073635215168,0.0,0.0,5.9580870461654154e-05,0.0,0.0,6.19591464700826e-05,0.0,0.0,0.0009050855631911755,0.0,0.0,-0.00033620342926611314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07499973835091907,0.16497075359484445,0.07499362026128077
0.004,60.0,36145.73399153213,0.0003101662088781538,0.0033495308339500764,1.978747965154084e-05,0.003311345203555626,0.0013024378881797834,2.0258604542781955e-06,-0.002102730934490261,0.0012767726409411615,1.1009926322414866e-05,0.0030192277917772984,0.003283526506398717,1.5048027329014332e-05,0.0019117226068607713,0.0012614562347336526,4.344224133115334e-06,-0.00040476557753576825,0.0017795805519254507,1.0570926342444724e-05,0.003049541480255018,0.003244136701078288,1.472380231145157e-05,0.0018044140090488225,0.001744512948886014,7.482633512186983e-06,-0.00022562724119682103,0.0017235854414327683,9.984027425826685e-06,0.00036684036506292716,0.0017275799793750716,9.993724997429933e-06,0.0031308198403160142,0.003211928775964732,1.3841059276641338e-05,-0.0011809240852649048,0.0031486359718347874,2.0909036406605404e-05,2.037487059233526e-09,0.0016935370759110751,1.0161222455466452e-05,4.664952574684446e-09,0.0016732210846763249,1.003932650805795e-05,2.2996360559998978e-07,0.0031108643388926497,1.8665186033355897e-05,0.075,0.0,0.07498578048556687,0.16486801123359926,0.07497356212145695
0.006,63.0,36588.273302112655,0.0010559783379213853,0.006699061667900153,3.833337275413199e-05,0.006286052675980971,0.002604875776359567,-4.238816563176356e-06,-0.004188957354958157,0.002553545281882323,2.7937657298235504e-05,0.006942982135674142,0.006567053012797434,2.1286951326120814e-05,0.0032975968250405843,0.0025229124694673053,3.667139175639204e-06,-0.001308355019279109,0.0035591611038509013,2.3783560088320018e-05,0.0068854438692256235,0.006488273402156576,2.0632391531409353e-05,0.003372673804514617,0.003489025897772028,1.0107671332339232e-05,-0.0013067292394814928,0.0034471708828655366,2.2036788744374146e-05,0.0010858341914924197,0.0034551599587501433,1.85299175621233e-05,0.0060384505656347915,0.006423857551929464,1.97582262696807e-05,-0.0023613899831780717,0.006297271943669575,4.486917617360688e-05,1.018864474309789e-08,0.0033870741518221502,2.0322432686010545e-05,2.332966753613947e-08,0.0033464421693526498,2.007862502640045e-05,1.1497977236747048e-06,0.006221728677785299,3.73289922850782e-05,0.15,0.0,0.07498751266053298,0.16468541485316127,0.07495020893059186
0.008,62.0,37295.831288149195,0.0017499805467489906,0.010048592501850228,5.395568498357305e-05,0.010139730201642739,0.00390731366453935,-1.4272434068649729e-05,-0.006621083625746664,0.0038303179228234845,4.8115651666689845e-05,0.011927826403771755,0.00985057951919615,1.7445584301132045e-05,0.004808896610446537,0.0037843687042009577,2.9206312749622406e-06,-0.0023961703402381874,0.005338741655776352,3.9882580050332766e-05,0.012042666551980887,0.009732410103234864,1.7081797404055443e-05,0.004662391362342258,0.005233538846658042,1.1165190252860548e-05,-0.0026867498687407993,0.005170756324298305,3.886491338267878e-05,0.0018804116698467033,0.005182739938125214,2.4581434479796766e-05,0.009711995235124959,0.009635786327894195,2.158401457355642e-05,-0.003915885998702992,0.009445907915504361,7.08437873920946e-05,2.853449441237057e-08,0.005080611227733225,3.0483606234530894e-05,6.534857254549432e-08,0.005019663254028975,3.011783954616863e-05,3.219328045717814e-06,0.009332593016677949,5.598865931372565e-05,0.22499999999999998,0.0,0.07498443587785689,0.16446582544039756,0.07491854701814109
0.01,62.0,36382.38680946152,0.0023331483592572565,0.013398123335800306,6.988885673430789e-05,0.014600550117172782,0.005209751552719134,-2.9579871893541628e-05,-0.009760826717902262,0.005107090563764646,7.036904513706786e-05,0.018453333551878375,0.013134106025594868,7.237677730938679e-06,0.0049044899903986925,0.005045824938934611,1.421569970928441e-06,-0.0034640136505014593,0.007118322207701803,5.708695528763994e-05,0.017822284297385513,0.012976546804313153,5.603281513993596e-06,0.0061888758400043134,0.006978051795544056,1.3893962599210787e-05,-0.004151936882003347,0.006894341765731073,5.748654980683124e-05,0.0024139273320501337,0.0069103199175002865,3.01794494859215e-05,0.014106433957697293,0.012847715103858928,1.8814319212403814e-05,-0.0054056009144532215,0.01259454388733915,9.906257931625285e-05,6.116573305686703e-08,0.0067741483036443005,4.064471861489933e-05,1.4011532695293928e-07,0.0066928843387052996,4.0156913940796524e-05,6.898217842060203e-06,0.012443457355570599,7.464142816514928e-05,0.3,0.0,0.07499967178953407,0.16420597515096297,0.07487386479640702
0.012,63.0,38587.53701346273,0.002191082592550357,0.01674765416975038,8.648703486295875e-05,0.01993100987010108,0.006512189440898916,-4.85301640576432e-05,-0.013053600473929663,0.006383863204705807,9.686813953564842e-05,0.025430246276831568,0.016417632531993583,-1.2214206119308755e-05,0.004634688423151812,0.006307281173668263,8.416747099617421e-06,-0.004412769740942567,0.008897902759627253,7.417149846077228e-05,0.024302569834722718,0.01622068350539144,-9.609604751964435e-06,0.006954023128188023,0.008722564744430068,1.520213342655453e-05,-0.005508158438023074,0.00861792720716384,7.661918453500313e-05,0.0023390116849460333,0.008637899896875358,3.7343835388951345e-05,0.019393019102054466,0.016059643879823657,1.1719259532758185e-05,-0.007356884917933808,0.015743179859173936,0.00012689268464176294,1.1218757122086973e-07,0.008467685379555374,5.0805745282933904e-05,2.5708242601667727e-07,0.008366105423381624,5.019579184832802e-05,1.2645886779125647e-05,0.015554321694463247,9.328454085972712e-05,0.37499999999999994,0.0,0.07500748918153952,0.16393019203036555,0.0747926677053703
0.014,62.0,37188.450044901525,0.001044170729191651,0.020097185003700457,0.0001074366144669006,0.026084822035675803,0.0078146273290787,-7.269829524613429e-05,-0.01626981603436892,0.007660635845646969,0.0001242854179174598,0.032375351149538135,0.0197011590383923,-3.437452343063561e-05,0.003961756203941605,0.0075687374084019154,1.7604293911500623e-05,-0.004828595284585816,0.010677483311552704,9.054151831497162e-05,0.031240844200766588,0.019464820206469727,-2.9026497769517943e-05,0.006463642168736522,0.010467077693316083,2.1078327390768362e-05,-0.006582656749071939,0.01034151264859661,9.509802651971809e-05,0.0009897679637848795,0.010365479876250428,4.815880914782637e-05,0.025868153487242432,0.01927157265578839,-7.286786775964616e-07,-0.009888816492667419,0.018891815831008723,0.0001574922044936552,1.8572457108119346e-07,0.01016122245546645,6.096666160737138e-05,4.257807890887482e-07,0.01003932650805795,6.0234416553791595e-05,2.092142977507861e-05,0.018665186033355898,0.00011191524087946064,0.44999999999999996,0.0,0.07501646105241702,0.16363123386360434,0.07469021723279212
0.016,61.0,37290.07877988695,-0.0017586057053863284,0.023446715837650532,0.00013441527065075328,0.03329583369433249,0.009117065217258483,-0.00010180654091050392,-0.020129810261601908,0.00893740848658813,0.00015124334712574228,0.039482718732787435,0.022984685544791016,-5.634399362848272e-05,0.0015509240617141524,0.008830193643135567,2.9210624635163773e-05,-0.004864914322470481,0.012457063863478153,0.00010371395488838382,0.037622031105151485,0.022708956907548015,-5.119132375931144e-05,0.005320776306489687,0.012211590642202095,3.448769084079344e-05,-0.006966851805096738,0.012065098090029376,0.00011188652903460789,-0.0023731055499677553,0.012093059855625499,6.661975135104373e-05,0.03371621546125869,0.02248350143175312,-2.0307912332935877e-05,-0.012343247488128869,0.02204045180284351,0.0001915756097730656,2.8592548473820784e-07,0.011854759531377523,7.112744284083865e-05,6.558393253590556e-07,0.011712547592734273,7.027273087167111e-05,3.218353590921288e-05,0.021776050372248546,0.0001305307736548408,0.5249999999999999,0.0,0.0750193140699959,0.1633158869464516,0.07453841477151536
0.018000000000000002,63.0,37099.91528805613,-0.007361764876816139,0.02679624667160061,0.00017132911426192163,0.04228580538308164,0.010419503105438268,-0.00013725798353336535,-0.023852957170269248,0.010214181127529292,0.0001820639483347872,0.04522376427528156,0.026268212051189736,-7.92870400895862e-05,-0.0007780407864109848,0.010091649877869221,5.124435489693042e-05,-0.004784515710357141,0.014236644415403605,0.00011460935242724452,0.04399499411954515,0.025953093608626306,-7.001362497915108e-05,0.00180194620022522,0.013956103591088112,5.181196370759055e-05,-0.006361804984894846,0.013788683531462146,0.0001245332120193533,-0.007774546192792392,0.013820639835000573,9.716247230980996e-05,0.042724571273853616,0.025695430207717855,-4.812471152124502e-05,-0.015128624996763478,0.0251890877746783,0.00022519401157684299,4.169680927793259e-07,0.013548296607288601,8.128806409082318e-05,9.570044707540252e-07,0.013385768677410599,8.031067702851144e-05,4.689040740042068e-05,0.024886914711141198,0.0001491283870513919,0.6,0.0,0.07499063787011497,0.16297640351500586,0.0743362351402288
