t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_sigma_close,input_sigma_roll_adapt,object_adaptive_cylinder_x,object_adaptive_cylinder_y,object_adaptive_cylinder_z
0.0,5.0,4.415047443483676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.125,0.0785
0.002,5.0,3.566947532036993,-1.3528632064911948e-08,0.0,0.0,1.2529873993005695e-08,0.0,0.0,4.993790359531251e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045015814604179034,0.12500000795864763,0.07849999990424537
0.004,5.0,2.8464946204378005,-4.5245628335481356e-08,0.0023369532853226116,1.402180088372806e-05,1.0501218179583302e-07,0.002290902349306969,1.3745338916597855e-05,1.080613566817116e-07,0.0018392622782042022,1.1035570672950998e-05,5.234923400826818e-09,0.0023369532853226116,1.402171971193567e-05,4.723408439490095e-08,0.0022634202512116838,1.3580521507270103e-05,1.4352201494301243e-07,0.0022634202512116838,1.3580521507270103e-05,1.850383042569917e-08,0.002290902349306969,1.3745414095841812e-05,2.4848371055674583e-08,0.0018030186142758181,1.081811168565491e-05,1.1192809389351724e-07,0.0017813892617893875,1.0688335570736326e-05,0.0608,0.0,0.04506098391199125,0.12500003079074495,0.07849999956107545
0.006,5.0,2.2348763564865117,-8.297528019774614e-08,0.004673906570645223,2.804371089764135e-05,3.9238254617589756e-07,0.004581804698613938,2.749019811859285e-05,5.350115043754666e-07,0.0036785245564084045,2.2070498970310335e-05,2.617607701342967e-08,0.004673906570645223,2.8043408014330932e-05,2.3617019850693832e-07,0.0045268405024233675,2.7160759610033837e-05,7.175986922930768e-07,0.0045268405024233675,2.716018188245055e-05,9.251944012111252e-08,0.004581804698613938,2.7490717168701073e-05,1.2424302052437007e-07,0.0036060372285516363,2.1636074281083486e-05,5.596313482412371e-07,0.003562778523578775,2.1375999572909288e-05,0.1216,0.0,0.04512895660319414,0.12500006516215048,0.07849999911630316
0.008,5.0,1.717576240211263,-1.1589832838406797e-07,0.007010859855967835,4.20656569874882e-05,9.90830063096643e-07,0.006872707047920906,4.123388799224838e-05,1.4936948978229063e-06,0.005517786834612607,3.3103510938649386e-05,7.330060761639065e-08,0.007010859855967835,4.2065002079344934e-05,6.612753936008652e-07,0.006790260753635052,4.074014750061927e-05,2.0092171508083565e-06,0.006790260753635052,4.073725892965656e-05,2.590559299158718e-07,0.006872707047920906,4.123568717088471e-05,3.4788651646987934e-07,0.005409055842827455,3.245358959884158e-05,1.5669203455137375e-06,0.005344167785368163,3.2061648924119535e-05,0.1824,0.0,0.045214821100891374,0.12500010860084187,0.07849999866784886
0.01,5.0,1.282029926516587,-1.3387176570441795e-07,0.009347813141290446,5.6087574237712983e-05,2.0171664556460717e-06,0.009163609397227875,5.497571140298867e-05,3.1964195911000596e-06,0.007357049112816809,4.413333250751391e-05,1.5709734157581923e-07,0.009347813141290446,5.608643904409698e-05,1.4170149318904106e-06,0.009053681004846735,5.4318118376718805e-05,4.305273456745494e-06,0.009053681004846735,5.431003072617556e-05,5.551247046865882e-07,0.009163609397227875,5.498010204778776e-05,7.454907469812127e-07,0.0072120744571032725,4.327035942352082e-05,3.357532704077744e-06,0.00712555704715755,4.274394076087222e-05,0.2432,0.0,0.04531441904342619,0.12500015900302833,0.07849999832340389
0.012,5.0,0.9175105943510279,-1.2733416232792854e-07,0.011684766426613058,7.010940179027258e-05,3.588737437275275e-06,0.011454511746534843,6.871496748047519e-05,5.855421748690073e-06,0.009196311391021011,5.515868982857947e-05,2.8807262363071105e-07,0.011684766426613058,7.010765597562889e-05,2.5978513892983384e-06,0.011317101256058419,6.789410544675916e-05,7.892527111848029e-06,0.011317101256058419,6.787677589561005e-05,1.017740625599977e-06,0.011454511746534843,6.872373973098094e-05,1.3667815761611483e-06,0.00901509307137909,5.4086085483792656e-05,6.155096607965231e-06,0.008906946308946938,5.3421532657457166e-05,0.304,0.0,0.045424243022989474,0.1250002145980877,0.07849999818724322
0.014,5.0,0.6152711135626461,-8.72231430667185e-08,0.01402171971193567,8.413108227658799e-05,5.8233452741766575e-06,0.013745414095841813,8.245095215042723e-05,9.682831262119617e-06,0.011035573669225213,6.617830948485914e-05,4.7675615428749877e-07,0.01402171971193567,8.412858983587225e-05,4.298243754473014e-06,0.013580521507270104,8.146754193528484e-05,1.3057555560973238e-05,0.013580521507270104,8.143577388094954e-05,1.6839231626588083e-06,0.013745414095841813,8.246637813129728e-05,2.2615034945651015e-06,0.01081811168565491,6.49004694244725e-05,1.018309435294583e-05,0.010688335570736326,6.409308284477017e-05,0.3648,0.0,0.04554134739886823,0.12500027390398646,0.07849999836073467
0.016,5.0,0.3696314956743948,-4.21058926332395e-09,0.01635867299725828,9.815256132240807e-05,8.83853939190487e-06,0.01603631644514878,9.618295859924764e-05,1.489061222013794e-05,0.012874835947429414,7.719091869700376e-05,7.337068252676183e-07,0.01635867299725828,9.814917744662396e-05,6.612646522565296e-06,0.015843941758481788,9.503786108836388e-05,2.008670872720891e-05,0.015843941758481788,9.498530521752489e-05,2.5906975476715456e-06,0.01603631644514878,9.620779513191673e-05,3.4794242618720407e-06,0.012621130299930726,7.571321277861696e-05,1.5664825915420566e-05,0.012469724832525711,7.475725042903659e-05,0.4256,0.0,0.045663270239802184,0.12500033558471757,0.07849999891622518
0.018000000000000002,5.0,0.1590218907952643,1.310501648164476e-07,0.018695626282580893,0.00011217378295902094,1.2751844249863788e-05,0.01832721879445575,0.00010991028153038308,2.169054076262128e-05,0.014714098225633618,8.819524568048089e-05,1.069518552452023e-06,0.018695626282580893,0.00011216935545453376,9.635508782270985e-06,0.01810736200969347,0.00010860449617902544,2.9266063582327263e-05,0.01810736200969347,0.00010852365180579757,3.775095927766222e-06,0.01832721879445575,0.00010994776858144847,5.0703395395709755e-06,0.014424148914206545,8.652401693966804e-05,2.282337255065127e-05,0.0142511140943151,8.541269561039807e-05,0.4864,0.0,0.045787967292145966,0.1250003987046879,0.07849999995645596
0.02,5.0,0.0,3.295622706179742e-07,0.021032579567903505,0.00012619469110643214,1.767924125645356e-05,0.020618121143762717,0.00012363221579707713,3.0294113373164967e-05,0.01655336050383782,9.919001977845119e-05,1.4948261057666982e-06,0.021032579567903505,0.00012618906029610632,1.3461273294645925e-05,0.020370782260905156,0.00012216688051273732,4.088137876041754e-05,0.020370782260905156,0.00012204909718393697,5.274158519568661e-06,0.020618121143762717,0.0001236860762870097,7.084077511448952e-06,0.016227167528482363,9.733258313365677e-05,3.188156042683508e-05,0.01603250335610449,9.605807990132303e-05,0.5472,0.0,0.045913755675782805,0.12500046237342488,0.07850000144320535
0.022,5.0,0.0,6.171751002084503e-07,0.023369532853226117,0.000140215219745733,2.372295176651886e-05,0.022909023493069686,0.0001373480655108794,4.091202876745722e-05,0.018392622782042022,0.00011017397201201315,2.0203109354533603e-06,0.023369532853226117,0.0001402082281627221,1.8184375562203272e-05,0.022634202512116838,0.00013572444743293314,5.521804922253156e-05,0.022634202512116838,0.00013555992680013853,7.124934764164629e-06,0.022909023493069686,0.00013742249600730072,9.570503489669494e-06,0.01803018614275818,0.00010813861239148038,4.306192430152742e-05,0.017813892617893876,0.00010669206634480225,0.608,0.0,0.04603976721711592,0.12500052621519359,0.07850000313267538
0.024,5.0,0.0,1.0091993092060864e-06,0.025706486138548725,0.00015423521378069108,3.099494763567536e-05,0.025199925842376653,0.0001510572173436608,5.375509342001136e-05,0.020231885060246223,0.00012114583818887259,2.6567069941696748e-06,0.025706486138548725,0.00015422679496567964,2.3899242886805276e-05,0.024897622763328523,0.0001492766303265979,7.256106098016811e-05,0.024897622763328523,0.00014905442828463595,9.364484482964827e-06,0.025199925842376653,0.00015115680544567492,1.2579524504234042e-05,0.019833204757033998,0.00011894180552126597,5.658667124690929e-05,0.019595281879683263,0.00011731331973229041,0.6688,0.0,0.046165641133431155,0.125000589983295,0.07850000479342958
0.026000000000000002,5.0,0.0,1.5158690055856653e-06,0.02804343942387134,0.0001682545813473728,3.961189214052561e-05,0.027490828191683626,0.0001647589994642877,6.903398840676586e-05,0.022071147338450427,0.0001321043534701825,3.4148065543634794e-06,0.02804343942387134,0.00016824469630126305,3.070029341486528e-05,0.02716104301454021,0.00016282286262992042,9.319494588541187e-05,0.02716104301454021,0.00016253089172136025,1.2029879034590878e-05,0.027490828191683626,0.00016488878224320397,1.61610938736232e-05,0.02163622337130982,0.0001297418630808335,7.267764443038649e-05,0.021376671141472653,0.00012792050682135445,0.7296,0.0,0.04629151504974639,0.1250006537513964,0.07850000645418378
