t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_sigma,input_sigma_diff,object_gui_cylinder_x,object_gui_cylinder_y,object_gui_cylinder_z
0.0,20.0,4878.0473959607825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.125,0.095
0.002,16.0,4294.194151430608,0.00034699280605036286,0.0,0.0,0.0021946906934265076,0.0,0.0,-0.0012708417497384354,0.0,0.0,0.0004930983950924648,0.0,0.0,0.0008718209789215301,0.0,0.0,-0.0006824596870069976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045015658750215355,0.12499838324537318,0.09501109753973945
0.004,12.0,3279.527163305706,0.0018952859870386772,0.0030749385333192257,3.273534872722636e-05,0.00519532895998575,0.0030143451964565375,9.835854036360359e-06,-0.0035447538349580024,0.0024200819450055293,4.429108433692758e-05,0.00221823905567962,0.0030749385333192257,3.098208165872113e-05,0.0030371326175534325,0.002978184541068005,2.5276362745757704e-05,-0.0026271367399823154,0.002978184541068005,4.3927730736900034e-05,4.869429059394521e-08,0.0030143451964565375,3.617214235747845e-05,6.539045014651203e-08,0.0023723929135208133,2.846871496224976e-05,2.9454761550925593e-07,0.0023439332391965626,2.8127198870358753e-05,0.08,0.0,0.04507320529323785,0.12498918370658917,0.09505760122800476
0.006,13.0,3628.4952847109366,0.0039805454073235215,0.0061498770666384515,5.105509295519729e-05,0.007490184641575123,0.006028690392913075,1.0000337195127905e-05,-0.005732446371127944,0.0048401638900110585,0.00010061901269962874,0.004255734080571928,0.0061498770666384515,4.7179656131505976e-05,0.006377006470229018,0.00595636908213601,3.503083757499093e-05,-0.0053134354596245225,0.00595636908213601,0.00010300206986541991,2.4347296872034177e-07,0.006028690392913075,7.234370038346978e-05,3.2695838360622754e-07,0.004744785827041627,5.693664523909776e-05,1.4726900710918112e-06,0.004687866478393125,5.625086316933139e-05,0.16,0.0,0.045172584052258394,0.12497691126604728,0.09511512922471677
0.008,14.0,3739.7383388971252,0.0057704652687953235,0.009224815599957676,6.293124231160986e-05,0.01023129074075727,0.009043035589369612,1.863421137353386e-05,-0.007992387695198083,0.007260245835016587,0.00015591230647373438,0.006546643310871502,0.009224815599957676,5.962897823262898e-05,0.009298739667266076,0.008934553623204016,3.069056583569997e-05,-0.007913946229915357,0.008934553623204016,0.00017097586899394247,6.817321944796492e-07,0.009043035589369612,0.0001085135053968107,9.155153621189954e-07,0.0071171787405624395,8.540222138614601e-05,4.123282574075817e-06,0.007031799717589687,8.436392433022314e-05,0.24,0.0,0.04528456752885235,0.12496757706090071,0.09516732026939459
0.01,13.0,3624.567778667141,0.008138727579754437,0.012299754133276903,7.835146637377896e-05,0.011721848262706393,0.01205738078582615,2.191308054082656e-05,-0.009911626144243162,0.009680327780022117,0.00021207258570264242,0.00831430751798265,0.012299754133276903,6.903732986886482e-05,0.013013045356135183,0.01191273816427202,3.1367981964071335e-05,-0.01064400953350645,0.01191273816427202,0.00023792021273024854,1.4608802550935865e-06,0.01205738078582615,0.00014468038864358005,1.961921989964161e-06,0.009489571654083253,0.00011386387366465362,8.834796340225923e-06,0.00937573295678625,0.0001124593160905461,0.32,0.0,0.045426619687036894,0.12495314524321041,0.09522325879648239
0.012,13.0,3611.774560923065,0.01007782565885545,0.015374692666596128,8.68315810421003e-05,0.013752336006050138,0.015071725982282687,4.019853263491553e-05,-0.011880294875354828,0.012100409725027645,0.0002641444304312497,0.010506127550523733,0.015374692666596128,8.472462178336173e-05,0.016229177909845526,0.014890922705340025,2.2534528190458105e-05,-0.013330259939738175,0.014890922705340025,0.0003064191868661577,2.678343630777425e-06,0.015071725982282687,0.00018084318122433114,3.597112392874839e-06,0.011861964567604065,0.00014232003174736923,1.6195126722386538e-05,0.011719666195982812,0.00014052997679571104,0.39999999999999997,0.0,0.04556978369936653,0.12493832316461288,0.09527543348637381
0.014,12.0,3295.755725278477,0.011936539360265817,0.018449631199915353,0.00010046166649271884,0.015718787092975365,0.018086071178739224,5.200482207226902e-05,-0.013769491166049714,0.014520491670033175,0.00031680943854465603,0.012756714209324711,0.018449631199915353,9.532204379269944e-05,0.01934467447402788,0.01786910724640803,1.9679152038750065e-05,-0.0159870655194221,0.01786910724640803,0.0003743924062337545,4.4315730637981755e-06,0.018086071178739224,0.00021700071402130133,5.952118638546612e-06,0.014234357481124879,0.00017076912442478404,2.6791401510713086e-05,0.014063599435179375,0.00016856885170148388,0.48,0.0,0.04574965568377044,0.1249161308226553,0.09532896628269359
0.016,14.0,3727.75947483898,0.013701763351091488,0.021524569733234578,0.00011505636447562513,0.017647813824416714,0.02110041637519576,6.457955138664475e-05,-0.01558466379601134,0.0169405736150387,0.000368520777373061,0.01515312156905714,0.021524569733234578,0.0001052142662869184,0.022268235145430606,0.020847291787476036,1.803140776137789e-05,-0.018610608444507987,0.020847291787476036,0.00044201228768277765,6.818049631987154e-06,0.02110041637519576,0.0002531518176255836,9.15809507541237e-06,0.01660675039464569,0.00019920957931208574,4.120978947305686e-05,0.016407532674375936,0.0001965688952743827,0.5599999999999999,0.0,0.04592971322454505,0.12489804271277383,0.0953860327058477
0.018000000000000002,13.0,3616.431310342351,0.015886162155296958,0.024599508266553806,0.00013077293898554782,0.018594529034119553,0.0241147615716523,7.760337296682704e-05,-0.01710841976417304,0.019360655560044234,0.00041934383227266694,0.017278335206006877,0.024599508266553806,0.00011335664036995998,0.025688563400699936,0.02382547632854404,1.868689419736122e-05,-0.021335047733823834,0.02382547632854404,0.0005092330172766244,9.935290827968557e-06,0.0241147615716523,0.00028929532226424373,1.3346342566393045e-05,0.018979143308166507,0.00022763982255709315,6.0035309203991665e-05,0.0187514659135725,0.00022452307348919335,0.64,0.0,0.046134596139827705,0.12488011606404287,0.09544579130307419
