t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_sigma,input_sigma_diff,object_gui_cylinder_x,object_gui_cylinder_y,object_gui_cylinder_z
0.0,16.0,1849.301843825786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.125,0.086
0.002,13.0,1605.5316037483012,0.00017555481434967037,0.0,0.0,0.0006189649788020524,0.0,0.0,-0.00039725989657586136,0.0,0.0,0.0003598601657542208,0.0,0.0,-0.00033329330736925247,0.0,0.0,-1.3283429192484176e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045020839058072616,0.12500228898980859,0.08600615715230449
0.004,13.0,1595.6617835439554,0.0009430714479317947,0.0030749385333192257,3.4792604627634664e-05,0.0019185453541003595,0.0030143451964565375,2.874456261185382e-05,-0.0014303857997398396,0.0024200819450055293,3.3808102098976685e-05,0.000988610325372414,0.0030749385333192257,3.258094041078006e-05,-0.0009154585292810532,0.002978184541068005,3.973773418124709e-05,-3.6127177850141286e-05,0.002978184541068005,3.5897615643125873e-05,4.869429059394522e-08,0.0030143451964565375,3.617214235747845e-05,6.539045014651203e-08,0.0023723929135208133,2.846871496224976e-05,2.9454761550925593e-07,0.0023439332391965626,2.8127198870358753e-05,0.08,0.0,0.04508922634648178,0.12500787589879173,0.08602462760372057
0.006,11.0,1363.110326904819,0.0022463959687352405,0.0061498770666384515,6.248166742447989e-05,0.0034787125258837343,0.006028690392913075,4.9321740465752594e-05,-0.002860345861027313,0.0048401638900110585,7.524659627701078e-05,0.0020101929265809977,0.0061498770666384515,6.193520089519246e-05,-0.001860931161135625,0.00595636908213601,8.246193133700476e-05,-7.238584769707122e-05,0.00595636908213601,7.190995511983381e-05,2.434729687203418e-07,0.006028690392913075,7.234370038346978e-05,3.2695838360622743e-07,0.004744785827041627,5.693664523909776e-05,1.4726900710918116e-06,0.004687866478393125,5.625086316933139e-05,0.16,0.0,0.04519386846973522,0.12501490085610795,0.08605592836879544
0.008,10.0,1335.7388081762551,0.003970990070419806,0.009224815599957676,8.374103557466924e-05,0.0046628070759216975,0.009043035589369612,6.677187676183054e-05,-0.004310445730674771,0.007260245835016587,0.00012144710035252682,0.0031248936541365337,0.009224815599957676,8.657547208052015e-05,-0.0028917106650064115,0.008934553623204016,0.0001295458174120757,-0.00011030022934973674,0.008934553623204016,0.00010808327365081306,6.817321944796492e-07,0.009043035589369612,0.0001085135053968107,9.155153621189953e-07,0.0071171787405624395,8.540222138614601e-05,4.123282574075817e-06,0.007031799717589687,8.436392433022314e-05,0.24,0.0,0.045321232004048716,0.12502166226062444,0.08609022860468751
0.01,10.0,1336.071587827515,0.0053967689161213495,0.012299754133276903,9.994516875428517e-05,0.006141645565273893,0.01205738078582615,8.873488451885343e-05,-0.005754893237206823,0.009680327780022117,0.00016788928212836267,0.0046147643599732755,0.012299754133276903,0.00011009832574968444,-0.004268572364582798,0.01191273816427202,0.0001776533859513412,-0.0001596040056105265,0.01191273816427202,0.00014427646072346108,1.4608802550935865e-06,0.01205738078582615,0.00014468038864358005,1.961921989964161e-06,0.009489571654083253,0.00011386387366465362,8.834796340225924e-06,0.00937573295678625,0.0001124593160905461,0.32,0.0,0.04545678674102872,0.12503239311518202,0.08612463126999095
0.012,10.0,1334.6854873460566,0.006772946135193727,0.015374692666596128,0.00011973508500569735,0.007672182178558674,0.015071725982282687,0.00010716096500410553,-0.007195612080919645,0.012100409725027645,0.00021426363554681363,0.006187037643454129,0.015374692666596128,0.00012911913967947423,-0.005719869285731971,0.014890922705340025,0.00022991394083907388,-0.00020883042514129277,0.014890922705340025,0.00018060632053140663,2.678343630777425e-06,0.015071725982282687,0.00018084318122433114,3.5971123928748392e-06,0.011861964567604065,0.00014232003174736923,1.619512672238654e-05,0.011719666195982812,0.00014052997679571104,0.39999999999999997,0.0,0.0456202392449234,0.12504011396996853,0.08616055692674966
0.014,10.0,1332.8649545684098,0.008289592422530396,0.018449631199915353,0.00014012022077665952,0.009055414878864557,0.018086071178739224,0.00012496666800216658,-0.008626977791268186,0.014520491670033175,0.0002605932450114339,0.007620442068920769,0.018449631199915353,0.00014715112267753468,-0.007040134389612228,0.01786910724640803,0.00028306771838568006,-0.0002491690546420356,0.01786910724640803,0.0002169352520585919,4.4315730637981755e-06,0.018086071178739224,0.00021700071402130133,5.952118638546613e-06,0.014234357481124879,0.00017076912442478404,2.6791401510713093e-05,0.014063599435179375,0.00016856885170148388,0.48,0.0,0.04579917031846652,0.12504677577284926,0.08619702564720835
0.016,10.0,1330.9274338210146,0.009745428446218708,0.021524569733234578,0.00015881972772845019,0.010489010269247952,0.02110041637519576,0.00014454001795597443,-0.010046027166557715,0.0169405736150387,0.0003068106168756826,0.009135572395462492,0.021524569733234578,0.00016684953197176568,-0.008433151305689043,0.020847291787476036,0.0003346491141250592,-0.0002881185688049905,0.020847291787476036,0.00025315753010541687,6.818049631987154e-06,0.02110041637519576,0.0002531518176255836,9.15809507541237e-06,0.01660675039464569,0.00019920957931208574,4.1209789473056866e-05,0.016407532674375936,0.0001965688952743827,0.5599999999999999,0.0,0.045986151814961976,0.12505349655282286,0.0862341130092451
0.018000000000000002,10.0,1327.5647455415074,0.011372868282951323,0.024599508266553806,0.00017824895784402119,0.0117402173141179,0.0241147615716523,0.00016350901562885219,-0.011451438140492735,0.019360655560044234,0.0003528801927192234,0.010473551841482241,0.024599508266553806,0.00018556723045309577,-0.009658637044022454,0.02382547632854404,0.00038710353161079697,-0.0003154767232177409,0.02382547632854404,0.00028936313876818835,9.935290827968557e-06,0.0241147615716523,0.00028929532226424373,1.3346342566393042e-05,0.018979143308166507,0.00022763982255709315,6.003530920399167e-05,0.0187514659135725,0.00022452307348919335,0.64,0.0,0.046179188682693405,0.12505990132379055,0.08627259207631449
0.02,10.0,1326.6481550022518,0.012775111662960824,0.027674446799873034,0.00019561894220306052,0.013209949892572834,0.02712910676810884,0.00018466667344789128,-0.01284411782410287,0.021780737505049764,0.00039878610774651,0.012084547530516484,0.027674446799873034,0.0002064107395006895,-0.011133007372630455,0.02680366086961205,0.0004375475749636141,-0.0003472157941269159,0.02680366086961205,0.0003254296511139575,1.3880856645356394e-05,0.02712910676810884,0.0003254300577273705,1.864833259438485e-05,0.021351536221687322,0.00025605827854945117,8.385163835086737e-05,0.021095399152769066,0.00025242436612278086,0.7200000000000001,0.0,0.04636753945848593,0.1250664094706421,0.086310192802931
0.022,11.0,1376.0388612422344,0.014580652427622038,0.030749385333192256,0.00021569128404277718,0.014279144856308566,0.030143451964565374,0.00020320202486391047,-0.014227635825741304,0.02420081945005529,0.00044453924728989796,0.013264006796381376,0.030749385333192256,0.00022397805363210925,-0.012203214176713405,0.02978184541068005,0.0004909782333997261,-0.0003566811858942957,0.02978184541068005,0.0003615487344576836,1.8752355673160482e-05,0.030143451964565374,0.0003615548532950402,2.5195731216307252e-05,0.02372392913520813,0.00028446336963136495,0.00011324092328514663,0.023439332391965623,0.0002802657690433771,0.7999999999999999,0.0,0.04657127682231071,0.12507163054184972,0.08634989277031846
0.024,13.0,1698.7898536936045,0.01583782996328982,0.03382432386651148,0.00023092405726667328,0.01589880312306949,0.03315779716102191,0.0002265438276565601,-0.015600519843221378,0.026620901395060816,0.0004901824466496254,0.015112989460378689,0.03382432386651148,0.0002467238048415612,-0.013888502719104284,0.03276002995174805,0.0005395589295415375,-0.0003838805417225544,0.03276002995174805,0.0003974005336517082,2.4647451199628105e-05,0.03315779716102191,0.00039766853766418493,3.312042284261223e-05,0.026096322048728943,0.0003128535158101516,0.00014878358928712657,0.025783265631162185,0.00030804029649452445,0.8799999999999999,0.0,0.04675003818497234,0.125081878690688,0.08638648259562418
0.026000000000000002,9.0,1141.3752133460112,0.01780748441690445,0.036899262399830705,0.0002527371892384906,0.016814688800569706,0.03617214235747845,0.00024328007081290747,-0.016964932518983903,0.02904098334006635,0.0005356980381994527,0.016215969441643233,0.036899262399830705,0.00026143527527342425,-0.014877353467857577,0.03573821449281606,0.0005955206065430441,-0.0003759116320773937,0.03573821449281606,0.0004334651404144634,3.1663867326731524e-05,0.03617214235747845,0.0004337699388753458,4.255453381924453e-05,0.028468714962249758,0.0003412271344728858,0.00019105815131196727,0.02812719887035875,0.0003357409833728595,0.96,0.0,0.046941101367041875,0.12508945592274917,0.08642676699016391
0.028,9.0,1140.3595787763638,0.019426475526917283,0.03997420093314994,0.0002660005981949459,0.01807342533030491,0.039186487553934994,0.0002684615850403835,-0.018311478823914925,0.03146106528507188,0.0005811119736486693,0.017737811219934833,0.03997420093314994,0.0002850987778980805,-0.016248087194877487,0.03871639903388407,0.0006431250300208998,-0.00037514997095737784,0.03871639903388407,0.00046910772799153757,3.989939509649266e-05,0.039186487553934994,0.00046985788423929914,5.3630455789144254e-05,0.030841107875770574,0.00036958264010341594,0.00024064102540474264,0.030471132109555314,0.0003633608874989202,1.04,0.0,0.04711010385710744,0.12510150912075835,0.08646455281886459
0.03,10.0,1316.4219360883765,0.020714117736507505,0.043049139466469155,0.00028347196727462247,0.01967248637265192,0.04220083275039152,0.00028952888904103935,-0.019647420141361838,0.0338811472300774,0.000626311512647908,0.01965591265024919,0.043049139466469155,0.00030373593895841185,-0.01797926988556428,0.04169458357495207,0.0006953120492379548,-0.00038011934738351746,0.04169458357495207,0.0005048368025509134,4.9451898630315225e-05,0.04220083275039152,0.0005059312002635404,6.64808688104975e-05,0.03321350078929138,0.0003979184440020269,0.0002981063408319991,0.03281506534875187,0.0003908930918801656,1.1199999999999999,0.0,0.04727406167823961,0.12510949615244527,0.08650372974203754
0.032,12.0,1499.2977961838853,0.02219033028573793,0.04612407799978838,0.00030491952315937055,0.02107884113880434,0.04521517794684806,0.0003065122988903537,-0.020965072299225992,0.03630122917508294,0.0006713837917973373,0.021367976876316194,0.04612407799978838,0.00031761798419447035,-0.019512528988587515,0.04467276811602008,0.0007518244560190124,-0.00036796352236636405,0.04467276811602008,0.0005406346495608432,6.041932128247098e-05,0.04521517794684806,0.000541988712578613,8.123876420906769e-05,0.0355858937028122,0.00042623295400802044,0.00036402575299705005,0.03515899858794844,0.00041833070696539726,1.2,0.0,0.04742160089896986,0.12511999094365558,0.08654103588702981
0.034,12.0,1397.9214733196914,0.024144490269528925,0.04919901653310761,0.0003241042349684362,0.022009379501104223,0.0482295231433046,0.0003258081840540031,-0.0222664447175338,0.03872131112008847,0.0007162366010317736,0.022585038122889308,0.04919901653310761,0.000333972475881497,-0.02057967579193946,0.04765095265708808,0.0008059617797481071,-0.0003274015868914819,0.04765095265708808,0.0005762269941534533,7.289969180886107e-05,0.0482295231433046,0.0005780292458642656,9.803746714207937e-05,0.03795828661633301,0.00045452457422548735,0.0004389682572059527,0.037502931827145,0.00044566687288977543,1.28,0.0,0.04756833619404488,0.12513124468125372,0.08658216806675945
0.036000000000000004,12.0,1399.6265966545732,0.0257651715610216,0.05227395506642684,0.000337553577562775,0.023272923794357782,0.05124386833976114,0.000350813866063883,-0.023549116621988993,0.041141393065094,0.0007608940533915335,0.02426131780247544,0.05227395506642684,0.0003562670033224504,-0.022063914561357773,0.05062913719815609,0.0008545057558811467,-0.00029305656664524926,0.05062913719815609,0.0006114784654205709,8.699113055214546e-05,0.05124386833976114,0.0006140516237754274,0.00011701065885127842,0.04033067952985383,0.00048279170475254104,0.000523500003350807,0.039846865066341566,0.00047289476170962735,1.36,0.0,0.0476920512702811,0.12514646826427964,0.08662073626742864
0.038,12.0,1397.3685308271265,0.02772897210279682,0.05534889359974607,0.0003550046644646936,0.02419817959016969,0.05425821353621768,0.0003718234769023188,-0.024814626138452426,0.04356147501009953,0.0008053270995850622,0.025629081125366326,0.05534889359974607,0.0003730509095672475,-0.0232537207724605,0.0536073217392241,0.0009080548356069824,-0.0002359411096455494,0.0536073217392241,0.0006468045396704322,0.00010279185564430298,0.05425821353621768,0.0006500546688679864,0.00013829239858295607,0.042703072443374644,0.0005110327414142804,0.000618184111576684,0.04219079830553813,0.0005000075796262478,1.4400000000000002,0.0,0.04781658017583023,0.12516564963597313,0.08666243799602512
0.04,13.0,1528.1237057712272,0.029268362098752446,0.05842383213306528,0.00036833832036322153,0.025537675861892945,0.05727255873267421,0.0003968925497100542,-0.026054364603752884,0.04598155695510505,0.0008495541971226898,0.02753987813915058,0.05842383213306528,0.0003935370120923875,-0.024937201119765294,0.05658550628029209,0.0009580707246330311,-0.00018689715613712794,0.05658550628029209,0.0006818573686792516,0.00012040018922765218,0.05727255873267421,0.0006860372025243588,0.00016201714515290118,0.045075465356895446,0.0005392460754997499,0.0007235804889981331,0.04453473154473468,0.0005269985691978959,1.5199999999999998,0.0,0.047936337636694866,0.12518803128355305,0.08670529815877133
0.042,12.0,1388.7220726237153,0.031183117186538614,0.06149877066638451,0.0003867649028115848,0.02651463284781275,0.06028690392913075,0.00041699073680685365,-0.02727872814407728,0.04840163890011058,0.0008934720420463617,0.0290987280427041,0.06149877066638451,0.00040750671032680716,-0.026284964112672348,0.0595636908213601,0.0010140107032935047,-0.00011225251940709685,0.0595636908213601,0.0007170070557299667,0.00013991456369532855,0.06028690392913075,0.0007219980448788371,0.00018831977813443286,0.04744785827041626,0.0005674300935031604,0.0008402456475308392,0.04687866478393125,0.0005538610115391973,1.5999999999999999,0.0,0.048052118181615824,0.12521208317557397,0.08674980626778643
0.044,12.0,1390.6081486796422,0.03263106949022069,0.06457370919970375,0.0004006871041579816,0.02794448192158276,0.0633012491255873,0.0004414393953332946,-0.028473252868400772,0.05082172084511611,0.0009372053878703206,0.03122804626594577,0.06457370919970375,0.00042569977388399576,-0.02815069181412048,0.06254187536242811,0.0010659220737012057,-4.549898087169931e-05,0.06254187536242811,0.0007518495345820225,0.00016143352795217663,0.0633012491255873,0.0007579360147427035,0.00021733561864786688,0.04982025118393708,0.0005955831768696318,0.0009687325229035877,0.04922259802312781,0.0005805882285071636,1.68,0.0,0.04814851542498082,0.12524016665958154,0.08679225615325505
0.046,11.0,1226.7199995144745,0.03428294029307729,0.06764864773302295,0.0004202109389136272,0.029179433156609726,0.06631559432204381,0.0004604533488055326,-0.029648315597242847,0.05324180279012163,0.0009805806679022689,0.033180743015285716,0.06764864773302295,0.00043704721760492614,-0.029841934595834386,0.0655200599034961,0.001124049020611399,4.155578776237716e-05,0.0655200599034961,0.0007867867066124136,0.00018505575369697687,0.06631559432204381,0.0007938499295290998,0.00024920044972998067,0.052192644097457885,0.0006237037017457202,0.001109590294915273,0.05156653126232437,0.0006071735848730494,1.7599999999999998,0.0,0.04825698635308919,0.1252677265205401,0.08683762316957723
0.048,12.0,1380.5640255614267,0.03625468647273639,0.07072358626634219,0.0004372877516791788,0.030101741691424173,0.06932993951850036,0.0004818060763426876,-0.03080194087598128,0.05566188473512717,0.0010237224039884403,0.034823362086145684,0.07072358626634219,0.0004505141190126777,-0.031234489307392685,0.06849824444456412,0.001180082148484782,0.00015440869768981323,0.06849824444456412,0.0008214802638816208,0.00021088004172688593,0.06932993951850036,0.0008297386051776405,0.0002840505362622671,0.0545650370109787,0.0006517900387349847,0.0012633642090012212,0.053910464501520934,0.0006336104904792679,1.8399999999999999,0.0,0.04835386707798086,0.125296558856879,0.0868830578303947
0.05,12.0,1379.0726152515738,0.03847269096393289,0.07379852479966141,0.0004505260599231002,0.03078112387984369,0.0723442847149569,0.0005069105162823927,-0.031931103021107674,0.0580819666801327,0.0010666068906733676,0.03623405495414016,0.07379852479966141,0.00046770195256218874,-0.032400171439759845,0.07147642898563213,0.0012325310195162977,0.00029075522579614173,0.07147642898563213,0.0008558642434553077,0.0002390053282649263,0.0723442847149569,0.0008656008560787602,0.00032202264443700234,0.056937429924499516,0.000679840552658847,0.001430595399172628,0.0562543977407175,0.0006598924023805953,1.92,0.0,0.04844894502907918,0.125325030765246,0.08692968067167277
0.052000000000000005,12.0,1379.868710523453,0.04013732217968069,0.07687346333298065,0.0004608092684285731,0.031998836012370246,0.07535862991141344,0.0005349300723788371,-0.03302554594168288,0.06050204862513823,0.001109197819754951,0.03828899237060661,0.07687346333298065,0.00048767290054608587,-0.03414982155585855,0.07445461352670013,0.0012822574195975197,0.00041878635332057623,0.07445461352670013,0.0008899662996108479,0.00026953069131131584,0.07535862991141344,0.0009014354949977821,0.0003632540607404005,0.05930982283802033,0.000707853602323,0.0016118207123923972,0.058598330979914064,0.0006860128269688973,2.0,0.0,0.04852194105372584,0.12535640262473835,0.08697446879794021
