t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_sigma,input_sigma_diff,object_gui_cylinder_x,object_gui_cylinder_y,object_gui_cylinder_z
0.0,19.0,2939.013357842709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.125,0.09
0.002,19.0,2837.7447572936535,0.00046050301486258216,0.0,0.0,0.0009498096844284287,0.0,0.0,-0.0007051563496455053,0.0,0.0,0.00026888644789153444,0.0,0.0,0.00016719157104310234,0.0,0.0,-0.00021803900946731837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04501874685554062,0.1250020526526177,0.09000990952811669
0.004,16.0,2694.9789231466643,0.0016965591244557188,0.0030749385333192257,3.1373226221479726e-05,0.003078991600267282,0.0030143451964565375,2.4774426144337307e-05,-0.0023873065766173026,0.0024200819450055293,3.750285953581242e-05,0.0012871311632270874,0.0030749385333192257,3.3672625025132296e-05,0.0003924395352943742,0.002978184541068005,3.373191564029884e-05,-0.0008393059157281505,0.002978184541068005,3.8354682606423885e-05,4.86942905939452e-08,0.0030143451964565375,3.617214235747845e-05,6.539045014651205e-08,0.0023723929135208133,2.846871496224976e-05,2.9454761550925593e-07,0.0023439332391965626,2.8127198870358753e-05,0.08,0.0,0.045074228386991266,0.12500196443548556,0.09003611348747773
0.006,14.0,2559.3209883912264,0.0029982815482335577,0.0061498770666384515,5.34398153061928e-05,0.005781073266055507,0.006028690392913075,3.5396385511749515e-05,-0.004387186929341945,0.0048401638900110585,8.672964559954033e-05,0.0035046355576899358,0.0061498770666384515,5.835295084093637e-05,-1.893213574217389e-05,0.00595636908213601,6.676715456209963e-05,-0.0017403940591264604,0.00595636908213601,8.154809997436993e-05,2.434729687203417e-07,0.006028690392913075,7.234370038346978e-05,3.269583836062276e-07,0.004744785827041627,5.693664523909776e-05,1.4726900710918112e-06,0.004687866478393125,5.625086316933139e-05,0.16,0.0,0.04516040686432325,0.12500236875514295,0.09007748099057578
0.008,12.0,2099.9103585658763,0.0046190756465182845,0.009224815599957676,7.471840862068942e-05,0.008006807086330357,0.009043035589369612,3.914354787976926e-05,-0.006305597961078696,0.007260245835016587,0.00013976919317230238,0.005368796725683332,0.009224815599957676,6.864216050721289e-05,0.00030638574073664325,0.008934553623204016,0.00010744182910735428,-0.002830534769645698,0.008934553623204016,0.0001280993721879657,6.817321944796491e-07,0.009043035589369612,0.0001085135053968107,9.155153621189954e-07,0.0071171787405624395,8.540222138614601e-05,4.123282574075817e-06,0.007031799717589687,8.436392433022314e-05,0.24,0.0,0.045270302759061465,0.12500438265678784,0.0901263940566426
0.01,12.0,2106.7361010234176,0.006829426183432144,0.012299754133276903,9.216814184110343e-05,0.009314046829166802,0.01205738078582615,4.8606884393949515e-05,-0.008055395169634993,0.009680327780022117,0.00019183110889320977,0.0066560429646830704,0.012299754133276903,8.317148889112285e-05,0.0016342489396771458,0.01191273816427202,0.00013927622908242452,-0.004129677943806512,0.01191273816427202,0.00017691927520701263,1.4608802550935865e-06,0.01205738078582615,0.00014468038864358005,1.9619219899641613e-06,0.009489571654083253,0.00011386387366465362,8.834796340225923e-06,0.00937573295678625,0.0001124593160905461,0.32,0.0,0.04541760557565138,0.12500728005498574,0.09017393466966139
0.012,13.0,2166.4274672285765,0.008122954498680638,0.015374692666596128,0.00010254319779796781,0.01200507879347528,0.015071725982282687,6.909214983739062e-05,-0.010033256118499258,0.012100409725027645,0.00024186965873595166,0.008534920352437364,0.015374692666596128,0.0001046237964229567,0.0028694507662506905,0.014890922705340025,0.00015908008518795454,-0.0056732414251236644,0.014890922705340025,0.00022824720778975846,2.678343630777425e-06,0.015071725982282687,0.00018084318122433114,3.5971123928748397e-06,0.011861964567604065,0.00014232003174736923,1.6195126722386538e-05,0.011719666195982812,0.00014052997679571104,0.39999999999999997,0.0,0.04555599241019169,0.12501461032454286,0.09020943025898882
0.014,14.0,2599.6672188524353,0.009774922547330362,0.018449631199915353,0.00012392012041481657,0.01429859905346794,0.018086071178739224,7.297190862316734e-05,-0.01198487464900375,0.014520491670033175,0.0002946449734623892,0.010041745700645472,0.018449631199915353,0.00011897653016973587,0.004592847479559042,0.01786910724640803,0.0001799958777618881,-0.007268491887637027,0.01786910724640803,0.00028250818405838035,4.4315730637981755e-06,0.018086071178739224,0.00021700071402130133,5.952118638546613e-06,0.014234357481124879,0.00017076912442478404,2.6791401510713086e-05,0.014063599435179375,0.00016856885170148388,0.48,0.0,0.04572178697465593,0.12502083452228324,0.09025348014372465
0.016,11.0,2074.9908526471318,0.011199177590416474,0.021524569733234578,0.0001409957662308506,0.016784922323081597,0.02110041637519576,8.162180786073383e-05,-0.01391101630212905,0.0169405736150387,0.0003471053791685094,0.011806083868906447,0.021524569733234578,0.00013779388839106927,0.006066768336002976,0.020847291787476036,0.00019505333169500392,-0.008860012111892615,0.020847291787476036,0.00033738940410135677,6.818049631987154e-06,0.02110041637519576,0.0002531518176255836,9.15809507541237e-06,0.01660675039464569,0.00019920957931208574,4.1209789473056866e-05,0.016407532674375936,0.0001965688952743827,0.5599999999999999,0.0,0.04588545713264124,0.12502689176644904,0.09029262106253313
0.018000000000000002,14.0,2387.6969936562655,0.012902273311958288,0.024599508266553806,0.00016080396811364798,0.018849268484920953,0.0241147615716523,8.795807098284844e-05,-0.015756260172576114,0.019360655560044234,0.0003992600623460794,0.013358922382168006,0.024599508266553806,0.00015352109277176832,0.0077471920536086765,0.02382547632854404,0.00021310449591049278,-0.010439913748412048,0.02382547632854404,0.0003922258612852399,9.935290827968555e-06,0.0241147615716523,0.00028929532226424373,1.3346342566393044e-05,0.018979143308166507,0.00022763982255709315,6.003530920399167e-05,0.0187514659135725,0.00022452307348919335,0.64,0.0,0.04606581650704023,0.12503222812264647,0.09033714053579207
0.02,11.0,2071.901813159527,0.01458134534918904,0.027674446799873034,0.00017726608185497696,0.020985571670902477,0.02712910676810884,9.935805939825465e-05,-0.017614849412507766,0.021780737505049764,0.0004504439721315105,0.014949598966397654,0.027674446799873034,0.00017178629301246035,0.00938641414371191,0.02680366086961205,0.00022867762579204047,-0.012007644247205523,0.02680366086961205,0.00044692289541628917,1.3880856645356392e-05,0.02712910676810884,0.0003254300577273705,1.8648332594384852e-05,0.021351536221687322,0.00025605827854945117,8.385163835086737e-05,0.021095399152769066,0.00025242436612278086,0.7200000000000001,0.0,0.0462444103861613,0.12503724603703936,0.0903782942223169
