t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_sigma_close,input_sigma_adapt,object_scanned_mug_x,object_scanned_mug_y,object_scanned_mug_z
0.0,6.0,0.12770810138961639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.125,0.0785
0.002,6.0,0.12260707194621902,-1.670952129949882e-05,0.0,0.0,1.5475932478628086e-05,0.0,0.0,6.167944104353668e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04499972519194145,0.12500002524276044,0.07850036312160336
0.004,7.0,0.14127533885726729,-6.694137818384423e-05,0.0024599508266553807,1.4859962087729279e-05,6.206512804901552e-05,0.00241147615716523,1.4376001348119612e-05,2.5832837245339032e-06,0.0019360655560044233,1.1612692569563929e-05,5.510445685080853e-09,0.0024599508266553807,1.4759704959932284e-05,4.972008883673787e-08,0.0023825476328544043,1.4295285797126426e-05,1.51075805203171e-07,0.0023825476328544043,1.4295285797126426e-05,1.947771623757808e-08,0.00241147615716523,1.4468856942991381e-05,2.615618005860481e-08,0.0018979143308166507,1.1387485984899904e-05,1.1781904620370236e-07,0.0018751465913572501,1.1250879548143501e-05,0.064,0.0,0.044998854507250295,0.1250001902966101,0.07850162710582911
0.006,7.0,0.11202811841943981,-0.00014728459706343674,0.004919901653310761,2.9921058188967635e-05,0.0001367384907033091,0.00482295231433046,2.8565323117688667e-05,5.99874523854377e-06,0.0038721311120088467,2.3217286969705877e-05,2.7553765277294428e-08,0.004919901653310761,2.951937685719046e-05,2.4860020895467194e-07,0.004765095265708809,2.859027327371983e-05,7.553670445190284e-07,0.004765095265708809,2.8589665139421633e-05,9.738888433801322e-08,0.00482295231433046,2.8937597019685338e-05,1.3078212686775783e-07,0.0037958286616333013,2.2774815032719455e-05,5.890856297276181e-07,0.0037502931827145002,2.2501052182009778e-05,0.128,0.0,0.04499744195332012,0.12500030132486073,0.07850376399943376
0.008,6.0,0.08546051955147607,-0.00025191974776959806,0.0073798524799661425,4.516282246217748e-05,0.00023423361326425476,0.007234428471495691,4.2586139884754295e-05,1.0874673643841435e-05,0.00580819666801327,3.481318753664836e-05,7.715853433304388e-08,0.0073798524799661425,4.427894955720519e-05,6.960793616851203e-07,0.007147642898563213,4.288436579012554e-05,2.1149654219035333e-06,0.007147642898563213,4.288132518911216e-05,2.7269045254302333e-07,0.007234428471495691,4.3405986495668115e-05,3.6619633312618813e-07,0.005693742992449952,3.416167326193851e-05,1.6493898373828817e-06,0.005625439774071751,3.374910413065214e-05,0.192,0.0,0.04499556138655423,0.12500033702859575,0.07850667057119572
0.01,6.0,0.06295828933712756,-0.0003751448324777716,0.009839803306621523,6.0550338326346723e-05,0.000349394575352787,0.00964590462866092,5.647002609238e-05,1.7227818196838077e-05,0.007744262224017693,4.640032530224311e-05,1.6536562271139953e-07,0.009839803306621523,5.903835688852314e-05,1.4915946651477906e-06,0.009530190531417617,5.717696671233559e-05,4.5318667965742045e-06,0.009530190531417617,5.716845339597429e-05,5.843417944069386e-07,0.00964590462866092,5.787379162925026e-05,7.847271020854829e-07,0.007591657323266603,4.554774676160086e-05,3.5342449516607828e-06,0.0075005863654290005,4.499362185354971e-05,0.256,0.0,0.04499333428793952,0.12500032023083374,0.07851016649380667
0.012,5.0,0.0439642576752467,-0.0005121452123745577,0.012299754133276903,7.604939379452805e-05,0.0004778855099496504,0.01205738078582615,7.024791726284018e-05,2.5108360653390366e-05,0.009680327780022117,5.7978599770951674e-05,3.032343406639737e-07,0.012299754133276903,7.379753260592515e-05,2.7345804097876636e-06,0.01191273816427202,7.146747941764123e-05,8.307923275629503e-06,0.01191273816427202,7.144923778485268e-05,1.0713059216842084e-06,0.01205738078582615,7.234077866419046e-05,1.4387174485906592e-06,0.009489571654083253,5.693272156188701e-05,6.479049061016033e-06,0.00937573295678625,5.623319227100754e-05,0.32,0.0,0.04499086513392544,0.12500026355365745,0.07851410472654309
0.014,5.0,0.028329547930737727,-0.0006588723735366135,0.014759704959932285,9.163110103384106e-05,0.0006160787578715289,0.014468856942991382,8.394582859825038e-05,3.4595215950359825e-05,0.01161639333602654,6.954770985223891e-05,5.018485834608306e-07,0.014759704959932285,8.855641035354973e-05,4.524467109971317e-06,0.014295285797126425,8.575530730029983e-05,1.374479532734024e-05,0.014295285797126425,8.572186724310476e-05,1.7725506975356873e-06,0.014468856942991382,8.680671382241819e-05,2.38052999427895e-06,0.011387485984899904,6.831628360470788e-05,1.0719046687311401e-05,0.011250879548143501,6.746640299449492e-05,0.384,0.0,0.04498824396459601,0.12500017749248227,0.07851836113741083
0.016,5.0,0.016117175260616175,-0.0008119386963101179,0.017219655786587663,0.00010727116896074566,0.0007609577754113211,0.01688033310015661,9.758552605371049e-05,4.579195339295571e-05,0.013552458892030963,8.110718205648361e-05,7.723229739670273e-07,0.017219655786587663,0.00010331492362802523,6.9606805500677254e-06,0.01667783342998083,0.00010003985377722514,2.114390392337775e-05,0.01667783342998083,9.998453180792093e-05,2.7270500501809385e-06,0.01688033310015661,0.00010127136329675444,3.662551854601768e-06,0.013285400315716555,7.969811871433366e-05,1.6489290437284815e-05,0.01312602613950075,7.869184255688064e-05,0.448,0.0,0.04498554702766154,0.1250000705506964,0.07852283192171906
0.018000000000000002,5.0,0.008260959700021568,-0.0009685258156843768,0.019679606613243045,0.00012294927185731898,0.0009100325701286982,0.01929180925732184,0.00011118510889146312,5.882324525994071e-05,0.015488524448035387,9.265639496785458e-05,1.1258090025845227e-06,0.019679606613243045,0.00011807300574161448,1.0142640823440023e-05,0.019060381062835235,0.000114320522293711,3.080638271823906e-05,0.019060381062835235,0.00011423542295347114,3.973785187123465e-06,0.01929180925732184,0.00011573449324362997,5.3371995153366934e-06,0.015183314646533205,9.107791256807163e-05,2.40246026848961e-05,0.015001172730858001,8.99081006425243e-05,0.512,0.0,0.04498283682699313,0.12499994950699288,0.0785274307823211
