t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma,input_sigma_diff,object_horizontal_cylinder_x,object_horizontal_cylinder_y,object_horizontal_cylinder_z
0.0,23.0,84.17335811673776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.158,0.086
0.002,20.0,67.26846435906481,-0.00013095067325069254,0.0,0.0,0.00010037628696103027,0.0,0.0,1.5287193144831137e-05,0.0,0.0,-0.00013166371424953112,0.0,0.0,0.00010092284702344812,0.0,0.0,1.5370433613041147e-05,0.0,0.0,-0.000125952857681232,0.0,0.0,9.654536225453749e-05,0.0,0.0,1.4703747713347082e-05,0.0,0.0,-0.00011904817852104185,0.0,0.0,9.125278880350004e-05,0.0,0.0,1.3897694858770785e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07499999873545074,0.15802284048003196,0.08608178219447149
0.004,21.0,53.59216245471555,-0.0004946271710702857,0.0033495308339500764,2.0882889043204612e-05,0.00037917173214905707,0.0013024378881797834,7.212369607312519e-06,5.78223308691992e-05,0.0012767726409411615,7.568912686777982e-06,-0.0005101367800271365,0.003283526506398717,2.0491141323889488e-05,0.0003910446715018585,0.0012614562347336526,6.963200326261227e-06,5.96783700215115e-05,0.0017795805519254507,1.0585260709874458e-05,-0.0004727083753801394,0.003244136701078288,2.022053735255712e-05,0.0003623822876359919,0.001744512948886014,9.887805519788859e-06,5.529120999910232e-05,0.0017235854414327683,1.0253290162316529e-05,-0.0004445121958414509,0.0017275799793750716,1.1079768947376681e-05,0.0003408095219102475,0.003211928775964732,1.872405592296739e-05,5.20864423363747e-05,0.0031486359718347874,1.88084296618561e-05,2.0374870592335257e-09,0.0016935370759110751,1.0161222455466452e-05,4.664952574684446e-09,0.0016732210846763249,1.003932650805795e-05,2.2996360559998978e-07,0.0031108643388926497,1.8665186033355897e-05,0.075,0.0,0.07499988828449361,0.15808675683164788,0.08631330628466008
0.006,18.0,35.838569775171955,-0.0010300120292719246,0.006699061667900153,4.316213303382263e-05,0.0007896669210263186,0.002604875776359567,1.3354224265263057e-05,0.00012064356756988333,0.002553545281882323,1.4974337706078743e-05,-0.0010779695085221595,0.006567053012797434,4.246313875694742e-05,0.0008263493360310269,0.0025229124694673053,1.2791206787792681e-05,0.00012646949472722228,0.0035591611038509013,2.099689640297634e-05,-0.0010000570462644436,0.006488273402156576,4.17658906652203e-05,0.0007667650138866557,0.003489025897772028,1.8759861660816216e-05,0.00011728490554544517,0.0034471708828655366,2.0351278037198606e-05,-0.0009589821682109208,0.0034551599587501433,2.3398032927549564e-05,0.0007354816690425863,0.006423857551929464,3.64982881801153e-05,0.00011292395460908658,0.006297271943669575,3.74711130079992e-05,1.0188644743097885e-08,0.0033870741518221502,2.0322432686010545e-05,2.3329667536139448e-08,0.0033464421693526498,2.007862502640045e-05,1.1497977236747048e-06,0.006221728677785299,3.73289922850782e-05,0.15,0.0,0.07499980923193064,0.1581834266211729,0.08666201434881249
0.008,22.0,25.718722204285463,-0.0016916493966559428,0.010048592501850228,6.647162718673291e-05,0.0012970555688601735,0.00390731366453935,1.8705880461078185e-05,0.0001986097341814306,0.0038303179228234845,2.225804613152161e-05,-0.0017836289234678102,0.00985057951919615,6.557129416630985e-05,0.001367339641809235,0.0037843687042009577,1.7748116209019587e-05,0.00020998452365084285,0.005338741655776352,3.127363296629478e-05,-0.001668228138149911,0.009732410103234864,6.439480289699584e-05,0.0012792690662056367,0.005233538846658042,2.6800642996628317e-05,0.0001962625498900823,0.005170756324298305,3.0320828512517156e-05,-0.0016337696814879084,0.005182739938125214,3.685033263801681e-05,0.0012534206638614065,0.009635786327894195,5.340182795310965e-05,0.0001934551762019837,0.009445907915504361,5.599790376537165e-05,2.8534494412370567e-08,0.005080611227733225,3.0483606234530894e-05,6.53485725454943e-08,0.005019663254028975,3.011783954616863e-05,3.219328045717814e-06,0.009332593016677949,5.598865931372565e-05,0.22499999999999998,0.0,0.07499982795514012,0.1583027534105391,0.08709476225612225
0.01,22.0,15.135382730927361,-0.002457317649404684,0.013398123335800306,9.053863639473749e-05,0.0018843297161629275,0.005209751552719134,2.347617590315376e-05,0.0002892949553797526,0.005107090563764646,2.9450884977499293e-05,-0.0025926504095950213,0.013134106025594868,8.950640969437607e-05,0.0019875893760990192,0.005045824938934611,2.2070911782752253e-05,0.00030645991964783816,0.007118322207701803,4.145002610430576e-05,-0.0024493860917253986,0.012976546804313153,8.786864965477838e-05,0.0018786064664402106,0.006978051795544056,3.419269637603052e-05,0.0002891983174195279,0.006894341765731073,4.0188475295045944e-05,-0.0024187295544421477,0.0069103199175002865,5.1264537593929174e-05,0.0018563178096597495,0.012847715103858928,6.956576663998513e-05,0.00028822355759414755,0.01259454388733915,7.4406532266823e-05,6.1165733056867e-08,0.0067741483036443005,4.064471861489933e-05,1.4011532695293922e-07,0.0066928843387052996,4.0156913940796524e-05,6.898217842060204e-06,0.012443457355570599,7.464142816514928e-05,0.3,0.0,0.07499991226655602,0.15843742154343612,0.08758771348984329
0.012,22.0,7.247909496055575,-0.0032961833086955113,0.01674765416975038,0.00011522983091493038,0.0025278716178849868,0.006512189440898916,2.7767158348415933e-05,0.000389270231320383,0.006383863204705807,3.656740949595633e-05,-0.0034707164869225106,0.016417632531993583,0.00011406169764953161,0.0026607760963769976,0.006307281173668263,2.5918150785415463e-05,0.0004121516017901775,0.008897902759627253,5.154865703987648e-05,-0.003307286007938102,0.01622068350539144,0.00011202041758270104,0.002537033801283148,0.008722564744430068,4.1063749667939145e-05,0.00039208710957131855,0.00861792720716384,4.9972373338465884e-05,-0.0032741020534035785,0.008637899896875358,6.633977670790504e-05,0.0025138149312940233,0.016059643879823657,8.521995642098345e-05,0.00039298746744789574,0.015743179859173936,9.272973780947874e-05,1.1218757122086975e-07,0.008467685379555374,5.0805745282933904e-05,2.5708242601667737e-07,0.008366105423381624,5.019579184832802e-05,1.264588677912565e-05,0.015554321694463247,9.328454085972712e-05,0.37499999999999994,0.0,0.07499998346180202,0.15857986149903552,0.08811626517525006
0.014,22.0,1.0284565877005445,-0.004174455808146623,0.020097185003700457,0.00014036020987437582,0.003201790241597305,0.0078146273290787,3.172053426716227e-05,0.0004947630113857999,0.007660635845646969,4.362819368595952e-05,-0.004382298904123947,0.0197011590383923,0.00013903125315188887,0.003359642875020192,0.0075687374084019154,2.9447767872149506e-05,0.0005231756827781132,0.010677483311552704,6.159199025857516e-05,-0.004204052957038177,0.019464820206469727,0.00013663263728644698,0.003225551119980534,0.010467077693316083,4.758026335219761e-05,0.0005007352878217285,0.01034151264859661,5.969655323415175e-05,-0.00416752236574061,0.010365479876250428,8.183749157792405e-05,0.0032012154640398503,0.01927157265578839,0.0001005465463469662,0.0005043701122835533,0.018891815831008723,0.00011099297018136496,1.8572457108119352e-07,0.01016122245546645,6.096666160737138e-05,4.257807890887484e-07,0.01003932650805795,6.0234416553791595e-05,2.0921429775078615e-05,0.018665186033355898,0.00011191524087946064,0.44999999999999996,0.0,0.07500004216451296,0.15872586614232076,0.08866513650999307
0.016,21.0,0.09065490752217284,-0.005065783231328889,0.023446715837650532,0.00016572702987478294,0.003885892245769876,0.009117065217258483,3.549164985396707e-05,0.0006028701139183824,0.00893740848658813,5.0655872851213984e-05,-0.005301311821923917,0.022984685544791016,0.0001642019066934898,0.004064166819628252,0.008830193643135567,3.2823304608692254e-05,0.000636751372574668,0.012457063863478153,7.160332908420024e-05,-0.005112141449662891,0.022708956907548015,0.00016147805918751717,0.003923071901939927,0.012211590642202095,5.391623713332937e-05,0.0006121560403290468,0.012065098090029376,6.938617681324589e-05,-0.005074270343871421,0.012093059855625499,9.756349332819665e-05,0.0038996786084928335,0.02248350143175312,0.0001156937158062796,0.0006198879024165809,0.02204045180284351,0.00012921649014335974,2.8592548473820784e-07,0.011854759531377523,7.112744284083865e-05,6.558393253590557e-07,0.011712547592734273,7.027273087167111e-05,3.218353590921288e-05,0.021776050372248546,0.0001305307736548408,0.5249999999999999,0.0,0.07500010182143804,0.15887098250566706,0.0892191580635737
0.018000000000000002,22.0,0.0,-0.005957210962823582,0.02679624667160061,0.00019117217941757702,0.004570251664649391,0.010419503105438268,3.920166515801035e-05,0.000712252709990368,0.010214181127529292,5.766786608166546e-05,-0.006218733292592011,0.026268212051189736,0.00018941714323868192,0.004767403406371177,0.010091649877869221,3.616489834944582e-05,0.0007520900513296163,0.014236644415403605,8.159935825697362e-05,-0.006019774124580511,0.025953093608626306,0.00018639141034973517,0.004620594375613828,0.013956103591088112,6.0198190134889104e-05,0.0007252036048975647,0.013788683531462146,7.90591649467986e-05,-0.005982530438519123,0.013820639835000573,0.00011336946107323197,0.00460025332118142,0.025695430207717855,0.00013077450959535014,0.0007385638628074648,0.0251890877746783,0.0001474151992335703,4.1696809277932587e-07,0.013548296607288601,8.128806409082318e-05,9.570044707540252e-07,0.013385768677410599,8.031067702851144e-05,4.689040740042068e-05,0.024886914711141198,0.0001491283870513919,0.6,0.0,0.0750001590555108,0.15901536054841664,0.08977380725499923
