t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma,input_sigma_diff,object_horizontal_cylinder_x,object_horizontal_cylinder_y,object_horizontal_cylinder_z
0.0,29.0,2463.5500087716805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.135,0.082
0.002,25.0,2361.032734017311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004505725044615995,0.0,0.0,1.518588809529639e-06,0.0,0.0,0.00046700463375265786,0.0,0.0,-0.000642974413612137,0.0,0.0,6.625696601525733e-05,0.0,0.0,0.0006338273394211708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0750173027524346,0.13500197886632362,0.08205723888009073
0.004,23.0,1990.8154771335464,9.383250138968751e-08,0.0033495308339500764,2.009718500370046e-05,-3.682042479865726e-08,0.0013024378881797834,7.8146273290787e-06,6.725190977507198e-08,0.0012767726409411615,7.660635845646969e-06,-0.0007956682613329867,0.003283526506398717,2.2404594065161898e-05,-0.00036757739424217613,0.0012614562347336526,7.559625875544738e-06,0.0014851325693995125,0.0017795805519254507,7.875455509036757e-06,-0.0011322079724570301,0.003244136701078288,2.332266668814255e-05,-0.00042003836391065033,0.001744512948886014,1.006953589722454e-05,0.0018021888533757188,0.0017235854414327683,6.538548612069586e-06,-4.6955930163777425e-08,0.0017275799793750716,1.036547987625043e-05,1.225623847095389e-07,0.003211928775964732,1.9271572655788392e-05,1.9834447061472826e-07,0.0031486359718347874,1.8891815831008726e-05,2.037487059233526e-09,0.0016935370759110751,1.0161222455466452e-05,4.6649525746844464e-09,0.0016732210846763249,1.003932650805795e-05,2.2996360559998978e-07,0.0031108643388926497,1.8665186033355897e-05,0.075,0.0,0.07499789977744567,0.1350039563752129,0.08221379016488972
0.006,22.0,2071.230417993571,4.6915764069566553e-07,0.006699061667900153,4.019380701239258e-05,-1.840946698763756e-07,0.002604875776359567,1.5629475580706193e-05,3.362532110500575e-07,0.002553545281882323,1.532086817983529e-05,-0.0002721380921091314,0.006567053012797434,4.4176327644782526e-05,-0.0011738786521075155,0.0025229124694673053,1.734293918225689e-05,0.002367126918986001,0.0035591611038509013,1.2444171206708334e-05,-0.00027509434967899055,0.006488273402156576,4.572288824768164e-05,-0.001935572348788184,0.003489025897772028,2.345438557009607e-05,0.0028163222343051283,0.0034471708828655366,9.869892176938908e-06,-2.3477266038020076e-07,0.0034551599587501433,2.0731241488081842e-05,6.128053287541946e-07,0.006423857551929464,3.854240993726852e-05,9.91707279415752e-07,0.006297271943669575,3.778244159519376e-05,1.0188644743097904e-08,0.0033870741518221502,2.0322432686010545e-05,2.3329667536139527e-08,0.0033464421693526498,2.007862502640045e-05,1.1497977236747048e-06,0.006221728677785299,3.73289922850782e-05,0.15,0.0,0.07498311224306835,0.13500439226067862,0.08244897613243242
0.008,21.0,1923.977129306426,1.3136160898527335e-06,0.010048592501850228,6.02887400652572e-05,-5.154263151288666e-07,0.00390731366453935,2.3444986555255357e-05,9.41476034955758e-07,0.0038303179228234845,2.297989001767461e-05,0.0008924184272596949,0.00985057951919615,6.0736305667831686e-05,-0.0024120417242523688,0.0037843687042009577,2.9749484137850838e-05,0.0031441652749070246,0.005338741655776352,1.7829688420742106e-05,0.002452167021409516,0.009732410103234864,6.004502671748313e-05,-0.005183314886030763,0.005233538846658042,4.301466717267735e-05,0.0037594832672073245,0.005170756324298305,1.4126604539959059e-05,-6.573270993716081e-07,0.005182739938125214,3.109784826471357e-05,1.7158206279866118e-06,0.009635786327894195,5.7811041135392645e-05,2.7767020005671797e-06,0.009445907915504361,5.6669497249349676e-05,2.853449441237059e-08,0.005080611227733225,3.0483606234530894e-05,6.534857254549441e-08,0.005019663254028975,3.011783954616863e-05,3.219328045717814e-06,0.009332593016677949,5.598865931372565e-05,0.22499999999999998,0.0,0.07497196079483852,0.1350041245147068,0.08275536336279977
0.01,22.0,1904.6361763919385,2.8148095937084627e-06,0.013398123335800306,8.038085831826272e-05,-1.10435931369709e-06,0.005209751552719134,3.1261601874205576e-05,2.0173418149706536e-06,0.005107090563764646,3.0636894526378144e-05,0.0026200906252877377,0.013134106025594868,7.345012559001103e-05,-0.003994542834980335,0.005045824938934611,4.474719997912188e-05,0.003810327057177266,0.007118322207701803,2.3844941596768672e-05,0.007037078295339829,0.012976546804313153,6.314627869742182e-05,-0.010142057236361456,0.006978051795544056,7.296820008944891e-05,0.004625951215858738,0.006894341765731073,1.8809150991142494e-05,-1.4084402364682686e-06,0.0069103199175002865,4.146586346759795e-05,3.6766473227188214e-06,0.012847715103858928,7.707599569938564e-05,5.949821627538603e-06,0.01259454388733915,7.55506031120315e-05,6.116573305686703e-08,0.0067741483036443005,4.064471861489933e-05,1.4011532695293936e-07,0.0066928843387052996,4.0156913940796524e-05,6.898217842060203e-06,0.012443457355570599,7.464142816514928e-05,0.3,0.0,0.07492540730745983,0.1350042761357534,0.08312947822076983
0.012,24.0,2095.3053035645635,5.1602815125588345e-06,0.01674765416975038,0.00010046903616094004,-2.0243481913916844e-06,0.006512189440898916,3.907976280127568e-05,3.6981959483479532e-06,0.006383863204705807,3.829107517734502e-05,0.004308099421834523,0.016417632531993583,8.278525144023508e-05,-0.005568374865155829,0.006307281173668263,6.181094405189158e-05,0.004489189615370327,0.008897902759627253,3.052545421469992e-05,0.013988545657332745,0.01622068350539144,5.510163126030966e-05,-0.01732720795418513,0.008722564744430068,0.00011318773188474913,0.00541711947386652,0.00861792720716384,2.395185594783062e-05,-2.581849190440821e-06,0.008637899896875358,5.183585002267096e-05,6.74024532576681e-06,0.016059643879823657,9.633580339500564e-05,1.0907378300506456e-05,0.015743179859173936,9.442338022527839e-05,1.1218757122086972e-07,0.008467685379555374,5.0805745282933904e-05,2.5708242601667737e-07,0.008366105423381624,5.019579184832802e-05,1.2645886779125647e-05,0.015554321694463247,9.328454085972712e-05,0.37499999999999994,0.0,0.07490748191387671,0.13500454201152529,0.08357787990141691
0.014,24.0,1613.104224908332,8.537497373068177e-06,0.020097185003700457,0.00012055214833312738,-3.34872826377285e-06,0.0078146273290787,4.689991006362055e-05,6.1182824716832625e-06,0.007660635845646969,4.594162589819173e-05,0.005278785797757366,0.0197011590383923,9.235835769934666e-05,-0.006401723285100564,0.0075687374084019154,7.882267364134648e-05,0.005150137078084531,0.010677483311552704,3.712976217709426e-05,0.023222409227166375,0.019464820206469727,3.2857647294821897e-05,-0.026410612338330447,0.010467077693316083,0.0001667657138850073,0.006008914346054661,0.01034151264859661,2.9546359048380533e-05,-4.271179270094766e-06,0.010365479876250428,6.220837035264522e-05,1.1151469058514515e-05,0.01927157265578839,0.00011558899446277574,1.8045443058234243e-05,0.018891815831008723,0.0001132854507162493,1.8572457108119344e-07,0.01016122245546645,6.096666160737138e-05,4.2578078908874824e-07,0.01003932650805795,6.0234416553791595e-05,2.0921429775078608e-05,0.018665186033355898,0.00011191524087946064,0.44999999999999996,0.0,0.07486395615353673,0.13500485974212043,0.08408170089688682
0.016,17.0,957.4215077634167,1.3133825430925247e-05,0.023446715837650532,0.00014062907004166477,-5.150685877943236e-06,0.009117065217258483,5.472248367313353e-05,9.411718756275448e-06,0.00893740848658813,5.3587741224698685e-05,0.003952363250405368,0.022984685544791016,0.00010623539848220191,-0.004506416049005793,0.008830193643135567,9.13915015694168e-05,0.0055854829234074,0.012457063863478153,4.384156071236173e-05,0.035212366210238,0.022708956907548015,-3.080713917710164e-06,-0.03751970460787713,0.012211590642202095,0.00023173321788319524,0.006225317813048106,0.012065098090029376,3.633710246384829e-05,-6.56991605132915e-06,0.012093059855625499,7.258398620937357e-05,1.7155041098202902e-05,0.02248350143175312,0.00013483409977616762,2.7759785624218922e-05,0.02204045180284351,0.00013213443815871166,2.8592548473820774e-07,0.011854759531377523,7.112744284083865e-05,6.558393253590554e-07,0.011712547592734273,7.027273087167111e-05,3.2183535909212874e-05,0.021776050372248546,0.0001305307736548408,0.5249999999999999,0.0,0.07476595834160481,0.1350020350062464,0.08462571065769071
0.018000000000000002,22.0,1187.05922098565,1.9136517248585222e-05,0.02679624667160061,0.00016069867707701812,-7.503228686106321e-06,0.010419503105438268,6.254792274789727e-05,1.371247022892924e-05,0.010214181127529292,6.12286164526381e-05,-0.00013562722395964438,0.026268212051189736,0.00013389509280470623,0.00046033092110353124,0.010091649877869221,8.758839556125008e-05,0.005852943143235669,0.014236644415403605,5.1906968951977235e-05,0.04994908877678876,0.025953093608626306,-5.555563560967018e-05,-0.050446471241221785,0.013956103591088112,0.00030885484919379147,0.005969229494199921,0.013788683531462146,4.538019431048424e-05,-9.571377475358717e-06,0.013820639835000573,8.296325850631142e-05,2.499552583964773e-05,0.025695430207717855,0.00015406965099971792,4.044581423688592e-05,0.0251890877746783,0.00015096796793432447,4.1696809277932576e-07,0.013548296607288601,8.128806409082318e-05,9.570044707540245e-07,0.013385768677410599,8.031067702851144e-05,4.689040740042067e-05,0.024886914711141198,0.0001491283870513919,0.6,0.0,0.07459234655340437,0.13499215616512333,0.08520351031790097
