t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_sigma_close,input_sigma_adapt,object_adaptive_box_x,object_adaptive_box_y,object_adaptive_box_z
0.0,5.0,4.395018728184954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.125,0.0785
0.002,5.0,3.5539255505676928,-3.105460449944401e-08,0.0,0.0,2.8761982690760213e-08,0.0,0.0,1.1463109043419023e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045015753114754684,0.12500002033994367,0.07849999969831992
0.004,4.0,2.8240285683114976,-1.0497848457912671e-07,0.0024599508266553807,1.475989128755928e-05,1.636559398269933e-07,0.00241147615716523,1.4468684371095235e-05,1.1586610310308117e-07,0.0019360655560044233,1.1616386458161115e-05,5.51044568508086e-09,0.0024599508266553807,1.4759704959932284e-05,4.972008883673787e-08,0.0023825476328544043,1.4295285797126426e-05,1.5107580520317102e-07,0.0023825476328544043,1.4295285797126426e-05,1.947771623757808e-08,0.00241147615716523,1.4468856942991381e-05,2.6156180058604797e-08,0.0018979143308166507,1.1387485984899904e-05,1.1781904620370236e-07,0.0018751465913572501,1.1250879548143501e-05,0.064,0.0,0.0450607536833703,0.12500007656153128,0.07849999892164514
0.006,4.0,2.2210097103623636,8.43347795511284e-08,0.004919901653310761,2.9520039790772042e-05,2.5402673064523376e-07,0.00482295231433046,2.8936731950343803e-05,5.56834880525792e-07,0.0038721311120088467,2.3232091475434463e-05,2.755376527729444e-08,0.004919901653310761,2.951937685719046e-05,2.4860020895467194e-07,0.004765095265708809,2.859027327371983e-05,7.553670445190284e-07,0.004765095265708809,2.8589665139421633e-05,9.738888433801324e-08,0.00482295231433046,2.8937597019685338e-05,1.307821268677578e-07,0.0037958286616333013,2.2774815032719455e-05,5.890856297276182e-07,0.0037502931827145002,2.2501052182009778e-05,0.128,0.0,0.0451284458901996,0.12500014960449635,0.07849999928565717
0.008,5.0,1.7182433042578333,8.699724473919406e-07,0.0073798524799661425,4.427860887111955e-05,1.242375339947128e-07,0.007234428471495691,4.340504666859027e-05,1.5356955807554907e-06,0.00580819666801327,3.484583899879647e-05,7.71585343330439e-08,0.0073798524799661425,4.427894955720519e-05,6.960793616851203e-07,0.007147642898563213,4.288436579012554e-05,2.114965421903533e-06,0.007147642898563213,4.288132518911216e-05,2.726904525430234e-07,0.007234428471495691,4.3405986495668115e-05,3.66196333126188e-07,0.005693742992449952,3.416167326193851e-05,1.6493898373828819e-06,0.005625439774071751,3.374910413065214e-05,0.192,0.0,0.045213969675708454,0.1250002034089365,0.07849996135948895
0.01,5.0,1.2841106021123143,1.7097690969589449e-06,0.009839803306621523,5.903360000504478e-05,4.093203057982805e-07,0.00964590462866092,5.7874682346761554e-05,3.2963182830127746e-06,0.007744262224017693,4.645635917062163e-05,1.6536562271139958e-07,0.009839803306621523,5.903835688852314e-05,1.4915946651477906e-06,0.009530190531417617,5.717696671233559e-05,4.531866796574204e-06,0.009530190531417617,5.716845339597429e-05,5.843417944069387e-07,0.00964590462866092,5.787379162925026e-05,7.847271020854827e-07,0.007591657323266603,4.554774676160086e-05,3.534244951660783e-06,0.0075005863654290005,4.499362185354971e-05,0.256,0.0,0.04531324693976915,0.12500021177829168,0.07849993565202985
0.012,5.0,0.9201557315779357,2.5903885387188713e-06,0.012299754133276903,7.378826618507967e-05,1.2545402589023266e-06,0.01205738078582615,7.234182879312211e-05,6.062942847786562e-06,0.009680327780022117,5.806218877043463e-05,3.0323434066397374e-07,0.012299754133276903,7.379753260592515e-05,2.734580409787663e-06,0.01191273816427202,7.146747941764123e-05,8.3079232756295e-06,0.01191273816427202,7.144923778485268e-05,1.0713059216842087e-06,0.01205738078582615,7.234077866419046e-05,1.4387174485906586e-06,0.009489571654083253,5.693272156188701e-05,6.479049061016033e-06,0.00937573295678625,5.623319227100754e-05,0.32,0.0,0.045422780358397134,0.12500019446159386,0.07849991150031763
0.014,5.0,0.6176651116674503,2.9777949493337893e-06,0.014759704959932285,8.85426874283614e-05,3.287417593831648e-06,0.014468856942991382,8.680561441639487e-05,1.0078897376339055e-05,0.01161639333602654,6.966198235907253e-05,5.018485834608306e-07,0.014759704959932285,8.855641035354973e-05,4.524467109971316e-06,0.014295285797126425,8.575530730029983e-05,1.3744795327340233e-05,0.014295285797126425,8.572186724310476e-05,1.7725506975356877e-06,0.014468856942991382,8.680671382241819e-05,2.380529994278949e-06,0.011387485984899904,6.831628360470788e-05,1.0719046687311403e-05,0.011250879548143501,6.746640299449492e-05,0.384,0.0,0.045539632627193745,0.12500017413738154,0.0784999139740182
0.016,5.0,0.3701841597818744,2.3939924044708494e-06,0.017219655786587663,0.00010330006794982998,7.08354124685915e-06,0.01688033310015661,0.00010126227409537667,1.5585286502668893e-05,0.013552458892030963,8.125427996792775e-05,7.723229739670272e-07,0.017219655786587663,0.00010331492362802523,6.9606805500677254e-06,0.01667783342998083,0.00010003985377722514,2.1143903923377742e-05,0.01667783342998083,9.998453180792093e-05,2.7270500501809385e-06,0.01688033310015661,0.00010127136329675444,3.6625518546017673e-06,0.013285400315716555,7.969811871433366e-05,1.6489290437284815e-05,0.01312602613950075,7.869184255688064e-05,0.448,0.0,0.04566134554415468,0.12500013827068376,0.07849993068956847
0.018000000000000002,5.0,0.16509754114796465,1.5793604398354553e-06,0.019679606613243045,0.00011806327572503145,1.2089999115499358e-05,0.01929180925732184,0.0001157083542964499,2.2778072167792654e-05,0.015488524448035387,9.28376349691963e-05,1.1258090025845225e-06,0.019679606613243045,0.00011807300574161448,1.0142640823440023e-05,0.019060381062835235,0.000114320522293711,3.0806382718239054e-05,0.019060381062835235,0.00011423542295347114,3.973785187123466e-06,0.01929180925732184,0.00011573449324362997,5.337199515336693e-06,0.015183314646533205,9.107791256807163e-05,2.40246026848961e-05,0.015001172730858001,8.99081006425243e-05,0.512,0.0,0.045785876979848567,0.12500010151043114,0.07849997447402314
0.02,5.0,0.0,7.689101542846009e-07,0.022139557439898427,0.00013282786847675155,1.8221874708080897e-05,0.021703285414487072,0.00013014717249222946,3.1871664463408835e-05,0.01742459000403981,0.0001044108715912321,1.5735011639743424e-06,0.022139557439898427,0.00013283058978537507,1.416976136277668e-05,0.02144292869568964,0.0001285967163291972,4.303303027412327e-05,0.02144292869568964,0.0001284727338778284,5.5517458100753475e-06,0.021703285414487072,0.0001301958697757997,7.456923696258849e-06,0.017081228977349858,0.00010245535066700713,3.355953729140542e-05,0.016876319322215252,0.00010111376831718214,0.5760000000000001,0.0,0.04591154288415063,0.1250000624036468,0.07850001849149398
0.022,5.0,0.0,7.004781656156526e-08,0.024599508266553806,0.00014759243613839715,2.551241092188263e-05,0.0241147615716523,0.00014457923818166532,4.3084927161559966e-05,0.019360655560044234,0.00011597270337348496,2.126643089974074e-06,0.024599508266553806,0.000147587608592339,1.9141447960193006e-05,0.02382547632854404,0.0001428678394030876,5.812426233950579e-05,0.02382547632854404,0.0001426946597896195,7.4999313307071835e-06,0.0241147615716523,0.00014465525895505335,1.0074214199644196e-05,0.018979143308166507,0.00011383011830682149,4.532834137002902e-05,0.0187514659135725,0.00011230743825768658,0.64,0.0,0.046037448153626294,0.125000025569355,0.07850006245180408
0.024,5.0,0.0,-5.188978267541924e-07,0.027059459093209184,0.00016235633427235576,3.4095862870961536e-05,0.02652623772881753,0.00015900435190737387,5.664045515120397e-05,0.021296721116048654,0.00012752181713332255,2.796533678125945e-06,0.027059459093209184,0.00016234399470071526,2.5157097775536904e-05,0.026208023961398444,0.0001571332950806295,7.638006418964811e-05,0.026208023961398444,0.00015689939819435363,9.857352087348592e-06,0.02652623772881753,0.00015911242678492093,1.3241604741281053e-05,0.020877057638983156,0.0001252019005487011,5.956491710201015e-05,0.02062661250492975,0.00012348770498135832,0.704,0.0,0.04616321500389401,0.12499998916530401,0.07850010596455932
