t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_uniform_close,input_uniform_diff,object_adaptive_sphere_x,object_adaptive_sphere_y,object_adaptive_sphere_z
0.0,1.0,9.249999577710588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.125,0.0785
0.002,1.0,7.529499656268724,-1.7204781961541927e-12,0.0,0.0,1.5934630273105952e-12,0.0,0.0,6.350758442179893e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045033299998479756,0.12499999999999946,0.07850000000004773
0.004,1.0,6.055724318388999,9.166643868815644e-09,0.008888888888888889,5.3333333343656205e-05,1.960482792723838e-07,0.008888888888888889,5.3333333323772554e-05,5.640592050913069e-07,0.008888888888888889,5.3333333332952284e-05,1.093471632643252e-08,0.008888888888888889,5.333333333333333e-05,1.9441073572579048e-07,0.008888888888888889,5.333333333333333e-05,5.639939406405551e-07,0.008888888888888889,5.333333333333333e-05,1.0934716326432516e-08,0.008888888888888889,5.333333333333333e-05,1.9441073572579058e-07,0.008888888888888889,5.333333333333333e-05,5.639939406405553e-07,0.008888888888888889,5.333333333333333e-05,0.08,0.0,0.045128534093715526,0.12500000000303502,0.07850000005080156
0.006,1.0,4.794258865225151,4.5866399097931336e-08,0.017777777777777778,0.00010666661166680347,9.802146232183106e-07,0.017777777777777778,0.00010666549037699103,2.820250517720547e-06,0.017777777777777778,0.00010666328231143613,5.4679911649488425e-08,0.017777777777777778,0.00010666660105836871,9.720518467425902e-07,0.017777777777777778,0.00010666550020225232,2.819925154591746e-06,0.017777777777777778,0.00010666328270302282,5.4679911649488365e-08,0.017777777777777778,0.00010666660105836871,9.720518467425906e-07,0.017777777777777778,0.00010666550020225232,2.8199251545917456e-06,0.017777777777777778,0.00010666328270302282,0.16,0.0,0.045272354865619764,0.12500000001516365,0.07850000025298275
0.008,1.0,3.718041782157737,1.285064027024189e-07,0.026666666666666665,0.0001599997248016054,2.7445469782381515e-06,0.026666666666666665,0.00015999411871226067,7.896468210729265e-06,0.026666666666666665,0.00015998307849689365,1.5313666838676738e-07,0.026666666666666665,0.0001599996719205301,2.7217356444275228e-06,0.026666666666666665,0.00015999416768891953,7.895558783902948e-06,0.026666666666666665,0.00015998308044907244,1.5313666838676736e-07,0.026666666666666665,0.0001599996719205301,2.721735644427523e-06,0.026666666666666665,0.00015999416768891953,7.895558783902948e-06,0.026666666666666665,0.00015998308044907244,0.24,0.0,0.045454652624379,0.12500000004240097,0.07850000070693011
0.01,1.0,2.8032393799876587,2.7558519212301975e-07,0.035555555555555556,0.00021333256229491714,5.881040291002618e-06,0.035555555555555556,0.0002133168660514639,1.6920248944719643e-05,0.035555555555555556,0.00021328595452406899,3.2825670684198364e-07,0.035555555555555556,0.00021333241451332302,5.832259780567708e-06,0.035555555555555556,0.00021331700291946678,1.6918303608498832e-05,0.035555555555555556,0.00021328595998062992,3.282567068419838e-07,0.035555555555555556,0.00021333241451332302,5.832259780567708e-06,0.035555555555555556,0.00021331700291946678,1.6918303608498835e-05,0.035555555555555556,0.00021328595998062992,0.32,0.0,0.045666801810740024,0.12500000009069626,0.07850000151178652
0.012,1.0,2.0288765255108907,5.057269222968232e-07,0.044444444444444446,0.0002666650131555139,1.0781620633734073e-05,0.044444444444444446,0.00026663138042492065,3.101859343956327e-05,0.044444444444444446,0.00026656514517299837,6.02067699485854e-07,0.044444444444444446,0.0002666646971264256,1.0692399908243058e-05,0.044444444444444446,0.0002666316731079833,3.101503392055338e-05,0.044444444444444446,0.0002665651568450157,6.020676994858545e-07,0.044444444444444446,0.0002666646971264256,1.0692399908243058e-05,0.044444444444444446,0.0002666316731079833,3.101503392055338e-05,0.044444444444444446,0.0002665651568450157,0.4,0.0,0.04590147008121522,0.12500000016591528,0.07850000276533033
0.014,1.0,1.3765084225033877,8.377121217360836e-07,0.05333333333333333,0.0003199969656384662,1.7838132519946308e-05,0.05333333333333333,0.00031993531027619756,5.1317788348188294e-05,0.05333333333333333,0.0003198138884393626,9.96698578815306e-07,0.05333333333333333,0.00031999638759380304,1.769090232984515e-05,0.05333333333333333,0.0003199358456005505,5.1311911475320415e-05,0.05333333333333333,0.00031981390979647666,9.966985788153063e-07,0.05333333333333333,0.00031999638759380304,1.769090232984515e-05,0.05333333333333333,0.0003199358456005505,5.1311911475320415e-05,0.05333333333333333,0.00031981390979647666,0.48,0.0,0.04615245028900607,0.12500000027383193,0.07850000456380653
0.016,1.0,0.8299289745181624,1.290504827674093e-06,0.06222222222222223,0.000373328307060603,2.744232955196048e-05,0.06222222222222223,0.0003732263045382137,7.894322836869556e-05,0.06222222222222223,0.00037302542660324424,1.5344048362377158e-06,0.06222222222222223,0.0003733273531418605,2.721647662707764e-05,0.06222222222222223,0.0003732271879193543,7.893420754898775e-05,0.06222222222222223,0.0003730254618644815,1.5344048362377162e-06,0.06222222222222223,0.0003733273531418605,2.7216476627077644e-05,0.06222222222222223,0.0003732271879193543,7.893420754898775e-05,0.06222222222222223,0.0003730254618644815,0.56,0.0,0.046414512731923006,0.12500000042012577,0.07850000700188586
0.018000000000000002,1.0,0.3749117416134279,1.8832767089939784e-06,0.07111111111111111,0.0004266589236377006,3.99858678292427e-05,0.07111111111111111,0.00042650201268935493,0.0001150192386026241,0.07111111111111111,0.0004261930072964545,2.237593809440465e-06,0.07111111111111111,0.0004266574602376493,3.9657788267777065e-05,0.07111111111111111,0.0004265033678069042,0.00011500612513410463,0.07111111111111111,0.0004261930614213727,2.237593809440466e-06,0.07111111111111111,0.0004266574602376493,3.9657788267777065e-05,0.07111111111111111,0.0004265033678069042,0.00011500612513410463,0.07111111111111111,0.0004261930614213727,0.64,0.0,0.04668327533154964,0.12500000061038471,0.07850001017270983
