t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma,input_sigma_diff
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.0,0.0,1.8766500277937501e-07,0.0033495308339500764,4.019437000740092e-05,-7.364084959731444e-08,0.0013024378881797834,1.56292546581574e-05,1.345038195501439e-07,0.0012767726409411615,1.5321271691293938e-05,1.797149640943529e-07,0.003283526506398717,3.9402318076784604e-05,-9.846000326834866e-08,0.0012614562347336526,1.5137474816803831e-05,2.2630960237581537e-07,0.0017795805519254507,2.1354966623105407e-05,1.4536079607338267e-07,0.003244136701078288,3.892964041293946e-05,-1.809468299866726e-08,0.001744512948886014,2.0934155386632167e-05,1.949047596775575e-07,0.0017235854414327683,2.068302529719322e-05,-9.39118603275548e-08,0.0017275799793750716,2.073095975250086e-05,2.451247694190777e-07,0.003211928775964732,3.8543145311576784e-05,3.966889412294566e-07,0.0031486359718347874,3.778363166201745e-05,4.074974118467043e-09,0.0016935370759110751,2.0322444910932904e-05,9.329905149368856e-09,0.0016732210846763249,2.00786530161159e-05,4.5992721119997946e-07,0.0031108643388926497,3.7330372066711794e-05,0.075,0.0
0.006,0.0,0.0,9.383055488857872e-07,0.006699061667900153,8.038648803476848e-05,-3.6817443151892724e-07,0.002604875776359567,3.125939300650997e-05,6.724937464495087e-07,0.002553545281882323,3.0640929336753275e-05,8.985553250441672e-07,0.006567053012797434,7.880247957400008e-05,-4.922626993386138e-07,0.0025229124694673053,3.0276131153646882e-05,1.1315051546509545e-06,0.0035591611038509013,4.2707217530982305e-05,7.267923498144869e-07,0.006488273402156576,7.785753649632604e-05,-9.045228351478802e-08,0.003489025897772028,4.186852790946032e-05,9.744898122107749e-07,0.0034471708828655366,4.1363711737270307e-05,-4.695313398830232e-07,0.0034551599587501433,4.1463046447325653e-05,1.2255974679213819e-06,0.006423857551929464,7.708334912592054e-05,1.9833844115157264e-06,0.006297271943669575,7.556250305674015e-05,2.03797083800564e-08,0.0033870741518221502,4.064484092217638e-05,4.66691443977136e-08,0.0033464421693526498,4.015719407337001e-05,2.299554838698922e-06,0.006221728677785299,7.46552250068892e-05,0.15,0.0
0.008,0.0,0.0,2.6271543221768216e-06,0.010048592501850228,0.00012057185035561612,-1.030733369684843e-06,0.00390731366453935,4.689218206765043e-05,1.8828506689496849e-06,0.0038303179228234845,4.595574514892442e-05,2.5158535375728347e-06,0.00985057951919615,0.00011819617156645327,-1.378141518757914e-06,0.0037843687042009577,4.541833160280356e-05,3.1679915845417178e-06,0.005338741655776352,6.40513218074604e-05,2.0349581026413397e-06,0.009732410103234864,0.0001167801997306206,-2.5315651574237306e-07,0.005233538846658042,6.280355158729868e-05,2.728394752945643e-06,0.005170756324298305,6.203738201383313e-05,-1.3145423552534815e-06,0.005182739938125214,6.219851363358117e-05,3.4315357416835624e-06,0.009635786327894195,0.00011561472876511529,5.553162829952731e-06,0.009445907915504361,0.00011332709437311416,5.708834002157957e-08,0.005080611227733225,6.0967090176298145e-05,1.3077561488350834e-07,0.005019663254028975,6.0235399018614925e-05,6.438331233751177e-06,0.009332593016677949,0.00011196352154207102,0.22499999999999998,0.0
0.01,0.0,0.0,5.629288309900591e-06,0.013398123335800306,0.00016074595417773756,-2.2082118057173783e-06,0.005209751552719134,6.252938743306582e-05,4.034252704492712e-06,0.005107090563764646,6.126249255714836e-05,5.3907861186908925e-06,0.013134106025594868,0.00015757908206468754,-2.9525314192285785e-06,0.005045824938934611,6.056643696544043e-05,6.787831025674312e-06,0.007118322207701803,8.538185059340713e-05,4.3604284657858365e-06,0.012976546804313153,0.00015569414215452614,-5.421220811716286e-07,0.006978051795544056,8.373965942471758e-05,5.845987335942157e-06,0.006894341765731073,8.269936045173752e-05,-2.8164051619270227e-06,0.0069103199175002865,8.293961351826648e-05,7.3528462259491025e-06,0.012847715103858928,0.00015413140281740693,1.1898618327129905e-05,0.01259454388733915,0.00015106788869411036,1.2241370901024608e-07,0.0067741483036443005,8.128909458365135e-05,2.805641180516099e-07,0.0066928843387052996,8.0313042757085e-05,1.3795055116715119e-05,0.012443457355570599,0.00014924422829204218,0.3,0.0
0.012,0.0,0.0,1.031955100302209e-05,0.01674765416975038,0.00020090429857728577,-4.047146260200084e-06,0.006512189440898916,7.81727718324556e-05,7.3950738963265125e-06,0.006383863204705807,7.655794742401578e-05,9.882295732086597e-06,0.016417632531993583,0.0001969469009504987,-5.4114197800450475e-06,0.006307281173668263,7.572280446104989e-05,1.244257155254881e-05,0.008897902759627253,0.00010669337914321894,7.99363433468084e-06,0.01622068350539144,0.00019459587692310785,-9.930102432722553e-07,0.008722564744430068,0.00010467728239813487,1.0716227653020008e-05,0.00861792720716384,0.00010334497463793478,-5.16224459196803e-06,0.008637899896875358,0.00010368859562444743,1.3479119086079228e-05,0.016059643879823657,0.0001926274924031725,2.181162174286192e-05,0.015743179859173936,0.0001887753748901617,2.2462671029499103e-07,0.008467685379555374,0.00010161075559015637,5.151847188090397e-07,0.008366105423381624,0.00010038989831116287,2.5287550984288864e-05,0.015554321694463247,0.00018648631967215838,0.37499999999999994,0.0
0.014,0.0,0.0,1.707247466361287e-05,0.020097185003700457,0.00024104238543236922,-6.693596635155081e-06,0.0078146273290787,9.382409370406679e-05,1.2233283023224612e-05,0.007660635845646969,9.183888926100771e-05,1.6349013345944418e-05,0.0197011590383923,0.00023629532091192255,-8.950197476982618e-06,0.0075687374084019154,9.088978593818353e-05,2.058307609754306e-05,0.010677483311552704,0.00012798048888000186,1.322482064399996e-05,0.019464820206469727,0.00023348191886562056,-1.6411445139224859e-06,0.010467077693316083,0.00012561684844271227,1.7727532450276325e-05,0.01034151264859661,0.00012396955705132307,-8.538738385777587e-06,0.010365479876250428,0.00012444770545010875,2.229952262275336e-05,0.01927157265578839,0.00023109712244042774,3.6083079819723103e-05,0.018891815831008723,0.00022644005051119034,3.7207564727454696e-07,0.01016122245546645,0.00012193197394507386,8.54100976442902e-07,0.01003932650805795,0.00012046573588006968,4.18323448238347e-05,0.018665186033355898,0.00022367878178845932,0.44999999999999996,0.0
0.016,0.0,0.0,2.6262202686099485e-05,0.023446715837650532,0.000281155720355843,-1.0293027414155128e-05,0.009117065217258483,0.00010948510576672365,1.8816342567494653e-05,0.00893740848658813,0.00010710210244277886,2.514918049352792e-05,0.022984685544791016,0.0002756200383773409,-1.3763510209726381e-05,0.008830193643135567,0.00010606972608735061,3.165935162268468e-05,0.012457063863478153,0.00014923776944856732,2.034399997959064e-05,0.022708956907548015,0.00027234878504284817,-2.5214264962248628e-06,0.012211590642202095,0.0001465587814405922,2.7267639637001336e-05,0.012065098090029376,0.0001445684466909492,-1.3132005655536195e-05,0.012093059855625499,0.0001452191831281353,3.430269796695429e-05,0.02248350143175312,0.0002695344229095644,5.550269467063886e-05,0.02204045180284351,0.00026405242467628543,5.732055869572387e-07,0.011854759531377523,0.00014225264946876297,1.3171679960786388e-06,0.011712547592734273,0.00014054032190109398,6.434434025749749e-05,0.021776050372248546,0.00026081061632909653,0.5249999999999999,0.0
0.018000000000000002,0.0,0.0,3.826241207913287e-05,0.02679624667160061,0.00032123981362697414,-1.4990189116408533e-05,0.010419503105438268,0.0001251575535942291,2.7411107886396993e-05,0.010214181127529292,0.00012234437741954156,3.664057166582492e-05,0.026268212051189736,0.0003149167544483545,-2.0045110153826953e-05,0.010091649877869221,0.00012126496065694738,4.612037861882218e-05,0.014236644415403605,0.00017045982076537106,2.964090626351848e-05,0.025953093608626306,0.0003111929953037606,-3.6682519282862385e-06,0.013956103591088112,0.00016750350021101204,3.9723473041847906e-05,0.013788683531462146,0.00016513699070190175,-1.9127495517886412e-05,0.013820639835000573,0.00016600526208787332,4.9976653890348034e-05,0.025695430207717855,0.0003079335301170108,8.085872359870873e-05,0.0251890877746783,0.0003016030209600919,8.365777172744655e-07,0.013548296607288601,0.00016257268082041972,1.9247102495382786e-06,0.013385768677410599,0.00016061341811297427,9.373649523867732e-05,0.024886914711141198,0.00029787084445060443,0.6,0.0
