t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_fixed_horizontal_cylinder_radius2p5_x,object_fixed_horizontal_cylinder_radius2p5_y,object_fixed_horizontal_cylinder_radius2p5_z
0.0,13.0,8069165089857145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.145,0.13
0.002,13.0,8068758445585854.0,1.8590226472057277e-05,0.0,0.0,-1.4249777119481357e-05,0.0,0.0,-2.1702246762879583e-06,0.0,0.0,-5.339542780571898e-05,0.0,0.0,4.0928653911115026e-05,0.0,0.0,6.233386947301951e-06,0.0,0.0,5.004048834612582e-05,0.0,0.0,-3.835702630801709e-05,0.0,0.0,-5.841731019054376e-06,0.0,0.0,0.0001671650559593295,0.0,0.0,-0.0001281353291872868,0.0,0.0,-1.9514863386021324e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.145,0.13
0.004,13.0,8067649933719738.0,6.919177866234578e-05,0.0,-1.1154135883234367e-07,-5.303617405369634e-05,0.0,8.549866271688814e-08,-8.077639537474354e-06,0.0,1.302134805772775e-08,-0.0001987245294856406,0.0,3.203725668343139e-07,0.00015232429234070472,0.0,-2.4557192346669015e-07,2.3199651068446825e-05,0.0,-3.740032168381171e-08,0.00018636227683488285,0.0,-3.0024293007675493e-07,-0.00014284850622996558,0.0,2.3014215784810255e-07,-2.175644717263221e-05,0.0,3.505038611432626e-08,0.0006225012837492295,0.0,-1.002990335755977e-06,-0.00047715331299464086,0.0,7.688119751237209e-07,-7.267252176254041e-05,0.0,1.1708918031612794e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.145,0.13
0.006,13.0,8066604701105962.0,0.00014469342133889383,0.0,-4.1515067197407466e-07,-0.00011090569782718481,0.0,3.1821704432217806e-07,-1.689276763233848e-05,0.0,4.846583722484612e-08,-0.00041553768684357887,0.0,1.1923471769138438e-06,0.00031850443766257475,0.0,-9.139457540442284e-07,4.851348210460964e-05,0.0,-1.3919790641068096e-07,0.0003901168158940058,0.0,-1.118173661009297e-06,-0.00029901967587727605,0.0,8.570910373797935e-07,-4.5545623885347645e-05,0.0,1.3053868303579325e-07,0.0012536181423441154,0.0,-3.7350077024953775e-06,-0.0009608810516475301,0.0,2.8629198779678454e-06,-0.00014635870406489864,0.0,4.3603513057524246e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.145,0.13
0.008,13.0,8065036634293665.0,0.00023882522887202817,0.0,-8.68160528033363e-07,-0.00018304760564805003,0.0,6.654341869631089e-07,-2.7884913351269646e-05,0.0,1.0135660579403088e-07,-0.0006857984914931884,0.0,2.4932261210614733e-06,0.0005256302673053088,0.0,-1.9110266259754486e-06,8.007291614118816e-05,0.0,-2.9108089262765786e-07,0.0006448156890557224,0.0,-2.340700895364035e-06,-0.0004942191054791839,0.0,1.7941180552636564e-06,-7.528779001673184e-05,0.0,2.732737433120859e-07,0.0019243496681168966,0.0,-7.521708854064693e-06,-0.0014749039366552107,0.0,5.765286309885181e-06,-0.00022468821943687185,0.0,8.781522243893919e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.145,0.13
0.01,13.0,8063372031063711.0,0.0003461271381093543,0.0,-1.4329513732321692e-06,-0.00026527030142159207,0.0,1.0982856338883002e-06,-4.041835761988462e-05,0.0,1.6730948010761787e-07,-0.0009938018722686483,0.0,4.114790948959131e-06,0.0007616452986320274,0.0,-3.1537816038318525e-06,0.00011604939341883092,0.0,-4.804374968471289e-07,0.0009361838143960668,0.0,-3.8688941343343345e-06,-0.0007174874992454722,0.0,2.9653146328751036e-06,-0.00010932103764919716,0.0,4.5172674010039105e-07,0.0025667939918740845,0.0,-1.154609800870138e-05,-0.0019671250921685845,0.0,8.849423619931264e-06,-0.00029974717002893917,0.0,1.348129316621231e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.145,0.13
0.012,13.0,8061779279539519.0,0.0004619068784630377,0.0,-2.0767628286561257e-06,-0.00035396952812256097,0.0,1.5916218085295526e-06,-5.394732923764196e-05,0.0,2.425101457193077e-07,-0.0013260584998883607,0.0,5.962811233611889e-06,0.0010161880482402758,0.0,-4.569871791792165e-06,0.00015487392580461817,0.0,-6.962963605129855e-07,0.0012519997652273478,0.0,-5.617102886376401e-06,-0.0009594364517172048,0.0,4.3049249954728335e-06,-0.00014622407301233354,0.0,6.55926225895183e-07,0.0031523762920700167,0.0,-1.5400763951244507e-05,-0.0024155922092856043,0.0,1.1802750553011507e-05,-0.0003682127953843459,0.0,1.798483020173635e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.145,0.13
0.014,13.0,8060293206934416.0,0.0005821901409395714,0.0,-2.771441270778226e-06,-0.0004460905522858927,0.0,2.123817168735366e-06,-6.801008575912876e-05,0.0,3.2368397542585176e-07,-0.0016711537674774257,0.0,7.956350999330165e-06,0.0012804850337473073,0.0,-6.097128289441655e-06,0.00019522034097674843,0.0,-9.29243554827709e-07,0.0015819282476181502,0.0,-7.511998591364087e-06,-0.0012121210331754633,0.0,5.756618710303229e-06,-0.00018479639377866819,0.0,8.773444380740012e-07,0.003681296130663615,0.0,-1.89142577524201e-05,-0.0028204123271585516,0.0,1.4493553255713627e-05,-0.0004301205925632161,0.0,2.209276772306075e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.145,0.13
0.016,13.0,8058952783261358.0,0.000707799012193861,0.0,-3.4931408456374286e-06,-0.0005422546899036802,0.0,2.676543313715356e-06,-8.27049431361408e-05,0.0,4.0806051455477257e-07,-0.002019589106987698,0.0,1.0026922604864555e-05,0.0015472300754821203,0.0,-7.682910202483844e-06,0.00023598650692558312,0.0,-1.1713220458604905e-06,0.0019173492525143422,0.0,-9.491569485708901e-06,-0.0014689096789882198,0.0,7.27272619905278e-06,-0.0002240381170854391,0.0,1.1087783626720092e-06,0.004154750202800718,0.0,-2.208777678398169e-05,-0.00318246108598898,0.0,1.692247396295131e-05,-0.00048562131103100194,0.0,2.5807235553792964e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.145,0.13
0.018000000000000002,13.0,8057775335160566.0,0.0008427921295136833,0.0,-4.246794073163166e-06,-0.0006455637732240417,0.0,3.2535281394220816e-06,-9.850814706746507e-05,0.0,4.962296588168448e-07,-0.002344268489855998,0.0,1.2117534641926188e-05,0.00179562760286749,0.0,-9.283380452892722e-06,0.0002740161112145606,0.0,-1.4159190415534988e-06,0.002251187771645969,0.0,-1.1504095515086053e-05,-0.0017243543764266624,0.0,8.81345807392932e-06,-0.0002631299091087697,0.0,1.3442287025126346e-06,0.004562242363847301,0.0,-2.4928501216804307e-05,-0.0034936555707735517,0.0,1.909476651593388e-05,-0.0005334995303336868,0.0,2.9137278661860116e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.145,0.13
