t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_sigma_close,input_sigma_adapt
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.0,0.0,5.166788317210683e-09,0.0024599508266553807,1.4759704959932284e-05,6.164349442511923e-08,0.00241147615716523,1.4468856942991381e-05,1.1179977532916681e-07,0.0019360655560044233,1.161639333602654e-05,5.510445685080856e-09,0.0024599508266553807,1.4759704959932284e-05,4.972008883673786e-08,0.0023825476328544043,1.4295285797126426e-05,1.51075805203171e-07,0.0023825476328544043,1.4295285797126426e-05,1.9477716237578074e-08,0.00241147615716523,1.4468856942991381e-05,2.6156180058604807e-08,0.0018979143308166507,1.1387485984899904e-05,1.1781904620370237e-07,0.0018751465913572501,1.1250879548143501e-05,0.064,0.0
0.006,0.0,0.0,2.5835809599575305e-08,0.004919901653310761,2.9519378919134662e-05,3.0821547769205196e-07,0.00482295231433046,2.8937344025016212e-05,5.589905548726955e-07,0.0038721311120088467,2.3232115873401105e-05,2.755376527729443e-08,0.004919901653310761,2.951937685719046e-05,2.4860020895467183e-07,0.004765095265708809,2.859027327371983e-05,7.553670445190282e-07,0.004765095265708809,2.8589665139421633e-05,9.738888433801322e-08,0.00482295231433046,2.8937597019685338e-05,1.3078212686775783e-07,0.0037958286616333013,2.2774815032719455e-05,5.890856297276182e-07,0.0037502931827145002,2.2501052182009778e-05,0.128,0.0
0.008,0.0,0.0,7.23499804150882e-08,0.0073798524799661425,4.427895986493926e-05,8.629929665077543e-07,0.007234428471495691,4.3404721536107995e-05,1.565130281102159e-06,0.00580819666801327,3.4845826064750385e-05,7.715853433304389e-08,0.0073798524799661425,4.427894955720519e-05,6.9607936168512e-07,0.007147642898563213,4.288436579012554e-05,2.1149654219035325e-06,0.007147642898563213,4.288132518911216e-05,2.726904525430234e-07,0.007234428471495691,4.3405986495668115e-05,3.66196333126188e-07,0.005693742992449952,3.416167326193851e-05,1.6493898373828819e-06,0.005625439774071751,3.374910413065214e-05,0.192,0.0
0.01,0.0,0.0,1.5506716050169417e-07,0.009839803306621523,5.9038385739846646e-05,1.8492370222818875e-06,0.00964590462866092,5.787024981416647e-05,3.353710327056485e-06,0.007744262224017693,4.6456182562419545e-05,1.6536562271139955e-07,0.009839803306621523,5.903835688852314e-05,1.4915946651477902e-06,0.009530190531417617,5.717696671233559e-05,4.531866796574203e-06,0.009530190531417617,5.716845339597429e-05,5.843417944069387e-07,0.00964590462866092,5.787379162925026e-05,7.847271020854827e-07,0.007591657323266603,4.554774676160086e-05,3.534244951660783e-06,0.0075005863654290005,4.499362185354971e-05,0.256,0.0
0.012,0.0,0.0,2.84367622408961e-07,0.012299754133276903,7.379759439669842e-05,3.3901847738324503e-06,0.01205738078582615,7.233318929282321e-05,6.14812222146964e-06,0.009680327780022117,5.806184441817036e-05,3.0323434066397374e-07,0.012299754133276903,7.379753260592515e-05,2.7345804097876627e-06,0.01191273816427202,7.146747941764123e-05,8.3079232756295e-06,0.01191273816427202,7.144923778485268e-05,1.0713059216842087e-06,0.01205738078582615,7.234077866419046e-05,1.4387174485906586e-06,0.009489571654083253,5.693272156188701e-05,6.479049061016032e-06,0.00937573295678625,5.623319227100754e-05,0.32,0.0
0.014,0.0,0.0,4.7066151845975673e-07,0.014759704959932285,8.855652355385925e-05,5.609041440579986e-06,0.014468856942991382,8.679280054930529e-05,1.0171624387475052e-05,0.01161639333602654,6.966147128283042e-05,5.018485834608306e-07,0.014759704959932285,8.855641035354973e-05,4.524467109971316e-06,0.014295285797126425,8.575530730029983e-05,1.3744795327340233e-05,0.014295285797126425,8.572186724310476e-05,1.7725506975356877e-06,0.014468856942991382,8.680671382241819e-05,2.3805299942789488e-06,0.011387485984899904,6.831628360470788e-05,1.07190466873114e-05,0.011250879548143501,6.746640299449492e-05,0.384,0.0
0.016,0.0,0.0,7.243963439607149e-07,0.017219655786587663,0.00010331511075041522,8.6289723564257e-06,0.01688033310015661,0.00010124834435229618,1.564730890031494e-05,0.013552458892030963,8.125372360586093e-05,7.723229739670272e-07,0.017219655786587663,0.00010331492362802523,6.9606805500677254e-06,0.01667783342998083,0.00010003985377722514,2.1143903923377742e-05,0.01667783342998083,9.998453180792093e-05,2.7270500501809385e-06,0.01688033310015661,0.00010127136329675444,3.6625518546017664e-06,0.013285400315716555,7.969811871433366e-05,1.6489290437284812e-05,0.01312602613950075,7.869184255688064e-05,0.448,0.0
0.018000000000000002,0.0,0.0,1.056064395591019e-06,0.019679606613243045,0.0001180732933013945,1.257309499450884e-05,0.01929180925732184,0.0001156990817097925,2.2798068269479826e-05,0.015488524448035387,9.283726283481043e-05,1.1258090025845225e-06,0.019679606613243045,0.00011807300574161448,1.0142640823440023e-05,0.019060381062835235,0.000114320522293711,3.0806382718239054e-05,0.019060381062835235,0.00011423542295347114,3.973785187123465e-06,0.01929180925732184,0.00011573449324362997,5.337199515336692e-06,0.015183314646533205,9.107791256807163e-05,2.4024602684896095e-05,0.015001172730858001,8.99081006425243e-05,0.512,0.0
