t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_1,qref_joint_1,tau_joint_1,input_sigma,input_sigma_diff
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.0,0.0,2.8206260525170087e-07,0.006387311308541169,7.664773570249403e-05,8.055718843837781e-07,0.006310687913397525,7.57282549607703e-05,0.075,0.0
0.006,0.0,0.0,1.410323562113365e-06,0.012774622617082338,0.00015329208665372504,4.027733318208803e-06,0.01262137582679505,0.000151446843058928,0.15,0.0
0.008,0.0,0.0,3.948960753940495e-06,0.019161933925623507,0.00022992628322473672,1.127699757381885e-05,0.018932063740192573,0.0002271364320824924,0.22499999999999998,0.0
0.01,0.0,0.0,8.4622363059736e-06,0.025549245234164675,0.0003065435552809288,2.4162869248759506e-05,0.0252427516535901,0.0003027776958721954,0.3,0.0
0.012,0.0,0.0,1.5514538613171768e-05,0.03193655654270584,0.0003831371316767984,4.42933402491809e-05,0.03155343956698762,0.00037835132037286633,0.37499999999999994,0.0
0.014,0.0,0.0,2.567042423965107e-05,0.038323867851247015,0.00045970023975160616,7.327438621564295e-05,0.037864127480385146,0.00045383800968163156,0.44999999999999996,0.0
0.016,0.0,0.0,3.949465963843561e-05,0.04471117915978818,0.0005362261048265824,0.00011270946356810783,0.04417481539378267,0.0005292184920908044,0.5249999999999999,0.0
0.018000000000000002,0.0,0.0,5.755226264030232e-05,0.05109849046832935,0.000612707949704291,0.00016419900734670846,0.0504855033071802,0.0006044735261233451,0.6,0.0
0.02,0.0,0.0,8.040854366059809e-05,0.05748580177687053,0.0006891389941707628,0.00022933993002462107,0.05679619122057773,0.0006795839065587723,0.675,0.0
0.022,0.0,0.0,0.00010862914657302975,0.06387311308541169,0.0007655124545010131,0.00030972512146904295,0.06310687913397524,0.0007545304704474074,0.7499999999999999,0.0
0.024,0.0,0.0,0.00014278008919957374,0.07026042439395286,0.000841821542968558,0.00040694295022588683,0.06941756704737277,0.0008292941031108448,0.825,0.0
0.026000000000000002,0.0,0.0,0.0001834278033658225,0.07664773570249403,0.0009180594673595335,0.0005225767663033455,0.07572825496077029,0.0009038557441265328,0.8999999999999999,0.0
0.028,0.0,0.0,0.00023113917447127933,0.08303504701103522,0.0009942194304920328,0.0006582044056289615,0.08203894287416784,0.0009781963932943738,0.9750000000000001,0.0
0.03,0.0,0.0,0.00028648158052433243,0.08942235831957636,0.001070294629741261,0.0008153976963542496,0.08834963078756534,0.0010522971165832368,1.0499999999999998,0.0
0.032,0.0,0.0,0.0003500229305918809,0.09580966962811754,0.0011462782565711187,0.0009957219671802716,0.09466031870096288,0.0011261390520553036,1.125,0.0
0.034,0.0,0.0,0.0004223317026138526,0.1021969809366587,0.0012221634960728018,0.0012007355578768505,0.1009710066143604,0.0011997034157661616,1.2,0.0
0.036000000000000004,0.0,0.0,0.000503976980533144,0.10858429224519989,0.0012979435265110324,0.0014319893321673286,0.10728169452775795,0.0012729715076385732,1.2750000000000001,0.0
0.038,0.0,0.0,0.0005955284906918267,0.11497160355374106,0.001373611518878495,0.0016910261931499413,0.11359238244115547,0.0013459247173078577,1.35,0.0
