t,ncon,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_u0,input_u1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.0,1.429589901540957e-07,0.0012500000000000002,2.5000000000000005e-05,-5.570314907848161e-08,0.0015625,1.8750000000000002e-05,1.5813720794621935e-06,0.001875,3.2500000000000004e-05,-2.6755884011238107e-07,0.0021874999999999998,2.6249999999999998e-05,9.572980244952603e-07,0.0025000000000000005,4.000000000000001e-05,1.3426304078085604e-06,0.0028125,3.375e-05,1.6141132395495108e-07,0.003125,4.75e-05,2.7236496745878973e-07,0.0034375000000000005,4.1250000000000007e-05,2.53311185429313e-06,0.00375,5.4999999999999995e-05,0.025,0.010000000000000002
0.012,0.0,7.147586448483748e-07,0.0025000000000000005,4.999828449211816e-05,-2.7817050572868835e-07,0.003125,3.750066843778894e-05,7.90575710719248e-06,0.00375,6.498102353504645e-05,-1.3374732724501795e-06,0.0043749999999999995,5.250321070608134e-05,4.786087597107598e-06,0.005000000000000001,7.998851242370608e-05,6.7123872594266055e-06,0.005625,6.748388843510629e-05,8.071057690863473e-07,0.00625,9.499806306411255e-05,1.3621453464919455e-06,0.006875000000000001,8.249673162039051e-05,1.2663854575098283e-05,0.0075,0.00010996960265774848,0.05,0.020000000000000004
0.016,0.0,2.001135498850783e-06,0.00375,7.499142289626182e-05,-7.770825778575843e-07,0.0046875,5.625333804606874e-05,2.213038361549606e-05,0.005625,9.740513091471369e-05,-3.7432565291373917e-06,0.0065625,7.87660496792694e-05,1.3398952325639132e-05,0.0075,0.0001199425669488347,1.879070793465942e-05,0.008437499999999999,0.00010116945135288686,2.260151779126401e-06,0.009375,0.00014249031473077096,3.815673140570055e-06,0.0103125,0.0001237336542558421,3.5449929626068994e-05,0.01125,0.00016484803374509883,0.075,0.03
0.02,0.0,4.287536227929267e-06,0.005000000000000001,9.997598637401382e-05,-1.6593608121339376e-06,0.00625,7.50093249909343e-05,4.7403659582901704e-05,0.0075,0.00012973443539661405,-8.01585576446067e-06,0.008749999999999999,0.00010504491907834963,2.870525691439259e-05,0.010000000000000002,0.00015983921257209236,4.025291481198285e-05,0.01125,0.00013477451150478408,4.844011337036154e-06,0.0125,0.00018997287817865052,8.181841085197937e-06,0.013750000000000002,0.00016495421192231317,7.593540955730927e-05,0.015,0.00021957460084448717,0.1,0.04000000000000001
0.024,0.0,7.85897393739267e-06,0.00625,0.00012494854956526487,-3.0277939768911475e-06,0.0078125,9.376991232974562e-05,8.686077409943629e-05,0.009375,0.0001619311560850052,-1.4682371805402322e-05,0.0109375,0.00013134619026917353,5.2609540403362695e-05,0.0125,0.0001996555369170273,7.376516446835918e-05,0.014062499999999999,0.0001682669650222562,8.882737447973945e-06,0.015625,0.00023744187186395556,1.5013376095429385e-05,0.0171875,0.00020615181790697765,0.00013914394147572376,0.01875,0.00027408877508531225,0.125,0.05
0.028,0.0,1.2999886128355926e-05,0.0075,0.0001499056923127513,-4.979672693331632e-06,0.009375,0.00011253633352772269,0.0001436193154908532,0.01125,0.00019395767071080675,-2.4264782747089815e-05,0.013125,0.00015767618846166483,8.700991311683245e-05,0.015,0.00023936868551515964,0.00012198140611529037,0.016874999999999998,0.00020161481802637968,1.4701172603845113e-05,0.01875,0.00028489340715062434,2.486810318097522e-05,0.020625,0.00024731983948685484,0.0002300719752233945,0.0225,0.0003283302727022913,0.15,0.06
0.032,0.0,1.999399500785367e-05,0.008749999999999999,0.00017484400136645972,-7.605435356721389e-06,0.0109375,0.00013130975607231999,0.00022077491245772328,0.013125,0.00022577656821410976,-3.727867292580333e-05,0.015312499999999998,0.00018404117739296506,0.0001337964588006453,0.017499999999999998,0.00027895588104259804,0.00018754035295321286,0.019687499999999997,0.00023478622312661648,2.262514861703136e-05,0.021875,0.0003323235859287538,3.831019603801175e-05,0.0240625,0.00028845158276182833,0.0003536820261066429,0.02625,0.0003822391362973193,0.175,0.06999999999999999
0.036000000000000004,0.0,2.912417080341775e-05,0.010000000000000002,0.0001997600720599058,-1.098732866969964e-05,0.0125,0.00015009126522428067,0.0003213969047545853,0.015,0.0002573507010505073,-5.4231968796490204e-05,0.017499999999999998,0.00021044734407510963,0.0001948496434227177,0.020000000000000004,0.0003183944424943923,0.0002730624701125511,0.0225,0.00026774951576456144,3.2981688205297405e-05,0.025,0.00037972849821659566,5.5911410551301736e-05,0.027500000000000004,0.0003295402776475439,0.0005148959819734266,0.03,0.00043575581568672033,0.2,0.08000000000000002
0.04,0.0,4.067229873540433e-05,0.011250000000000003,0.00022465050995035902,-1.5198085983789993e-05,0.014062500000000002,0.00016888184794403642,0.00044852404989346474,0.016875,0.00028864323714294503,-7.562368323425295e-05,0.0196875,0.00023690078362555787,0.00027203873210522204,0.022500000000000006,0.0003576618042789275,0.0003811469828313719,0.0253125,0.00030047325035864944,4.6099208702417693e-05,0.028125000000000004,0.0004271042197415365,7.825229747285904e-05,0.030937500000000007,0.00037057906307338446,0.0007185884643768016,0.03375,0.000488821248216319,0.22500000000000003,0.09000000000000002
0.044,0.0,5.491915029121918e-05,0.0125,0.0002495119324151752,-2.029962661272936e-05,0.015625,0.00018768237703180549,0.0006051602723050657,0.01875,0.00031961771140127845,-0.00010194266977001863,0.021875,0.00026340748419881104,0.00036722021564932774,0.025,0.0003967355352147374,0.0005143689084966272,0.028124999999999997,0.00033292623620602353,6.230772825977642e-05,0.03125,0.00047444680949557106,0.00010592339058406221,0.034375,0.0004115609724303257,0.0009695802534874242,0.0375,0.0005413769384274784,0.25,0.1
0.048,0.0,7.214425943466325e-05,0.013749999999999998,0.00027434097019650536,-2.6341779242384148e-05,0.017187499999999998,0.00020649359551935272,0.0007942704613298907,0.020624999999999998,0.0003502380767323392,-0.00013366638825957705,0.024062499999999997,0.0002899733120372402,0.0004822362481044591,0.027499999999999997,0.0004355933574122081,0.0006752761161484691,0.030937499999999993,0.0003650775730980404,8.193907489309435e-05,0.034374999999999996,0.0005217523072608826,0.00013952636669677736,0.0378125,0.00045247891931299127,0.0012726317863285927,0.041249999999999995,0.0005933650369581508,0.27499999999999997,0.10999999999999999
0.052000000000000005,0.0,9.262580437092692e-05,0.015,0.00029913426888678404,-3.3361032516867245e-05,0.01875,0.0002253161013509086,0.0010187763243405391,0.0225,0.0003804687544640413,-0.00017125968347241223,0.02625,0.00031660399665911493,0.000618913096823742,0.03,0.00047421316502274647,0.0008663864170150867,0.033749999999999995,0.0003968966866062183,0.00010532709871555682,0.0375,0.0005690167311012829,0.0001796751739055955,0.04125,0.0004933256835996387,0.0016324367378032479,0.045,0.0006447284185640568,0.3,0.12
0.056,0.0,0.00011664049547332515,0.01625,0.0003238884903475489,-4.137931582908333e-05,0.0203125,0.00024415033239020244,0.0012815523012155844,0.024375,0.00041027468410791357,-0.00021517357807226587,0.028437499999999998,0.0003433051162016689,0.0007790596064356926,0.0325,0.0005125730428381151,0.0010901846896089814,0.0365625,0.000428353362995819,0.00013280788768399253,0.040625,0.0006162360748154133,0.00022699712456761723,0.044687500000000005,0.000534093897913133,0.0020536156938638353,0.04875,0.000695410759146361,0.325,0.13
0.06,0.0,0.00014446346996171814,0.017499999999999998,0.00034860031405432006,-5.040281328640499e-05,0.021875,0.000262996551789949,0.0015854215462948514,0.02625,0.00043962137238541294,-0.00026584408144518897,0.030624999999999996,0.00037008208293686716,0.0009644656781492878,0.034999999999999996,0.0005506512847227717,0.0013491200428746141,0.03937499999999999,0.00045941778372469213,0.0001647199871684243,0.04375,0.000663406305347792,0.00028213394955820453,0.048125,0.0005747760345051886,0.002540709926043142,0.0525,0.000745356611673634,0.35,0.13999999999999999
0.064,0.0,0.00017636819390473517,0.018750000000000003,0.00037326643836045945,-6.042081375862104e-05,0.0234375,0.0002818548337594369,0.0019331519838457474,0.028124999999999997,0.00046847494144446175,-0.00032369101581298154,0.032812499999999994,0.00039694012897734224,0.0011769007657953733,0.037500000000000006,0.0005884264118622087,0.0016456030208319462,0.042187499999999996,0.0004900605594855045,0.00020140462363732507,0.046875,0.000710523360153979,0.0003457428104306292,0.051562500000000004,0.0006153643926053015,0.0030981752764173507,0.056249999999999994,0.0007945114808874823,0.375,0.15000000000000002
0.068,0.0,0.0002126263720984503,0.020000000000000004,0.00039788358167314327,-7.140459984581524e-05,0.025,0.0003007250497651035,0.002327452442960699,0.03,0.000496802176193851,-0.00038911686105042275,0.034999999999999996,0.00042388429218975576,0.001418112389991963,0.04000000000000001,0.0006258771908104557,0.0019820028521106265,0.045,0.0005202527637500167,0.00024320593273131628,0.05,0.0007575831445163523,0.00041849726619442256,0.05500000000000001,0.0006558510862748326,0.0037303761619118542,0.06,0.0008428218966829919,0.4,0.16000000000000003
0.07200000000000001,0.0,0.00025350786635308957,0.021250000000000005,0.0004224484835348187,-8.330637852855406e-05,0.026562500000000003,0.0003196068551981498,0.002770968877686877,0.031875,0.0005245705706844716,-0.0004625056196035845,0.0371875,0.00045091940233260504,0.0016898246718043824,0.04250000000000001,0.0006629826513200966,0.0023606447477154866,0.0478125,0.0005499659657746725,0.0002904711919768964,0.053125000000000006,0.0008045815288072243,0.0005010881915213053,0.05843750000000001,0.000696228032805667,0.004441579706686021,0.06375,0.0008902354860570578,0.42500000000000004,0.17000000000000004
0.076,0.0,0.00029928062269672304,0.022500000000000006,0.0004469579056037631,-9.605825618182309e-05,0.028125000000000004,0.0003384996765423427,0.0032662806780614346,0.03375,0.0005517483734677576,-0.0005442217028838338,0.039375,0.00047805006743524304,0.0019937368872534654,0.04500000000000001,0.0006997221039383476,0.002783807250305663,0.050625,0.0005791722630274142,0.0003435510583691458,0.05625000000000001,0.0008515143456962774,0.0005942246432886647,0.06187500000000001,0.0007364869417017445,0.005235950011145456,0.0675,0.0009367010435197679,0.45000000000000007,0.18000000000000005
0.08,0.0,0.00035021060798075975,0.02375,0.0004714086325276394,-0.00010957126054770011,0.0296875,0.00035740269907418183,0.0038158970775886455,0.035625,0.0005783046318632627,-0.0006346088404879009,0.041562499999999995,0.000505280660434606,0.0023315220440061576,0.0475,0.0007360751573529585,0.003253719638207131,0.05343749999999999,0.0006078443129963319,0.0004027998110282844,0.059375,0.0008983773872995702,0.0006986346724784469,0.0653125,0.000776619304280536,0.006117542565929536,0.07125,0.0009821685998662546,0.475,0.19
