t,ncon,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_tip
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9206223468961187e-08,0.004999999999999999,5.9999999999999995e-05,8.748483107660439e-07,0.004999999999999999,5.9999999999999995e-05,2.5379727328824977e-06,0.004999999999999999,5.9999999999999995e-05,0.015
0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4625899796998687e-07,0.009999999999999998,0.00011999940952531836,4.374175605919855e-06,0.009999999999999998,0.00011998950182027078,1.2688259914415351e-05,0.009999999999999998,0.0001199695443272054,0.03
0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.907100807817295e-07,0.015,0.00017999704489202436,1.2247348582432152e-05,0.015,0.00017994750989272897,3.551878936152522e-05,0.015,0.000179847740881027,0.045
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4839336247486214e-06,0.019999999999999997,0.0002399917114790306,2.6243205059139735e-05,0.019999999999999997,0.00023985303181701077,7.608466659839432e-05,0.019999999999999997,0.00023957377452766166,0.06
0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.730036031080385e-06,0.024999999999999998,0.000299982192796503,4.810978685697743e-05,0.024999999999999998,0.0002996850815392903,0.00013942177966993997,0.024999999999999998,0.00029908698400081925,0.075
0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5367639476192015e-06,0.03,0.000359967239567627,7.95940689866221e-05,0.03,0.00035942268255771627,0.0002305404259527176,0.03,0.0003583269386439607,0.09
0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.016409671753786e-06,0.034999999999999996,0.0004199455588326285,0.00012244168367730822,0.034999999999999996,0.0004190448711721605,0.00035441896972780306,0.034999999999999996,0.00041723351488856736,0.105
0.036000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0286713217948604e-05,0.039999999999999994,0.0004799158030839389,0.0001783966377928397,0.039999999999999994,0.0004785306997958722,0.0005159975392420274,0.039999999999999994,0.00047574697236326633,0.12
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.447176031078171e-05,0.045,0.0005398765594413846,0.00024920102219726643,0.045,0.000537859240346486,0.000720171771933103,0.045,0.0005338080295290956,0.135
0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.970287556545685e-05,0.049999999999999996,0.0005998263388762706,0.00033659471165328053,0.049999999999999996,0.0005970095877336327,0.0009717866164307589,0.049999999999999996,0.0005913579387368027,0.15
0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.611951011898765e-05,0.05499999999999999,0.0006597635654932145,0.0004423150538610734,0.05499999999999999,0.0006559608634601606,0.001275630199870079,0.05499999999999999,0.0006483385606028309,0.16499999999999998
0.052000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.387012297665935e-05,0.06,0.0007196865658785722,0.0005680965462741274,0.06,0.0007146922193536671,0.001636427768964918,0.06,0.0007046924376015591,0.18
0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.311305533997413e-05,0.065,0.0007795935585242801,0.0007156704993611285,0.065,0.0007731828414447105,0.0020588357131886607,0.065,0.0007603628667724211,0.195
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.40173971840993e-05,0.06999999999999999,0.0008394826433359201,0.000886764685019812,0.06999999999999999,0.0008314119540076665,0.0025474356782968647,0.06999999999999999,0.0008152939714417361,0.21
0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.676384535488457e-05,0.07499999999999998,0.0008993517912337907,0.001083102968889008,0.07499999999999998,0.000889358823779762,0.003106728778301591,0.07499999999999998,0.0008694307718604375,0.22499999999999998
