t,ncon,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_j0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.0,2.666082653408357e-06,0.010000000000000002,0.00012000000000000003,-2.4692577595320735e-06,0.0,0.0,-9.841244693814185e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002
0.012,0.0,1.3329091775485891e-05,0.020000000000000004,0.00023996800700815918,-1.2344173878472046e-05,0.0,2.9631093114384883e-08,-4.923999010387601e-07,0.0,1.1809493632577021e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000000004
0.016,0.0,3.731458608657021e-05,0.03,0.00035984005089869416,-3.455269092653926e-05,0.0,1.4813008654166456e-07,-1.3804749976703652e-06,0.0,5.908798812465122e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
0.02,0.0,7.99375584731647e-05,0.04000000000000001,0.00047955222496696124,-7.400584364269736e-05,0.0,4.146322911184711e-07,-2.9638475730723815e-06,0.0,1.6565699972044384e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04000000000000001
0.024,0.0,0.00014649716570048528,0.05,0.0005990407492983221,-0.0001355893288697669,0.0,8.880701237123683e-07,-5.447764719839272e-06,0.0,3.556617087686858e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
0.028,0.0,0.00024227147553378982,0.06,0.0007182420340115942,-0.00022415510833488807,0.0,1.6270719464372028e-06,-9.042839083196587e-06,0.0,6.537317663807126e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
0.032,0.0,0.00037251223820756123,0.06999999999999999,0.0008370927422935944,-0.00034451305731646674,0.0,2.689861300018657e-06,-1.3966360746276748e-05,0.0,1.0851406899835905e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999
0.036000000000000004,0.0,0.0005424396891538414,0.08000000000000002,0.0009555298531415096,-0.0005014226721403612,0.0,4.134156687797601e-06,-2.044358810455571e-05,0.0,1.67596328955321e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08000000000000002
0.04,0.0,0.0007572373898637609,0.09000000000000002,0.0010734907237301542,-0.0006995848493231507,0.0,6.017072065684335e-06,-2.87090131958963e-05,0.0,2.453230572546685e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09000000000000002
0.044,0.0,0.001022047113709631,0.1,0.001190913151321635,-0.0009436337490293889,0.0,8.395018191877809e-06,-3.90075970327076e-05,0.0,3.445081583507556e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
0.048,0.0,0.0013419637834989346,0.10999999999999999,0.0013077354346354843,-0.001238128755333979,0.0,1.1323604988352667e-05,-5.159597057592258e-05,0.0,4.6809116439249124e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10999999999999999
0.052000000000000005,0.0,0.0017220304674662327,0.12,0.0014238964345980128,-0.0015875465455815454,0.0,1.4857545064007748e-05,-6.674359709608146e-05,0.0,6.191516469110709e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
0.056,0.0,0.002167233440334499,0.13,0.0015393356343904052,-0.0019962732809134156,0.0,1.9050558546978545e-05,-8.473389178396929e-05,0.0,8.009231651529775e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
0.06,0.0,0.002682497315993782,0.13999999999999999,0.0016539931987159858,-0.002468596929791144,0.0,2.3955279370960986e-05,-0.00010586529460110855,0.0,1.0168067014076314e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13999999999999999
0.064,0.0,0.0032726802582524832,0.15000000000000002,0.0017678100322080748,-0.0030086997360851027,0.0,2.9623163157493725e-05,-0.00013045229249801016,0.0,1.2703835352133026e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002
